"Serial Number","Player Name","Footy Teams","Comment"
"1","Kevin Bartlett","Richmond","Kevin Bartlett, born on 06-03-1947, debuted on 26-04-1965, height 177 cm, weight 71 kg. A true legend of the game, Kevin Bartlett had an illustrious career spanning 19 seasons and 403 games. Playing for Richmond, he amassed an incredible 9151 total disposals and 778 goals. His impact on the game is reflected in his 0.0 Impact Score and 67.0% Consistency Score. Peak performances include 44 disposals and 8 goals in a single game. His consistency is evident with 270 games of 20+ disposals and 119 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"2","Gordon Coventry","Collingwood","Gordon Coventry, born on 25-09-1901, debuted on 10-08-1920, height 183 cm, weight 86 kg. A true legend of the game, Gordon Coventry had an illustrious career spanning 18 seasons and 306 games. Playing for Collingwood, he amassed an incredible 0 total disposals and 1299 goals. His impact on the game is reflected in his 4.6 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 17 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 214 games with 3+ goals. A true champion, he earned 14 Brownlow votes throughout his career, cementing his status as one of the greats."
"3","Brent Harvey","North Melbourne - Kangaroos","Brent Harvey, born on 14-05-1978, debuted on 27-08-1996, height 177 cm, weight 75 kg. A true legend of the game, Brent Harvey had an illustrious career spanning 21 seasons and 432 games. Playing for North Melbourne - Kangaroos, he amassed an incredible 9213 total disposals and 518 goals. His impact on the game is reflected in his 44.2 Impact Score and 62.0% Consistency Score. Peak performances include 44 disposals and 6 goals in a single game. His consistency is evident with 268 games of 20+ disposals and 61 games with 3+ goals. A true champion, he earned 191 Brownlow votes throughout his career, cementing his status as one of the greats."
"4","Bernie Quinlan","Footscray - Fitzroy","Bernie Quinlan, born on 21-07-1951, debuted on 23-06-1969, height 193 cm, weight 97 kg. A true legend of the game, Bernie Quinlan had an illustrious career spanning 18 seasons and 366 games. Playing for Footscray - Fitzroy, he amassed an incredible 6049 total disposals and 817 goals. His impact on the game is reflected in his 2.7 Impact Score and 27.3% Consistency Score. Peak performances include 35 disposals and 11 goals in a single game. His consistency is evident with 100 games of 20+ disposals and 141 games with 3+ goals. A true champion, he earned 10 Brownlow votes throughout his career, cementing his status as one of the greats."
"5","Craig Bradley","Carlton","Craig Bradley, born on 23-10-1963, debuted on 25-03-1986, height 180 cm, weight 81 kg. A true legend of the game, Craig Bradley had an illustrious career spanning 17 seasons and 375 games. Playing for Carlton, he amassed an incredible 8776 total disposals and 247 goals. His impact on the game is reflected in his 38.4 Impact Score and 72.0% Consistency Score. Peak performances include 42 disposals and 6 goals in a single game. His consistency is evident with 270 games of 20+ disposals and 9 games with 3+ goals. A true champion, he earned 144 Brownlow votes throughout his career, cementing his status as one of the greats."
"6","Jack Titus","Richmond","Jack Titus, born on 09-03-1908, debuted on 13-07-1926, height 175 cm, weight 66 kg. A true legend of the game, Jack Titus had an illustrious career spanning 18 seasons and 294 games. Playing for Richmond, he amassed an incredible 0 total disposals and 970 goals. His impact on the game is reflected in his 3.1 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 10 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 170 games with 3+ goals. A true champion, he earned 9 Brownlow votes throughout his career, cementing his status as one of the greats."
"7","Dick Lee","Collingwood","Dick Lee, born on 19-03-1889, debuted on 13-06-1906, height 175 cm, weight 76 kg. A true legend of the game, Dick Lee had an illustrious career spanning 17 seasons and 230 games. Playing for Collingwood, he amassed an incredible 0 total disposals and 707 goals. His impact on the game is reflected in his 0.0 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 11 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 135 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"8","Leigh Matthews","Hawthorn","Leigh Matthews, born on 01-03-1952, debuted on 22-07-1969, height 178 cm, weight 86 kg. A true legend of the game, Leigh Matthews had an illustrious career spanning 17 seasons and 332 games. Playing for Hawthorn, he amassed an incredible 7374 total disposals and 915 goals. His impact on the game is reflected in his 2.4 Impact Score and 66.0% Consistency Score. Peak performances include 41 disposals and 11 goals in a single game. His consistency is evident with 219 games of 20+ disposals and 165 games with 3+ goals. A true champion, he earned 8 Brownlow votes throughout his career, cementing his status as one of the greats."
"9","Jack Dyer","Richmond","Jack Dyer, born on 15-11-1913, debuted on 05-05-1931, height 185 cm, weight 89 kg. A true legend of the game, Jack Dyer had an illustrious career spanning 19 seasons and 311 games. Playing for Richmond, he amassed an incredible 0 total disposals and 443 goals. His impact on the game is reflected in his 4.8 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 9 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 63 games with 3+ goals. A true champion, he earned 15 Brownlow votes throughout his career, cementing his status as one of the greats."
"10","Dick Reynolds","Essendon","Dick Reynolds, born on 20-06-1915, debuted on 24-04-1933, height 179 cm, weight 82 kg. A true legend of the game, Dick Reynolds had an illustrious career spanning 19 seasons and 320 games. Playing for Essendon, he amassed an incredible 0 total disposals and 442 goals. His impact on the game is reflected in his 9.7 Impact Score and 0.0% Consistency Score. Peak performances include 0 disposals and 6 goals in a single game. His consistency is evident with 0 games of 20+ disposals and 61 games with 3+ goals. A true champion, he earned 31 Brownlow votes throughout his career, cementing his status as one of the greats."
"11","Doug Wade","Geelong - North Melbourne","Doug Wade, born on 16-10-1941, debuted on 10-04-1961, height 188 cm, weight 92 kg. A true legend of the game, Doug Wade had an illustrious career spanning 15 seasons and 267 games. Playing for Geelong - North Melbourne, he amassed an incredible 2130 total disposals and 1057 goals. His impact on the game is reflected in his 0.0 Impact Score and 1.1% Consistency Score. Peak performances include 25 disposals and 13 goals in a single game. His consistency is evident with 3 games of 20+ disposals and 188 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
"12","Ted Whitten","Footscray","Ted Whitten, born on 27-07-1933, debuted on 17-04-1951, height 184 cm, weight 89 kg. A true legend of the game, Ted Whitten had an illustrious career spanning 20 seasons and 321 games. Playing for Footscray, he amassed an incredible 1384 total disposals and 360 goals. His impact on the game is reflected in his 0.0 Impact Score and 5.6% Consistency Score. Peak performances include 29 disposals and 7 goals in a single game. His consistency is evident with 18 games of 20+ disposals and 53 games with 3+ goals. A true champion, he earned 0 Brownlow votes throughout his career, cementing his status as one of the greats."
