source_name,venue_id,venue_name,timezone,note
Adelaide Oval,adelaide_oval,Adelaide Oval,,timezone unverified (no offline evidence); null by policy
Albury,albury,Albury,,timezone unverified (no offline evidence); null by policy
Arden St,arden_st,Arden St,,timezone unverified (no offline evidence); null by policy
Barossa Park,barossa_park,Barossa Park,,timezone unverified (no offline evidence); null by policy
Bellerive Oval,bellerive_oval,Bellerive Oval,,timezone unverified (no offline evidence); null by policy
Blacktown,blacktown,Blacktown,,timezone unverified (no offline evidence); null by policy
Brisbane Exhibition,brisbane_exhibition,Brisbane Exhibition,,timezone unverified (no offline evidence); null by policy
Bruce Stadium,bruce_stadium,Bruce Stadium,,timezone unverified (no offline evidence); null by policy
Brunswick St,brunswick_st,Brunswick St,,timezone unverified (no offline evidence); null by policy
Carrara,carrara,Carrara,,timezone unverified (no offline evidence); null by policy
Cazaly's Stadium,cazalys_stadium,Cazaly's Stadium,,timezone unverified (no offline evidence); null by policy
Coburg Oval,coburg_oval,Coburg Oval,,timezone unverified (no offline evidence); null by policy
Corio Oval,corio_oval,Corio Oval,,timezone unverified (no offline evidence); null by policy
Docklands,docklands,Docklands,,timezone unverified (no offline evidence); null by policy
East Melbourne,east_melbourne,East Melbourne,,timezone unverified (no offline evidence); null by policy
Eureka Stadium,eureka_stadium,Eureka Stadium,,timezone unverified (no offline evidence); null by policy
Euroa,euroa,Euroa,,timezone unverified (no offline evidence); null by policy
Football Park,football_park,Football Park,,timezone unverified (no offline evidence); null by policy
Gabba,gabba,Gabba,,timezone unverified (no offline evidence); null by policy
Glenferrie Oval,glenferrie_oval,Glenferrie Oval,,timezone unverified (no offline evidence); null by policy
Hands Oval,hands_oval,Hands Oval,,timezone unverified (no offline evidence); null by policy
Jiangwan Stadium,jiangwan_stadium,Jiangwan Stadium,,timezone unverified (no offline evidence); null by policy
Junction Oval,junction_oval,Junction Oval,,timezone unverified (no offline evidence); null by policy
Kardinia Park,kardinia_park,Kardinia Park,,timezone unverified (no offline evidence); null by policy
Lake Oval,lake_oval,Lake Oval,,timezone unverified (no offline evidence); null by policy
M.C.G.,mcg,M.C.G.,,timezone unverified (no offline evidence); null by policy
Manuka Oval,manuka_oval,Manuka Oval,,timezone unverified (no offline evidence); null by policy
Marrara Oval,marrara_oval,Marrara Oval,,timezone unverified (no offline evidence); null by policy
Moorabbin Oval,moorabbin_oval,Moorabbin Oval,,timezone unverified (no offline evidence); null by policy
North Hobart,north_hobart,North Hobart,,timezone unverified (no offline evidence); null by policy
Norwood Oval,norwood_oval,Norwood Oval,,timezone unverified (no offline evidence); null by policy
Olympic Park,olympic_park,Olympic Park,,timezone unverified (no offline evidence); null by policy
Perth Stadium,perth_stadium,Perth Stadium,,timezone unverified (no offline evidence); null by policy
Princes Park,princes_park,Princes Park,,timezone unverified (no offline evidence); null by policy
Punt Rd,punt_rd,Punt Rd,,timezone unverified (no offline evidence); null by policy
Riverway Stadium,riverway_stadium,Riverway Stadium,,timezone unverified (no offline evidence); null by policy
S.C.G.,scg,S.C.G.,,timezone unverified (no offline evidence); null by policy
Stadium Australia,stadium_australia,Stadium Australia,,timezone unverified (no offline evidence); null by policy
Subiaco,subiaco,Subiaco,,timezone unverified (no offline evidence); null by policy
Summit Sports Park,summit_sports_park,Summit Sports Park,,timezone unverified (no offline evidence); null by policy
Sydney Showground,sydney_showground,Sydney Showground,,timezone unverified (no offline evidence); null by policy
Toorak Park,toorak_park,Toorak Park,,timezone unverified (no offline evidence); null by policy
Traeger Park,traeger_park,Traeger Park,,timezone unverified (no offline evidence); null by policy
Victoria Park,victoria_park,Victoria Park,,timezone unverified (no offline evidence); null by policy
W.A.C.A.,waca,W.A.C.A.,,timezone unverified (no offline evidence); null by policy
Waverley Park,waverley_park,Waverley Park,,timezone unverified (no offline evidence); null by policy
Wellington,wellington,Wellington,,timezone unverified (no offline evidence); null by policy
Western Oval,western_oval,Western Oval,,timezone unverified (no offline evidence); null by policy
Windy Hill,windy_hill,Windy Hill,,timezone unverified (no offline evidence); null by policy
Yallourn,yallourn,Yallourn,,timezone unverified (no offline evidence); null by policy
Yarraville Oval,yarraville_oval,Yarraville Oval,,timezone unverified (no offline evidence); null by policy
York Park,york_park,York Park,,timezone unverified (no offline evidence); null by policy
