year,round,team,opponent,disposals_conceded,kicks_conceded,handballs_conceded,marks_conceded,goals_conceded,behinds_conceded,tackles_conceded,hitouts_conceded,inside_50s_conceded,clearances_conceded
2025,1,Hawthorn,Sydney,331,208,123,89,11,10,33,12,28,59
2025,1,Collingwood,Greater Western Sydney,352,209,143,87,15,14,47,16,38,39
2025,2,Carlton,Richmond,404,231,173,88,13,4,35,15,27,70
2025,2,Essendon,Hawthorn,392,232,160,93,17,9,54,13,30,78
2025,2,Fremantle,Geelong,361,183,178,55,23,9,57,9,32,59
2025,2,Brisbane Lions,Sydney,344,214,130,66,12,10,29,14,47,46
2025,2,Port Adelaide,Collingwood,365,192,173,84,21,10,37,9,44,43
2025,2,North Melbourne,Western Bulldogs,378,209,169,85,17,11,52,13,40,75
2025,2,St Kilda,Adelaide,350,202,148,79,21,9,36,12,37,52
2025,2,Greater Western Sydney,Melbourne,363,193,170,56,11,8,26,11,44,71
2025,2,Gold Coast,West Coast,368,206,162,77,7,7,77,16,27,64
2025,3,Hawthorn,Carlton,368,206,162,74,8,12,47,8,45,88
2025,3,Collingwood,Western Bulldogs,364,204,160,77,10,10,38,16,32,64
2025,3,Adelaide,Essendon,392,254,138,129,15,10,34,11,33,60
2025,3,Richmond,Port Adelaide,297,174,123,70,21,14,42,14,35,39
2025,3,Geelong,St Kilda,321,188,133,81,15,8,43,13,37,75
2025,3,West Coast,Brisbane Lions,323,188,135,67,14,10,37,9,44,57
2025,3,Melbourne,North Melbourne,351,193,158,82,19,11,30,12,34,47
2025,3,Sydney,Fremantle,348,226,122,94,9,11,31,14,49,57
2025,4,Port Adelaide,Essendon,382,224,158,116,9,18,36,12,50,41
2025,4,Western Bulldogs,Carlton,368,216,152,99,11,9,39,11,45,65
2025,4,Gold Coast,Melbourne,388,212,176,91,8,14,29,12,31,52
2025,4,Richmond,St Kilda,330,218,112,119,20,15,42,11,36,41
2025,4,Geelong,Brisbane Lions,320,219,101,77,10,10,39,7,56,77
2025,4,Greater Western Sydney,Hawthorn,375,194,181,82,10,16,33,10,51,63
2025,4,North Melbourne,Adelaide,364,220,144,100,17,12,35,6,38,47
