year,round,pick,club,player_name,recruited_from
1990,1,1,Geelong,Stephen Hooper,East Perth ( WAFL )
1990,1,2,Carlton,James Cook,Clarence ( TFL )
1990,1,3,Fitzroy,David Donato,Clarence (TFL)
1990,1,4,Collingwood,Jason McCartney,Nhill ( WFL )
1990,1,5,Geelong,Stewart Devlin,Horsham (WFL)
1990,1,6,Melbourne,Allen Jakovich,Woodville ( SANFL )
1990,1,7,Carlton,Damian Hampson,Subiaco (WAFL)
1990,1,8,Footscray,Paul Gow,Swan Districts (WAFL)
1990,1,9,West Coast,Matt Clape,East Perth (WAFL)
1990,1,10,Brisbane,David Ogg,Swan Districts (WAFL)
1990,1,11,Nth Melbourne,Danny Sexton,Lemnos ( GVFL )
1990,1,12,West Coast,Shane Porter,North Launceston (TFL)
1990,1,13,Essendon,Todd Ridley,Claremont (WAFL)
1990,1,14,Collingwood,Andrew Hamer,Lakes Entrance ( EGFL )
1990,1,15,Brisbane,Andrew Harrison,Benalla (VCFL)
1990,1,16,Richmond,Todd Menegola,Swan Districts (WAFL)
1990,1,17,Geelong,Brendan Hehir,Darley (VCFL)
1990,1,18,Nth Melbourne,Dan Miller,Morwell (VCFL)
1990,1,19,Melbourne,Gary Merritt,Tatura (VCFL)
1990,1,20,West Coast,Robbie West,Wodonga (VCFL)
1990,1,21,Essendon,Richard Ambrose,Shepparton (VCFL)
1990,1,22,Collingwood,Paul Sharkey,Cath C. Bendigo (VCFL)
1990,1,23,Brisbane,Ben Thomas,Port Fairy (VCFL)
1990,1,24,Essendon,John Fidge,Glenelg (SANFL)
1990,1,25,Brisbane,Peter Worsfold,South Fremantle (WAFL)
1990,1,26,Sydney,Dale Hall,Hobart (TFL)
1990,1,27,Fitzroy,Brad Davis,Burnie Hawks (TFL)
1990,1,28,Richmond,Chris Smith,Assumption Coll. (APS)
1990,1,29,Geelong,Byron Donnellan,Donald (VCFL)
1990,1,30,Hawthorn,Matthew Young,St Pats Launceston (Tas)
1990,1,31,Brisbane,Nick Faull,Golden Point ( BFL )
1990,1,32,Footscray,Matthew Moylan,Shepparton (VCFL)
1990,1,33,Nth Melbourne,Matthew Kelly,Wedderburn (VCFL)
1990,1,34,Hawthorn,Brad Read,East Fremantle (WAFL)
1990,1,35,Nth Melbourne,Stuart Anderson,Sale (VCFL)
1990,1,36,West Coast,Matthew Burton,Subiaco (WAFL)
1990,1,37,Essendon,Glen Hoffman,Jeparit (VCFL)
1990,1,38,Collingwood,Grant McFarlane,Wodonga (VCFL)
1990,1,39,Brisbane,Nigel Palfreyman,Sandy Bay (TFL)
1990,1,40,Sydney,Mark Collins,South Fremantle (WAFL)
1990,1,41,Fitzroy,Mark Jenkinson,Willaura (VCFL)
1990,1,42,Richmond,Mark McQueen,North Hobart (TFL)
1990,1,43,Geelong,Glen Thomlinson,Rochester (VCFL)
1990,1,44,Hawthorn,Scott Crow,Port Fairy (VCFL)
1990,1,45,Nth Melbourne,Craig Jennings,Traralgon (VCFL)
1990,1,46,Footscray,Brian McInnes,Wick.-L. Bolac (VCFL)
1990,1,47,Brisbane,Luke Chambers,Lucknow (VCFL)
1990,1,48,Hawthorn,Willie Rioli,South Fremantle (WAFL)
1990,1,49,Richmond,Nick Daffy,North Gambier (SA)
1990,1,50,Nth Melbourne,Craig Ellis,Stawell (VCFL)
1990,1,51,Essendon,Jarrod Carter,North Hobart (TFL)
1990,1,52,Collingwood,Brendon Retzlaff,Swan Districts (WAFL)
1990,1,53,Nth Melbourne,Stephen Pears,Perth (WAFL)
1990,1,54,Sydney,Brian Stanislaus,St Mary's ( NTFL )
1990,1,55,Fitzroy,Steven Byers,New Norfolk (TFL)
1990,1,56,Richmond,Matthew Clarke,West Gambier (SA)
1990,1,57,Geelong,Chris Barzen,Mooroopna (VCFL)
1990,1,58,Sydney,Adrian Goldup,Redcliffs (VCFL)
1990,1,59,Carlton,Cameron James,Morwell (VCFL)
1990,1,60,Footscray,Rodney Harvey,Trinity-Ararat (VCFL)
1990,1,61,North Melbourne,Michael Scoon,Monbulk (VCFL)
1990,1,62,Hawthorn,Ben Herrald,Assumption Coll. (APS)
1990,1,63,Melbourne,Fabian Francis,Southern Districts (NTFL)
1990,1,64,West Coast,Derek Hall,West Perth (WAFL)
1990,1,65,Essendon,Stephen Fry,Clarence (TFL)
1990,1,66,Collingwood,Bowden Hamilton,Colbinabbin (VCFL)
1990,1,67,Sydney,David Griffin,South Bendigo (VCFL)
1990,1,68,Brisbane,Peter Whyte,South Barwon (VCFL)
1990,1,69,West Coast,Gavin Cooney,Clarence (TFL)
1990,1,70,Richmond,Stuart Johnstone,Melbourne
1990,1,71,Geelong,Dennis Ryan,Kyabram (VCFL)
1990,1,72,St Kilda,Brian Wilson,Melbourne
1990,1,73,Carlton,Anthony McDonald,Ballarat YCW (VCFL)
1990,1,74,Footscray,Paul Campbell,Cobram (VCFL)
1990,1,75,Melbourne,Robert Panozza,Wodonga Raiders (VCFL)
1990,1,76,Hawthorn,Robert Bowden,Robinvale (VCFL)
1990,1,77,Melbourne,Niall Buckley,County Kildare (Ireland)
1990,1,78,Fitzroy,Dean Harding,Wangaratta Rovers (VCFL)
1990,1,79,Essendon,James Hird,Ainslie (ACT)
1990,1,80,Collingwood,Scott O'Donohue,Bungaree (VCFL)
1990,1,81,Hawthorn,Luan Morley,North Ballarat (VCFL)
1990,1,82,Sydney,Leigh Campbell,Campbelltown (NSW)
1990,1,83,West Coast,Mark Williams,Sandhurst ( BFL )
1990,1,84,Richmond,John Peter-Budge,St Kilda
1990,1,85,Geelong,Brad Dowling,Mooroopna (VCFL)
1990,1,86,St Kilda,Sam Jones,Sandy Bay (TFL)
1990,1,87,Carlton,Danny Morgan,Boolarra (VCFL)
1990,1,88,Footscray,Peter Jacks,Ballarat YCW (VCFL)
1990,1,89,Nth Melbourne,Simon Wood,St Arnaud (VCFL)
1990,1,90,Hawthorn,Adam Ahern,Devonport (TFL)
1990,1,91,St Kilda,Adam Rudd,Numurkah (VCFL)
1990,1,92,St Kilda,Jamie Shanahan,Hobart (TFL)
1990,1,93,Essendon,Adam Houlihan,Kyabram (VCFL)
1990,1,94,Collingwood,Chris Ryan,Morwell StVincents (VCFL)
1991,1,1,Brisbane,John Hutton,Claremont
1991,1,2,Fitzroy,Marcus Seecamp,East Perth
1991,1,3,Melbourne,Darren Kowal,Claremont
1991,1,4,Sydney,Andrew McGovern,Claremont
1991,1,5,Melbourne,Jason Norrish,Claremont
1991,1,6,Sydney,Paul Burton,Claremont
1991,1,7,Fitzroy,Jeremy Guard,Claremont
1991,1,8,Essendon,Michael Symons,Subiaco
1991,1,9,Geelong,Stephen O'Reilly,Swan Districts
1991,1,10,Melbourne,Andrew Lamprill,Hobart
1991,1,11,Geelong,Leigh Willison,East Perth
1991,1,12,St Kilda,Rob Malone,Claremont
1991,1,13,Hawthorn,Shane Crawford,Finley (VCFL)
1991,1,14,Brisbane,Fabian Francis,Southern District (NT)
1991,1,15,Hawthorn,Kieran O'Dwyer,Barooga (NSW)
1991,1,16,West Coast,Daniel Metropolis,Subiaco
1991,1,17,Sydney,Anthony Cole,North Hobart
1991,1,18,Carlton,Matthew Hogg,Footscray
1991,1,19,Melbourne,Phil Gilbert,Claremont
1991,1,20,Fitzroy,Brett Cook,Broken Hill (NSW)
1991,1,21,Essendon,Willie Dick,Perth
1991,1,22,Hawthorn,Simon Crawshay,Hawthorn
1991,1,23,Melbourne,Mathew McKay,Hawthorn
1991,1,24,West Coast,Kane Morphett,East Fremantle
1991,1,25,West Coast,Steven Davies,Subiaco
1991,1,26,Hawthorn,Ben Herrald,Hawthorn
1991,1,27,Brisbane,Terry Board,Fitzroy
1991,1,28,Carlton,Cale O'Keefe,South Launceston
1991,1,29,West Coast,Matthew Connell,Subiaco
1991,1,30,Collingwood,Kane Purcell,North Shore (T)
1991,1,31,Melbourne,Haydon Kilmartin,North Hobart
1991,1,32,Melbourne,Micah Berry,Melb. Gr. (APS)
1991,1,33,Fitzroy,Paul Morrish,Essendon
1991,1,34,Nth Melbourne,Tim Leng,Nth Melbourne
1991,1,35,Geelong,Darryl Donald,Wangaratta (VCFL)
1991,1,36,Melbourne,Jason Dullard,Essendon
1991,1,37,Essendon,Ryan O'Connor,Ulverstone
1991,1,38,Footscray,Jamie Rundle,Dandenong (VFA)
1991,1,39,Hawthorn,Richard Taylor,Hawthorn
1991,1,40,Melbourne,Nick White,Richmond
1991,1,41,Collingwood,Todd Curley,West Perth
