year,pick,player_name,original_club,extracted_school,school_type,grade,games,goals
2004,1,Brett Deledio,Kyabram / Murray U18,,unknown,A,275,197
2004,2,Jarryd Roughead,Leongatha / Gippsland U18,,unknown,A,283,578
2004,3,Ryan Griffen,Goolwa-Port Elliot / South Adelaide,,unknown,A,257,162
2004,4,Richard Tambling,Southern Districts,,unknown,B+,124,62
2004,5,Lance Franklin,Dowerin / Wesley College (WA) / Perth,Wesley College (WA),GPS_WA,A+,354,1066
2004,6,Tom Williams,St Joseph's College (Terrace) / Morningside,St Joseph's College (Terrace),other_private,C+,85,14
2004,7,Jordan Lewis,Warrnambool FC / Emmanuel College (Warrnambool) / Geelong U18,Emmanuel College (Warrnambool),other_private,A,319,161
2004,8,John Meesen,Geelong U18,,unknown,D,6,0
2004,9,Jordan Russell,Edwardstown / West Adelaide,,unknown,B,125,18
2004,10,Chris Egan,Rumbalara / Murray U18,,unknown,C+,27,22
2004,11,Adam Thomson,Sturt,,unknown,C,32,17
2004,12,Danny Meyer,Flagstaff Hill / Sacred Heart College / Glenelg,Sacred Heart College,other_private,C,26,8
2004,13,Matthew Bate,Croydon / Eastern U18,,unknown,B,102,98
2004,14,Angus Monfries,Walkerville / Pembroke School / Sturt,Pembroke School,unknown,B,211,248
2004,15,Lynden Dunn,Moonee Valley / Calder U18,,unknown,B,198,99
2004,16,Adam Pattison,Parade College / Northern U18,Parade College,other_private,C,66,16
2004,17,Andrew McQualter,Traralgon / Caulfield Grammar / Gippsland U18,Caulfield Grammar,APS,C+,94,39
2004,18,Cameron Wood,Goodwood / Glenunga HS / West Adelaide,,unknown,C+,88,28
2004,19,Ryan Willits,Northern U18,,unknown,D,3,1
2004,20,Dean Polo,Wy Yung / Gippsland U18,,unknown,C+,77,18
2004,21,Tom Murphy,De La Salle College / Sandringham U18,De La Salle College,other_private,C+,113,5
2004,22,Jesse Wells,Burnie / Tasmania U18 / Tasmania (VFL),,unknown,D,0,0
2004,23,Sean Rusling,Westminster School / West Adelaide,Westminster School,unknown,C+,17,19
2004,24,Nathan van Berlo,Whitford JFC / Sacred Heart College (WA) / West Perth,Sacred Heart College (WA),other_private,B+,205,68
2004,25,Adam Hartlett,Sacred Heart College / West Adelaide,Sacred Heart College,other_private,D,11,2
2004,26,Matthew Little,Calder U18,,unknown,D,1,0
2004,27,Pat Garner,Western Magpies,,unknown,D,0,0
2004,28,Chad Gibson,Norwood,,unknown,D,0,0
2004,29,Matt Rosa,Warracknabeal / St Patrick's College / North Ballarat U18,St Patrick's College,other_private,B,207,45
2004,30,Andrew Lee,Burnie / Tasmania U18 / Tasmania (VFL),,unknown,C,5,2
2004,31,Jarred Moore,Haileybury College / Dandenong U18,Haileybury College,APS,B,68,52
2004,32,Brent Prismall,Western U18,,unknown,C+,61,25
2004,33,Cain Ackland,Port Adelaide (SANFL),,unknown,C+,62,22
2004,34,James Ezard,Calder U18,,unknown,D,4,1
2004,35,Fabian Deluca,St Simons / Eastern U18,,unknown,D,11,1
2004,36,Luke McGuane,Broadbeach,,unknown,C+,112,46
2004,37,Mark LeCras,Cervantes / Whitford JFC / Aquinas College (WA) / West Perth,Aquinas College (WA),GPS_WA,A,219,441
2004,38,Damien McCormack,Dandenong U18,,unknown,D,4,0
2004,39,Travis Cloke,Park Orchards / Yarra Valley Grammar / Eastern U18,Yarra Valley Grammar,other_private,A,256,452
2004,40,Ivan Maric,Keilor / Calder U18,,unknown,B+,157,61
2004,41,Luke Blackwell,Mazenod College (WA) / Swan Districts,Mazenod College (WA),unknown,C+,23,4
2004,42,Jesse Smith,Calder U18,,unknown,C,27,3
2004,43,Michael Newton,Whorouly / Murray U18,,unknown,C,28,35
2004,44,Mitch Morton,Lake Grace-Pingrup / Hale School / Claremont,Hale School,GPS_WA,B,83,116
2004,45,Justin Sherman,Clarence,,unknown,B,138,106
2004,46,Henry Slattery,Rostrevor College / West Adelaide,Rostrevor College,GPS_SA,C+,96,12
2004,47,David Spriggs,Beaumaris / Sandringham U18,,unknown,C+,5,0
2004,48,Nathan Ablett,Modewarre,,unknown,C+,34,47
2004,49,Mark McGough,Murray U18,,unknown,C,12,2
2004,50,Jayden Attard,Chelsea / Dandenong U18,,unknown,C+,25,3
2004,51,Ben Eckermann,Sturt,,unknown,D,4,0
2004,52,Dean Limbach,Calder U18,,unknown,D,0,0
2004,53,Simon Taylor,Box Hill,,unknown,C+,85,16
2004,54,Stephen Tiller,West Adelaide,,unknown,C,21,7
2004,55,Adam Iacobucci,Calder U18,,unknown,D,4,0
2004,56,Chris Knights,Waverley Blues / Vermont / Eastern U18,,unknown,B,102,75
2004,57,Bradley Smith,Carine JFC / Subiaco,,unknown,D,0,0
2004,58,Brad Moran,Surfers Paradise / The Southport School / Southport,The Southport School,GPS_QLD,C+,21,8
2004,59,Benet Copping,Sturt,,unknown,D,0,0
2004,60,Paul Thomas,Central District,,unknown,D,8,1
2004,62,Matthew Egan,Geelong (VFL),,unknown,A,59,1
2004,63,James Gwilt,Silverton / Noble Park,,unknown,C+,152,25
2004,64,Luke Forsyth,Dandenong U18,,unknown,D,0,0
2004,65,Mark Graham,Berwick,,unknown,C+,20,2
2004,67,Toby Stribling,North Adelaide,,unknown,D,0,0
2004,68,Ben Schwarze,Sandringham U18,,unknown,D,11,2
2004,73,Chris Bryan,Keysborough / Sandringham U18 / Sandringham / Frankston,,unknown,C+,46,19
2004,74,Daniel Pratt,Aspley / Northern Eagles,,unknown,B+,116,9
