year,draft_type,pick,club,player_name,recruited_from
2004,end_season,1,Richmond,Will Thursfield,Sandringham U18
2004,end_season,2,Hawthorn,Ruory Kirkby,Bendigo U18
2004,end_season,3,Western Bulldogs,Rowan Nayna,Dandenong U18
2004,end_season,4,Collingwood,Ben Davies,Western U18
2004,end_season,5,Adelaide,Ryan Nye,Peel Thunder
2004,end_season,6,Carlton,Daniel Batson,North Ballarat U18
2004,end_season,7,North Melbourne,Josh Gibson,Port Melbourne
2004,end_season,8,Fremantle,Joseph Krieger,Sandringham U18
2004,end_season,9,West Coast,Ben Sharp,Oakleigh U18
2004,end_season,10,Melbourne,Brendan Van Schaik,Murray U18
2004,end_season,11,Essendon,Ryan Bain,Oakleigh U18
2004,end_season,12,Sydney,Guy Campbell,Bendigo Bombers
2004,end_season,13,Geelong,Jarrod Garth,Tasmania U18
2004,end_season,14,St Kilda,Luke Mullins,Collingwood
2004,end_season,15,Brisbane Lions,Travis Baird,Bendigo U18
2004,end_season,16,Port Adelaide,Danyle Pearce,Sturt
2004,end_season,17,Richmond,Pass,
2004,end_season,18,Hawthorn,Clinton Young,North Ballarat U18
2004,end_season,19,Western Bulldogs,Dale Morris,Werribee
2004,end_season,20,Collingwood,Heritier Lumumba,Claremont
2004,end_season,21,Adelaide,Jonathon Griffin,East Fremantle
2004,end_season,22,Carlton,Jesse D. Smith,Calder U18
2004,end_season,23,North Melbourne,Josh Thewlis,Sydney
2004,end_season,24,Fremantle,Jack Juniper,Glenelg
2004,end_season,25,West Coast,Beau Maister,Claremont
2004,end_season,26,Melbourne,Matthew Warnock,Sandringham
2004,end_season,27,Essendon,Ben Jolley,Calder U18
2004,end_season,28,Sydney,Luke Vogels,Terang Mortlake
2004,end_season,29,Geelong,Nick Batchelor,Norwood
2004,end_season,30,St Kilda,Ed McDonnell,Western Magpies
2004,end_season,31,Brisbane Lions,Pass,
2004,end_season,32,Port Adelaide,Robert Forster-Knight,Port Adelaide
2004,end_season,33,Richmond,Pass,
2004,end_season,34,Hawthorn,Thomas Willday,Perth
2004,end_season,35,Western Bulldogs,Pass,
2004,end_season,36,Adelaide,John Hinge,Glenelg
2004,end_season,37,Carlton,Nick Becker,Calder U18
2004,end_season,38,North Melbourne,Scott McMahon,Woodville-West Torrens
2004,end_season,39,Fremantle,Ryan Crowley,Fremantle
2004,end_season,40,West Coast,Ashley Thornton,Peel Thunder
2004,end_season,41,Melbourne,Pass,
2004,end_season,42,Sydney,Heath Grundy,Norwood
2004,end_season,43,Geelong,Tim Sheringham,Geelong Falcons
2004,end_season,44,St Kilda,Pass,
2004,end_season,45,Brisbane Lions,Pass,
2004,end_season,46,Port Adelaide,Pass,
2004,end_season,47,Richmond,Pass,
2004,end_season,48,Hawthorn,Kristan Height,Box Hill Hawks
2004,end_season,49,Western Bulldogs,Pass,
2004,end_season,50,Carlton,Aisake O'hAilpin,Cork (Ireland)
2004,end_season,51,North Melbourne,Justin Perkins,Perth
2004,end_season,52,West Coast,Aaron Edwards,West Coast
2004,end_season,53,Melbourne,Pass,
2004,end_season,54,Sydney,Stefan Garrubba,Dandenong U18
2004,end_season,55,St Kilda,Pass,
2004,end_season,56,Brisbane Lions,Pass,
2004,end_season,57,North Melbourne,Pass,
2004,end_season,58,Melbourne,Pass,
2004,end_season,59,Sydney,Earl Shaw,Campbelltown
2004,end_season,60,Brisbane Lions,Josh Drummond,Northern Eagles
2004,end_season,61,Sydney,Ed Clarke,North Shore
2004,end_season,62,Brisbane Lions,Marcus Allan,Northern Eagles
2004,end_season,63,Sydney,Andrew Hayes,Balmain
2004,end_season,64,Brisbane Lions,Will Hamill,Mt Gravatt
2004,end_season,65,Brisbane Lions,Marty Pask,Western Magpies
2004,end_season,66,Brisbane Lions,Scott Harding,Morningside
2005,end_season,1,Carlton,Ryan Jackson,Northern Knights
2005,end_season,2,Collingwood,Alan Toovey,Claremont
2005,end_season,3,Hawthorn,Luke McEntee,North Adelaide
2005,end_season,4,Essendon,Lachlan McKinnon,Calder Cannons
2005,end_season,5,Richmond,Angus Graham,Tassie Mariners
2005,end_season,6,Brisbane Lions,Jason Roe,North Adelaide
2005,end_season,7,Fremantle,Paul Duffield,Fremantle
2005,end_season,8,Western Bulldogs,Tom Davidson,Collingwood
2005,end_season,9,Melbourne,Jace Bode,Sturt
2005,end_season,10,Kangaroos,Ed Lower,Norwood
2005,end_season,11,Port Adelaide,Thomas Rischbieth,Sturt
2005,end_season,12,Geelong,Todd Grima,Tassie Mariners
2005,end_season,13,Adelaide,Brad Sugars,Glenelg
2005,end_season,14,St Kilda,Cathal Corr,Northern Knights
2005,end_season,15,West Coast,Steven Armstrong,Melbourne
2005,end_season,16,Sydney,Jonathan Simpkin,Geelong
2005,end_season,17,Carlton,Craig Flint,Gippsland Power
2005,end_season,18,Collingwood,Daniel Nicholls,Dandenong Stingrays
2005,end_season,19,Hawthorn,Lukas Markovic,Eastern Ranges
2005,end_season,20,Essendon,Heath Hocking,East Ringwood
2005,end_season,21,Richmond,Jeremy Humm,West Coast
2005,end_season,22,Brisbane Lions,Leonard Clark,West Adelaide
2005,end_season,23,Fremantle,Toby Stribling,Fremantle
2005,end_season,24,Western Bulldogs,Pass,
2005,end_season,25,Melbourne,Daniel Hughes,Sandringham Dragons
2005,end_season,26,Kangaroos,Djaran Whyman,North Ballarat
2005,end_season,27,Port Adelaide,Greg Bentley,Dandenong Stingrays
2005,end_season,28,Geelong,Will Slade,Geelong
2005,end_season,29,Adelaide,Tom Redden,Glenelg
2005,end_season,30,St Kilda,Dylan Pfitzner,St Kilda
2005,end_season,31,West Coast,Matthew Priddis,Subiaco
2005,end_season,32,Sydney,James Wall,Calder Cannons
2005,end_season,33,Collingwood,Shannon Cox,South Fremantle
2005,end_season,34,Hawthorn,Stephen Gilham,Port Adelaide
2005,end_season,35,Essendon,Matthew Firman,Belconnen
2005,end_season,36,Richmond,Cameron Howat,Oakleigh Chargers
2005,end_season,37,Brisbane Lions,Luke Forsyth,Brisbane Lions
2005,end_season,38,Western Bulldogs,Pass,
2005,end_season,39,Melbourne,Shane Neaves,Calder Cannons
2005,end_season,40,Port Adelaide,Tim Looby,Murray Bushrangers
2005,end_season,41,Geelong,Sam Hunt,Essendon
2005,end_season,42,Adelaide,Adrian Bonaddio,Oakleigh Chargers
2005,end_season,43,St Kilda,Pass,
2005,end_season,44,West Coast,Michael Embley,West Coast
2005,end_season,45,Sydney,Paul Currie,Northern Knights
2005,end_season,46,Hawthorn,Ben Kane,Hawthorn
2005,end_season,47,Essendon,Tim O'Keefe,Calder Cannons
2005,end_season,48,Richmond,Pass,
2005,end_season,49,Brisbane Lions,Cheynee Stiller,Northern Eagles
2005,end_season,50,Western Bulldogs,Pass,
2005,end_season,51,Melbourne,Andre Gianfagna,Northern Knights
2005,end_season,52,Port Adelaide,Tom Logan,Brisbane Lions
2005,end_season,53,Adelaide,Sam Elliott,South Adelaide
2005,end_season,54,Sydney,Simon Phillips,Sandringham Dragons
2005,end_season,55,Hawthorn,Ben McGlynn,Box Hill Hawks
2005,end_season,56,Richmond,Pass,
2005,end_season,57,Brisbane,Colm Begley,Ireland
2005,end_season,58,Sydney,Kieren Jack,NSW-ACT Rams
2005,end_season,59,Brisbane,Brendan Quigley,Ireland
2005,end_season,60,Sydney,Ed Barlow,Oakleigh Chargers
2005,end_season,61,Sydney,Adam Prior,Murray Bushrangers
2005,end_season,62,Sydney,Sam Rowe,Murray Bushrangers
2006,end_season,1,Carlton,Sam Jacobs,Woodville-West Torrens
2006,end_season,2,Essendon,Dean Dick,Perth
2006,end_season,3,Kangaroos,Leigh Adams,Eastern Ranges
2006,end_season,4,Brisbane Lions,Anthony Corrie,Brisbane Lions
2006,end_season,5,Port Adelaide,Alex Lee,Dandenong Stingrays
2006,end_season,6,Hawthorn,Brett Collins,St Bedes
2006,end_season,7,Geelong,Joel Reynolds,Essendon
2006,end_season,8,Richmond,Tasman Clingan,North Ballarat Rebels
2006,end_season,9,St Kilda,Clinton Jones,South Fremantle
2006,end_season,10,Collingwood,Sharrod Wellingham,Perth
2006,end_season,11,Western Bulldogs,Gavin Hughes,Norwood
2006,end_season,12,Melbourne,Daniel Hayes,Eastern Ranges
2006,end_season,13,Fremantle,Chris Smith,Mount Gravatt
2006,end_season,14,Adelaide,Andrew McIntyre,North Adelaide
2006,end_season,15,Sydney,Nick Smith,Oakleigh Chargers
2006,end_season,16,West Coast,Jamie McNamara,East Fremantle
2006,end_season,17,Carlton,Michael Jamison,North Ballarat
2006,end_season,18,Essendon,Danny Chartres,Peel Thunder
2006,end_season,19,Kangaroos,Ben Hughes,Gippsland Power
2006,end_season,20,Brisbane Lions,Scott Clouston,Morningside
2006,end_season,21,Port Adelaide,Gavin Grose,Mount Gravatt
2006,end_season,22,Hawthorn,Matt Suckling,Wagga Tigers
2006,end_season,23,Geelong,Liam Bedford,Claremont
2006,end_season,24,Richmond,Jake King,Coburg
2006,end_season,25,St Kilda,Luke van Rheenen,Scoresby
2006,end_season,26,Collingwood,Brent Macaffer,Gippsland Power
2006,end_season,27,Western Bulldogs,Jarrod Harbrow,Murray Bushrangers
2006,end_season,28,Fremantle,Andrew Foster,East Fremantle
2006,end_season,29,Adelaide,James Turner,South Adelaide
2006,end_season,30,Sydney,Matthew O'Dwyer,Oakleigh Chargers
2006,end_season,31,West Coast,Llane Spaanderman,East Perth
2006,end_season,32,Carlton,Ross Young,Northern Bullants
2006,end_season,33,Essendon,Adam Ramanauskas,Essendon
2006,end_season,34,Kangaroos,Matt Campbell,Pioneers
2006,end_season,35,Brisbane Lions,Daniel Dzufer,Suncoast Lions
2006,end_season,36,Port Adelaide,Nathan Batsanis,Oakleigh Chargers
2006,end_season,37,Hawthorn,Sam Gibson,Oakleigh Chargers
2006,end_season,38,Geelong,Jason Davenport,Geelong
2006,end_season,39,St Kilda,Robert Eddy,Gippsland Power
2006,end_season,40,Collingwood,Martin Clarke,International rookie
2006,end_season,41,Western Bulldogs,Marty Pask,Brisbane Lions
2006,end_season,42,Fremantle,Darren Rumble,Subiaco
2006,end_season,43,Adelaide,Rhys Archard,South Adelaide
2006,end_season,44,Sydney,Luke Brennan,Hawthorn
2006,end_season,45,West Coast,Chad Jones,Kangaroos
2006,end_season,46,Carlton,Pass,
2006,end_season,47,Kangaroos,Tim Hutchison,Kangaroos
2006,end_season,48,Brisbane Lions,Haydyn Kiel,Southport
2006,end_season,49,Port Adelaide,Peter Hardy,Geelong Falcons
2006,end_season,50,Geelong,Tom Lonergan,Geelong
2006,end_season,51,St Kilda,James Wall,Sydney
2006,end_season,52,Western Bulldogs,Michael West,Western Bulldogs
2006,end_season,53,Fremantle,Benet Copping,Fremantle
2006,end_season,54,Adelaide,Greg Gallman,North Adelaide
2006,end_season,55,Sydney,Matthew Davis,Sydney
2006,end_season,56,West Coast,Ben Sharp,West Coast
