team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2014,1,Hawthorn,7,L,40,6.0,1.0,9,15,,,,3.0,2.0,,3.0,,,,,8.0,7.0,,,1.0,,,86,2014-04-12
St Kilda,2014,2↓,Carlton,8,L,40,5.0,2.0,5,10,1.0,,,5.0,1.0,2.0,2.0,2.0,1.0,,,9.0,4.0,,,3.0,,,57,2014-04-19
St Kilda,2014,3↑,Gold Coast,9,L,40,,,1,1,,,,,,,1.0,,,,,1.0,,,,,,,7,2014-04-26
St Kilda,2015,4↑,Essendon,5,L,8,3.0,1.0,2,5,,,,2.0,,1.0,1.0,,,,,2.0,3.0,1.0,,1.0,,,19,2015-03-29
St Kilda,2015,5↑,West Coast,8,L,8,5.0,2.0,5,10,,,3.0,2.0,,1.0,2.0,2.0,,1.0,,3.0,8.0,,,1.0,,,44,2015-04-19
St Kilda,2015,6,Brisbane Lions,9,W,8,11.0,3.0,9,20,,1.0,,4.0,2.0,4.0,2.0,3.0,,1.0,,9.0,11.0,1.0,,1.0,,,69,2015-04-26
St Kilda,2015,7,Hawthorn,10,L,8,9.0,4.0,5,14,,,3.0,2.0,1.0,4.0,1.0,2.0,,1.0,,4.0,11.0,1.0,,1.0,,1.0,77,2015-05-03
St Kilda,2015,8↑,Melbourne,11,W,8,6.0,3.0,3,9,,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,5.0,,,1.0,,,30,2015-05-10
St Kilda,2015,9,Fremantle,19,L,8,6.0,2.0,8,14,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,7.0,7.0,1.0,1.0,1.0,,,79,2015-07-05
St Kilda,2015,10,North Melbourne,20,L,8,4.0,3.0,7,11,,,1.0,4.0,,4.0,2.0,1.0,1.0,1.0,,5.0,7.0,,,1.0,,1.0,76,2015-07-12
St Kilda,2016,11,Port Adelaide,1,L,8,14.0,3.0,8,22,1.0,,,2.0,,3.0,4.0,1.0,2.0,,,10.0,12.0,,,2.0,,,68,2016-03-01
St Kilda,2016,12,Hawthorn,4,L,8,7.0,2.0,6,13,,,,1.0,2.0,3.0,3.0,2.0,1.0,1.0,,6.0,8.0,,,1.0,,1.0,57,2016-03-22
St Kilda,2016,13,Melbourne,6,W,8,16.0,7.0,12,28,2.0,1.0,,5.0,1.0,2.0,1.0,3.0,,,,5.0,22.0,,3.0,2.0,,2.0,70,2016-04-05
St Kilda,2016,14,North Melbourne,7,L,8,8.0,3.0,4,12,,,,2.0,2.0,3.0,1.0,1.0,,,,5.0,7.0,1.0,,2.0,2.0,1.0,81,2016-04-12
St Kilda,2016,15,West Coast,8,L,8,2.0,1.0,6,8,,,1.0,4.0,,1.0,2.0,3.0,,1.0,,4.0,4.0,,,,,,66,2016-04-19
St Kilda,2016,16,Carlton,12,W,8,8.0,3.0,7,15,1.0,,2.0,4.0,1.0,2.0,,1.0,,,,2.0,13.0,,1.0,,,1.0,82,2016-05-17
St Kilda,2016,17,Geelong,14,W,8,15.0,3.0,6,21,,,,2.0,2.0,5.0,3.0,2.0,,,,7.0,15.0,,1.0,1.0,,,76,2016-05-31
St Kilda,2016,18,Gold Coast,15,L,8,8.0,3.0,9,17,,,,3.0,4.0,2.0,3.0,2.0,2.0,1.0,,8.0,9.0,,,1.0,,1.0,72,2016-06-07
St Kilda,2016,19,Essendon,16,W,8,3.0,1.0,9,12,,,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,,7.0,6.0,,,1.0,,,71,2016-06-14
St Kilda,2016,20,Melbourne,17,W,8,6.0,3.0,6,12,,2.0,3.0,5.0,2.0,1.0,1.0,2.0,1.0,,,5.0,8.0,1.0,1.0,1.0,3.0,1.0,65,2016-06-21
St Kilda,2016,21,Western Bulldogs,18,W,8,6.0,5.0,6,12,,,3.0,1.0,1.0,1.0,,3.0,,2.0,,3.0,10.0,,,,,,71,2016-06-28
St Kilda,2016,22,North Melbourne,19,L,8,11.0,4.0,11,22,1.0,,,4.0,1.0,4.0,3.0,1.0,2.0,,,10.0,13.0,1.0,1.0,,,,81,2016-07-05
St Kilda,2016,23,Carlton,20,W,8,10.0,3.0,13,23,1.0,,2.0,3.0,3.0,4.0,2.0,3.0,,1.0,,11.0,13.0,1.0,1.0,2.0,,,82,2016-07-12
St Kilda,2016,24,Sydney,21,L,8,16.0,4.0,7,23,1.0,3.0,,5.0,5.0,4.0,3.0,3.0,2.0,2.0,,10.0,14.0,,1.0,,1.0,4.0,88,2016-07-19
St Kilda,2016,25,Richmond,22,W,8,15.0,8.0,11,26,,,1.0,7.0,3.0,5.0,2.0,3.0,1.0,,1.0,6.0,20.0,1.0,,,2.0,,79,2016-07-26
St Kilda,2016,26,Brisbane Lions,23,W,8,15.0,4.0,3,18,,,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,,4.0,13.0,1.0,1.0,1.0,1.0,2.0,77,2016-08-02
St Kilda,2017,27,West Coast,2,L,8,12.0,6.0,5,17,1.0,,,2.0,1.0,3.0,1.0,4.0,,2.0,,3.0,14.0,,1.0,1.0,1.0,,62,2017-03-08
St Kilda,2017,28,Brisbane Lions,3,W,8,10.0,6.0,7,17,1.0,,,4.0,2.0,3.0,1.0,2.0,1.0,,,8.0,9.0,2.0,1.0,4.0,1.0,1.0,68,2017-03-15
St Kilda,2017,29,Collingwood,4,W,8,13.0,4.0,8,21,1.0,,,3.0,4.0,4.0,1.0,3.0,,1.0,,4.0,18.0,,,,2.0,,70,2017-03-22
St Kilda,2017,30,Geelong,5,L,8,10.0,10.0,8,18,1.0,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0,14.0,,1.0,,,,81,2017-03-29
St Kilda,2017,31,Hawthorn,6,W,8,8.0,6.0,15,23,,,,1.0,,4.0,2.0,2.0,,,,7.0,16.0,1.0,,1.0,,,82,2017-04-05
St Kilda,2017,32,Greater Western Sydney,7,W,8,13.0,8.0,10,23,2.0,,,3.0,1.0,4.0,3.0,,1.0,,,8.0,15.0,1.0,2.0,2.0,1.0,,78,2017-04-12
St Kilda,2017,33,Carlton,8,W,8,7.0,6.0,14,21,,,,1.0,1.0,3.0,,3.0,,1.0,,4.0,17.0,,,1.0,1.0,,84,2017-04-19
St Kilda,2017,34,Sydney,9,L,8,13.0,3.0,14,27,1.0,,,5.0,,7.0,4.0,4.0,1.0,1.0,,7.0,19.0,,,1.0,,1.0,93,2017-04-26
St Kilda,2017,35,Western Bulldogs,10,L,8,9.0,2.0,13,22,,,,6.0,2.0,2.0,1.0,4.0,1.0,1.0,,9.0,17.0,,,1.0,,,83,2017-05-03
St Kilda,2017,36,Adelaide,12,L,8,6.0,2.0,9,15,,2.0,,2.0,1.0,3.0,,2.0,,1.0,,4.0,11.0,,1.0,1.0,,,82,2017-05-17
St Kilda,2017,37,North Melbourne,13,W,8,8.0,6.0,10,18,1.0,,,1.0,1.0,2.0,1.0,2.0,,1.0,,4.0,14.0,,1.0,,,,73,2017-05-24
St Kilda,2017,38,Gold Coast,14,W,8,6.0,2.0,2,8,,1.0,,3.0,,2.0,1.0,2.0,,1.0,,4.0,5.0,,1.0,1.0,,,65,2017-05-31
St Kilda,2017,39,Sydney,18,L,8,13.0,6.0,7,20,,,,2.0,1.0,4.0,,3.0,,1.0,,5.0,14.0,,,,,,81,2017-06-28
St Kilda,2017,40,Port Adelaide,19,L,8,7.0,2.0,15,22,1.0,,,2.0,2.0,3.0,2.0,4.0,,1.0,,9.0,14.0,1.0,1.0,1.0,,,86,2017-07-05
St Kilda,2017,41,West Coast,20,W,8,14.0,5.0,16,30,1.0,,,6.0,2.0,6.0,4.0,1.0,1.0,,,7.0,22.0,,2.0,1.0,,,74,2017-07-12
St Kilda,2017,42,Melbourne,21,L,8,7.0,,9,16,,,,4.0,4.0,4.0,2.0,3.0,1.0,1.0,,6.0,11.0,,,,1.0,,84,2017-07-19
St Kilda,2017,43,North Melbourne,22,W,8,13.0,4.0,17,30,1.0,1.0,,3.0,1.0,4.0,,1.0,1.0,,,6.0,24.0,1.0,1.0,1.0,3.0,2.0,77,2017-07-26
St Kilda,2017,44,Richmond,23,L,8,9.0,3.0,9,18,,,2.0,,2.0,2.0,2.0,1.0,4.0,,,6.0,13.0,,,,,1.0,83,2017-08-02
St Kilda,2018,45,Brisbane Lions,1,W,8,14.0,9.0,16,30,1.0,,,4.0,2.0,4.0,1.0,1.0,1.0,,1.0,12.0,19.0,1.0,1.0,3.0,,,85,2018-03-01
St Kilda,2018,46,North Melbourne,2,L,8,11.0,4.0,10,21,1.0,,2.0,7.0,2.0,4.0,2.0,6.0,,3.0,,5.0,18.0,,,3.0,,,89,2018-03-08
St Kilda,2018,47,Adelaide,3,L,8,10.0,2.0,9,19,1.0,3.0,1.0,4.0,,1.0,2.0,3.0,3.0,2.0,,10.0,10.0,,,3.0,,,88,2018-03-15
