team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2025,1,Essendon,18,W,48,4,2.0,5.0,9,,,,1.0,2.0,,,3.0,,2.0,,4,7,,,5,,,79,2025-06-28
Gold Coast,2025,2,Collingwood,19,W,48,2,,1.0,3,,,,,,,,,,,,1,2,,,5,,,73,2025-07-05
Gold Coast,2025,3,Adelaide,20,L,48,3,4.0,4.0,7,,,,1.0,1.0,1.0,,1.0,,,,4,3,2.0,,5,,,88,2025-07-12
Gold Coast,2025,4,Brisbane Lions,21,W,48,3,,2.0,5,,,,2.0,3.0,,,4.0,1.0,2.0,,1,4,,,4,,,83,2025-07-19
Gold Coast,2025,5,Richmond,22,W,48,8,6.0,6.0,14,,,,1.0,1.0,,,4.0,,1.0,,3,10,,,4,,,86,2025-07-26
Gold Coast,2025,6,Carlton,23,W,48,4,1.0,1.0,5,,,,1.0,2.0,,,1.0,1.0,,,2,3,,,6,,,82,2025-08-02
Gold Coast,2025,7↓,Greater Western Sydney,24,L,48,2,1.0,,2,,,,2.0,,,,2.0,,1.0,,1,2,,,3,,,48,2025-08-09
Gold Coast,2025,8,Port Adelaide,25,L,48,6,5.0,3.0,9,,,,,3.0,1.0,,3.0,1.0,1.0,,5,6,2.0,,4,,,76,2025-08-16
Gold Coast,2026,9,Geelong,1,W,48,3,1.0,9.0,12,,,,3.0,1.0,1.0,,,2.0,,,7,6,,,2,,,71,2026-03-01
Gold Coast,2026,10,West Coast,2,W,48,3,3.0,3.0,6,,,,,1.0,1.0,,2.0,,1.0,,1,5,,,3,,,76,2026-03-08
Gold Coast,2026,11,Essendon,7,W,48,1,4.0,10.0,11,,,,,,,,1.0,,,,2,9,,,6,,,70,2026-04-12
Gold Coast,2026,12,Hawthorn,8,L,48,1,2.0,3.0,4,,,,2.0,,,,1.0,1.0,,,2,2,,,4,,,84,2026-04-19
Gold Coast,2026,13,Greater Western Sydney,9,W,48,7,4.0,10.0,17,,,,,,,,1.0,,1.0,,2,14,,,4,,,71,2026-04-26
Gold Coast,2026,14,St Kilda,10,W,48,5,5.0,6.0,11,,,,1.0,,1.0,,1.0,2.0,1.0,,5,6,1.0,,1,,,69,2026-05-03
Gold Coast,2026,15,Port Adelaide,11,W,48,8,8.0,7.0,15,,,,1.0,2.0,1.0,,2.0,,1.0,,4,10,,,8,,,79,2026-05-10
Gold Coast,2026,16,North Melbourne,12,L,48,2,3.0,3.0,5,,,,4.0,2.0,,,2.0,1.0,2.0,,1,4,,,6,,,75,2026-05-17
Gold Coast,2026,17,Brisbane Lions,14,L,48,8,3.0,4.0,12,,,,2.0,3.0,,,4.0,2.0,2.0,,4,7,,,2,,,68,2026-05-31
Gold Coast,2026,18,Geelong,15,L,48,5,4.0,7.0,12,,,,1.0,,1.0,,6.0,1.0,5.0,,5,7,,,2,1.0,,75,2026-06-07
Gold Coast,2026,19,Hawthorn,16,L,48,5,4.0,4.0,9,,,,1.0,1.0,1.0,,1.0,,1.0,,1,8,,,3,,,77,2026-06-14
Gold Coast,2026,20,Adelaide,19,L,48,4,4.0,2.0,6,,,,1.0,3.0,,,4.0,,3.0,,2,5,1.0,,6,,,82,2026-07-11
Gold Coast,2026,21,Western Bulldogs,20,L,48,5,3.0,4.0,9,,,,2.0,2.0,,,1.0,1.0,1.0,,2,6,1.0,,3,,,63,2026-07-19
