team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2018,1,Greater Western Sydney,16,W,12,4,2.0,3.0,7,,,,3.0,1.0,,1.0,1.0,2.0,,,6.0,1.0,1.0,,6.0,,,79,2018-06-14
West Coast,2018,2,Brisbane Lions,23,W,12,9,6.0,5.0,14,,1.0,,2.0,1.0,3.0,,3.0,1.0,1.0,,4.0,10.0,,1.0,,,1.0,80,2018-08-02
West Coast,2019,3,Brisbane Lions,1,L,12,4,2.0,4.0,8,2.0,,,2.0,,3.0,,,2.0,,,7.0,2.0,1.0,1.0,5.0,,1.0,82,2019-03-01
West Coast,2019,4,Greater Western Sydney,2,W,12,7,5.0,,7,3.0,1.0,,,,2.0,,1.0,2.0,1.0,,5.0,2.0,3.0,3.0,,,,66,2019-03-08
West Coast,2019,5,Collingwood,3,W,12,5,4.0,2.0,7,1.0,,,3.0,,2.0,,1.0,1.0,1.0,,4.0,4.0,1.0,2.0,2.0,,,77,2019-03-15
West Coast,2019,6,Fremantle,4,W,12,6,4.0,2.0,8,1.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,1.0,,4.0,5.0,1.0,2.0,1.0,,,82,2019-03-22
West Coast,2019,7,Port Adelaide,5,L,12,7,2.0,2.0,9,,,1.0,2.0,1.0,1.0,,2.0,1.0,,,7.0,1.0,1.0,,6.0,,1.0,70,2019-03-29
West Coast,2019,8,Geelong,6,L,12,4,,1.0,5,1.0,1.0,5.0,4.0,,,1.0,,1.0,,,3.0,2.0,,,3.0,,,72,2019-04-05
West Coast,2019,9,Gold Coast,7,W,12,6,5.0,4.0,10,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,,,5.0,5.0,2.0,,2.0,,1.0,67,2019-04-12
West Coast,2019,10,St Kilda,8,W,12,9,5.0,4.0,13,2.0,,6.0,3.0,,2.0,,4.0,3.0,1.0,,4.0,8.0,,,3.0,,,74,2019-04-19
West Coast,2019,11,Melbourne,9,W,12,6,3.0,2.0,8,,,,3.0,3.0,1.0,,,1.0,,,5.0,5.0,,,8.0,,,83,2019-04-26
West Coast,2019,12,Adelaide,10,W,12,8,1.0,1.0,9,1.0,1.0,9.0,6.0,1.0,5.0,1.0,1.0,3.0,,,9.0,1.0,,,2.0,,1.0,76,2019-05-03
West Coast,2019,13,Western Bulldogs,11,W,12,10,5.0,3.0,13,1.0,1.0,7.0,2.0,,3.0,1.0,3.0,1.0,1.0,,6.0,7.0,,1.0,1.0,,2.0,77,2019-05-10
West Coast,2019,14,Essendon,14,W,12,6,3.0,9.0,15,,2.0,4.0,4.0,,4.0,2.0,7.0,3.0,3.0,,7.0,9.0,,2.0,3.0,2.0,2.0,80,2019-05-31
West Coast,2019,15,Hawthorn,15,W,12,6,4.0,3.0,9,,,,2.0,3.0,2.0,,5.0,1.0,4.0,,3.0,6.0,1.0,,9.0,,,80,2019-06-07
West Coast,2019,16,Fremantle,16,W,12,6,3.0,4.0,10,,,,6.0,1.0,2.0,1.0,3.0,2.0,1.0,,7.0,6.0,1.0,,5.0,,2.0,85,2019-06-14
