team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2020,1,Port Adelaide,1,L,15,6,2.0,6,12,,,,,2.0,1.0,,2.0,,1.0,,5,8,,,1.0,,,75,2020-03-01
Gold Coast,2020,2,West Coast,2,W,15,12,5.0,7,19,1.0,,,2.0,2.0,2.0,2.0,7.0,,2.0,,6,13,,1.0,,,,84,2020-03-08
Gold Coast,2020,3,Adelaide,3,W,15,4,3.0,5,9,,,,2.0,,2.0,1.0,,,,,4,6,,,2.0,,,80,2020-03-15
Gold Coast,2020,4,Fremantle,4,W,15,12,5.0,2,14,,,,1.0,,4.0,3.0,3.0,,1.0,,6,7,1.0,1.0,,,2.0,68,2020-03-22
Gold Coast,2020,5,Geelong,5,L,15,10,4.0,8,18,,,,2.0,1.0,2.0,1.0,6.0,1.0,1.0,,7,11,,,2.0,,,84,2020-03-29
Gold Coast,2020,6,Melbourne,6,L,15,7,2.0,10,17,,,,3.0,2.0,,1.0,4.0,1.0,1.0,,3,15,,,,,,70,2020-04-05
Gold Coast,2020,7,Sydney,7,W,15,12,5.0,3,15,1.0,1.0,,3.0,1.0,3.0,2.0,1.0,3.0,1.0,,6,9,,1.0,,1.0,,74,2020-04-12
Gold Coast,2020,8,Western Bulldogs,8,L,15,9,2.0,2,11,,1.0,,4.0,1.0,2.0,,2.0,,,,5,5,,1.0,2.0,,1.0,69,2020-04-19
Gold Coast,2020,9,Greater Western Sydney,9,L,15,5,2.0,10,15,,,,2.0,,2.0,3.0,2.0,,,,9,6,1.0,1.0,4.0,,,74,2020-04-26
Gold Coast,2020,10,St Kilda,10,L,15,9,1.0,7,16,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,1.0,,,6,11,,,1.0,,,68,2020-05-03
Gold Coast,2020,11,Essendon,11,D,15,9,3.0,6,15,,,,2.0,1.0,2.0,4.0,1.0,,1.0,,6,10,,,1.0,,,73,2020-05-10
Gold Coast,2020,12,Richmond,12,L,15,11,4.0,15,26,,1.0,,1.0,1.0,5.0,2.0,1.0,,,,13,14,,,2.0,1.0,1.0,72,2020-05-17
Gold Coast,2020,13,Carlton,13,L,15,4,1.0,1,5,,,,2.0,,1.0,,1.0,,,,3,2,,,,,,83,2020-05-24
