team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2019,1,Gold Coast,6,W,43,10.0,7.0,2.0,12.0,,,,5.0,2.0,,,1.0,,,,3.0,9.0,1.0,,3.0,,,83,2019-04-05
Brisbane Lions,2019,2,Sydney,7,W,43,6.0,1.0,8.0,14.0,,,,5.0,,2.0,1.0,1.0,3.0,,,11.0,5.0,,,3.0,,,78,2019-04-12
Brisbane Lions,2019,3,Western Bulldogs,8,L,43,9.0,1.0,3.0,12.0,,,,2.0,5.0,,2.0,3.0,1.0,,,6.0,5.0,,,3.0,,,80,2019-04-19
Brisbane Lions,2019,4,Adelaide,9,W,43,4.0,1.0,5.0,9.0,,,,1.0,2.0,1.0,,5.0,1.0,3.0,,4.0,7.0,,,4.0,,,77,2019-04-26
Brisbane Lions,2019,5,Fremantle,10,L,43,10.0,7.0,3.0,13.0,,,,2.0,3.0,,,1.0,1.0,1.0,,2.0,11.0,,,1.0,,,86,2019-05-03
Brisbane Lions,2019,6,Hawthorn,11,W,43,8.0,3.0,6.0,14.0,,,,,2.0,2.0,,1.0,,,,5.0,9.0,,,2.0,,,69,2019-05-10
Brisbane Lions,2019,7,Carlton,12,L,43,9.0,6.0,3.0,12.0,,,,1.0,2.0,,,3.0,,,,2.0,9.0,1.0,,2.0,,,78,2019-05-17
Brisbane Lions,2019,8,St Kilda,14,W,43,7.0,4.0,1.0,8.0,,,,,1.0,,,2.0,,1.0,,1.0,7.0,,,3.0,,,77,2019-05-31
Brisbane Lions,2019,9,Melbourne,15,W,43,10.0,3.0,3.0,13.0,1.0,,,3.0,1.0,4.0,1.0,1.0,1.0,,,4.0,9.0,,,3.0,,,75,2019-06-07
Brisbane Lions,2019,10,Greater Western Sydney,16,W,43,10.0,6.0,5.0,15.0,,,,5.0,2.0,2.0,1.0,2.0,1.0,,,5.0,10.0,,,6.0,,,80,2019-06-14
Brisbane Lions,2019,11,Port Adelaide,17,W,43,4.0,1.0,2.0,6.0,,,,5.0,,2.0,,1.0,,1.0,,3.0,3.0,,,4.0,,,72,2019-06-21
Brisbane Lions,2019,12,North Melbourne,18,W,43,10.0,2.0,2.0,12.0,,,,4.0,2.0,2.0,2.0,3.0,3.0,1.0,,6.0,7.0,1.0,,4.0,,,80,2019-06-28
Brisbane Lions,2019,13,Hawthorn,19,W,43,11.0,4.0,4.0,15.0,1.0,,,7.0,3.0,4.0,,1.0,,,,5.0,10.0,,,1.0,,,87,2019-07-05
Brisbane Lions,2019,14,Western Bulldogs,20,W,43,12.0,6.0,6.0,18.0,,,,1.0,3.0,2.0,3.0,1.0,,,,8.0,9.0,1.0,,2.0,,,82,2019-07-12
Brisbane Lions,2019,15,Gold Coast,21,W,43,9.0,2.0,1.0,10.0,,,,5.0,3.0,1.0,1.0,3.0,,1.0,,5.0,6.0,,,3.0,,1.0,74,2019-07-19
Brisbane Lions,2019,16,Geelong,22,W,43,12.0,7.0,5.0,17.0,,,,3.0,2.0,3.0,1.0,1.0,,,,6.0,10.0,2.0,,2.0,,1.0,75,2019-07-26
Brisbane Lions,2019,17,Richmond,23,L,43,5.0,3.0,4.0,9.0,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,4.0,6.0,,,1.0,,,74,2019-08-02
Brisbane Lions,2019,18,Richmond,QF,L,43,6.0,4.0,2.0,8.0,,,,2.0,,2.0,,,,,,2.0,6.0,,,1.0,,,70,2019-03-01
Brisbane Lions,2019,19,Greater Western Sydney,SF,L,43,4.0,2.0,3.0,7.0,,,,3.0,,1.0,1.0,1.0,,1.0,,,7.0,,,4.0,,,70,2019-03-01
Brisbane Lions,2020,20,Hawthorn,1,L,43,15.0,4.0,,15.0,,,,2.0,5.0,2.0,,8.0,,2.0,,5.0,8.0,,,1.0,,,84,2020-03-01
Brisbane Lions,2020,21,Essendon,9,W,43,12.0,6.0,5.0,17.0,,,,,,2.0,,,1.0,,,7.0,12.0,1.0,,3.0,,,84,2020-04-26
Brisbane Lions,2020,22,Richmond,10,L,43,5.0,4.0,3.0,8.0,,,,2.0,2.0,1.0,1.0,,,,,4.0,5.0,,,,,,84,2020-05-03
Brisbane Lions,2020,23,Western Bulldogs,11,W,43,6.0,4.0,6.0,12.0,,,,1.0,4.0,,,,,,,8.0,4.0,1.0,,4.0,,,81,2020-05-10
Brisbane Lions,2020,24,North Melbourne,12,W,43,2.0,,2.0,4.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,81,2020-05-17
Brisbane Lions,2020,25,St Kilda,13,W,43,9.0,2.0,1.0,10.0,,,,,1.0,,,2.0,,,,1.0,8.0,,,2.0,,,88,2020-05-24
Brisbane Lions,2020,26,Collingwood,15,W,43,6.0,3.0,5.0,11.0,,,,5.0,1.0,,,1.0,,,,2.0,10.0,,,2.0,,,84,2020-06-07
Brisbane Lions,2020,27,Gold Coast,16,W,43,9.0,2.0,2.0,11.0,,,,4.0,3.0,1.0,1.0,4.0,,,,4.0,6.0,,,4.0,,,90,2020-06-14
Brisbane Lions,2020,28,Sydney,17,W,43,7.0,,,7.0,,,,3.0,2.0,2.0,1.0,2.0,2.0,1.0,,5.0,3.0,,,3.0,,1.0,82,2020-06-21
Brisbane Lions,2022,29,Port Adelaide,1,W,43,5.0,3.0,11.0,16.0,,,,4.0,3.0,,,3.0,1.0,2.0,,6.0,11.0,,,4.0,,,76,2022-03-01
Brisbane Lions,2022,30,Essendon,2,W,43,8.0,5.0,7.0,15.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,,,3.0,12.0,,,6.0,,,74,2022-03-08
Brisbane Lions,2022,31,North Melbourne,3,W,43,10.0,5.0,10.0,20.0,,,,2.0,1.0,4.0,,1.0,1.0,1.0,,7.0,15.0,2.0,,1.0,,,83,2022-03-15
Brisbane Lions,2022,32,Geelong,4,L,43,11.0,6.0,2.0,13.0,,,,4.0,4.0,1.0,,4.0,,2.0,,2.0,11.0,,,3.0,,1.0,83,2022-03-22
Brisbane Lions,2022,33,Collingwood,5,W,43,13.0,2.0,3.0,16.0,,,,,5.0,1.0,3.0,10.0,1.0,3.0,,6.0,7.0,,,1.0,,,77,2022-03-29
Brisbane Lions,2022,34,Gold Coast,6,W,43,7.0,2.0,7.0,14.0,,,,2.0,1.0,,,4.0,1.0,1.0,,5.0,10.0,,,2.0,,,82,2022-04-05
Brisbane Lions,2022,35,Sydney,7,W,43,13.0,5.0,5.0,18.0,,,,2.0,1.0,2.0,1.0,8.0,1.0,4.0,,5.0,11.0,,,2.0,,,82,2022-04-12
Brisbane Lions,2022,36,West Coast,8,W,43,12.0,7.0,5.0,17.0,,,,8.0,2.0,3.0,1.0,3.0,3.0,1.0,,7.0,11.0,1.0,,2.0,,,79,2022-04-19
Brisbane Lions,2022,37,Adelaide,9,W,43,10.0,5.0,8.0,18.0,,,,1.0,5.0,1.0,2.0,6.0,1.0,1.0,,10.0,9.0,1.0,,3.0,,,83,2022-04-26
Brisbane Lions,2022,38,Hawthorn,10,L,43,8.0,4.0,3.0,11.0,,,,5.0,3.0,1.0,,3.0,,2.0,,,11.0,,,2.0,,,77,2022-05-03
Brisbane Lions,2022,39,Greater Western Sydney,11,W,43,10.0,2.0,5.0,15.0,,,,4.0,3.0,4.0,1.0,1.0,2.0,1.0,,3.0,11.0,,,2.0,,,89,2022-05-10
Brisbane Lions,2022,40,Fremantle,12,L,43,11.0,7.0,2.0,13.0,,,,1.0,2.0,,,2.0,1.0,,,2.0,10.0,,1.0,4.0,,,69,2022-05-17
Brisbane Lions,2022,41,St Kilda,13,W,43,10.0,3.0,4.0,14.0,,,,3.0,,1.0,1.0,1.0,1.0,1.0,,2.0,12.0,,,1.0,,,76,2022-05-24
Brisbane Lions,2022,42,Melbourne,15,L,43,9.0,7.0,5.0,14.0,,,,2.0,3.0,,,3.0,,,,4.0,10.0,,,4.0,,,86,2022-06-07
Brisbane Lions,2022,43,Western Bulldogs,16,W,43,8.0,4.0,5.0,13.0,,,,4.0,2.0,1.0,,2.0,1.0,1.0,,2.0,12.0,,,1.0,,,79,2022-06-14
Brisbane Lions,2022,44,Greater Western Sydney,18,W,43,14.0,5.0,1.0,15.0,,,,2.0,3.0,3.0,,5.0,,2.0,,1.0,14.0,,,2.0,,1.0,79,2022-06-28
Brisbane Lions,2022,45,Gold Coast,19,W,43,11.0,7.0,2.0,13.0,,,,,3.0,4.0,,4.0,2.0,3.0,,4.0,10.0,1.0,,2.0,,,79,2022-07-05
Brisbane Lions,2022,46,Richmond,20,L,43,8.0,4.0,2.0,10.0,,,,1.0,5.0,,1.0,2.0,1.0,1.0,,5.0,3.0,1.0,,3.0,,,86,2022-07-12
Brisbane Lions,2022,47,Carlton,21,W,43,6.0,5.0,3.0,9.0,,,,1.0,,1.0,,2.0,,1.0,,2.0,7.0,,,1.0,,,74,2022-07-19
Brisbane Lions,2022,48,St Kilda,22,W,43,12.0,11.0,2.0,14.0,,,,1.0,1.0,3.0,,1.0,,,,3.0,12.0,2.0,,4.0,,,86,2022-07-26
