team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2015,1↑,Port Adelaide,16,W,21,4.0,1.0,2.0,6.0,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,3.0,3.0,,,2.0,,,52.0,2015-06-14
Adelaide,2015,2↑,Gold Coast,17,W,21,3.0,1.0,2.0,5.0,,,,1.0,,,1.0,,,,,2.0,3.0,,,,,,23.0,2015-06-21
Adelaide,2015,3,Richmond,19,W,21,12.0,6.0,12.0,24.0,,,,,4.0,4.0,2.0,1.0,,1.0,,6.0,17.0,,,3.0,,,81.0,2015-07-05
Adelaide,2015,4,Essendon,20,W,21,14.0,5.0,4.0,18.0,1.0,,,,2.0,3.0,,4.0,,1.0,,1.0,16.0,,,,,,77.0,2015-07-12
Adelaide,2015,5,Brisbane Lions,21,W,21,11.0,7.0,7.0,18.0,2.0,,,4.0,2.0,2.0,,2.0,1.0,2.0,,3.0,15.0,,,1.0,,,86.0,2015-07-19
Adelaide,2015,6,West Coast,22,W,21,9.0,3.0,4.0,13.0,1.0,,,1.0,,2.0,1.0,,,,,4.0,9.0,,,1.0,,2.0,71.0,2015-07-26
Adelaide,2015,7,Geelong,23,L,21,6.0,2.0,6.0,12.0,,,,1.0,,2.0,1.0,2.0,,,,4.0,10.0,,,3.0,,,78.0,2015-08-02
Adelaide,2015,8↓,Western Bulldogs,EF,W,21,3.0,1.0,4.0,7.0,,,,1.0,,1.0,,1.0,,,,3.0,5.0,,,1.0,,,45.0,2015-03-01
Adelaide,2016,9,North Melbourne,1,L,21,9.0,3.0,9.0,18.0,,,,2.0,2.0,4.0,3.0,2.0,,1.0,,10.0,10.0,,,2.0,1.0,,77.0,2016-03-01
Adelaide,2016,10,Port Adelaide,2,W,21,8.0,4.0,5.0,13.0,,,,1.0,1.0,2.0,2.0,,1.0,,,5.0,7.0,1.0,,,2.0,,80.0,2016-03-08
