team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2019,1,Collingwood,1,W,30,5.0,2.0,4.0,9,,,,5.0,,3.0,,4.0,1.0,2.0,,4.0,5,,,1.0,,2.0,81,2019-03-01
Geelong,2019,2,Melbourne,2,W,30,4.0,,8.0,12,,,,8.0,1.0,,,3.0,,1.0,,8.0,3,,,2.0,,,77,2019-03-08
Geelong,2019,3,Adelaide,3,W,30,3.0,1.0,3.0,6,1.0,1.0,,,,,,2.0,,,,5.0,2,1.0,1.0,,,,82,2019-03-15
Geelong,2019,4,Greater Western Sydney,4,L,30,7.0,6.0,7.0,14,,1.0,,4.0,,,2.0,1.0,,,,6.0,9,1.0,1.0,,,,82,2019-03-22
Geelong,2019,5,Hawthorn,5,W,30,6.0,1.0,11.0,17,,,,7.0,1.0,3.0,3.0,4.0,2.0,2.0,,10.0,7,,,2.0,,,77,2019-03-29
Geelong,2019,6,West Coast,6,W,30,7.0,1.0,4.0,11,,,,5.0,1.0,4.0,2.0,2.0,,,,5.0,7,,,3.0,,,80,2019-04-05
Geelong,2019,7,Essendon,7,W,30,7.0,1.0,16.0,23,,,,6.0,1.0,5.0,3.0,4.0,,2.0,,13.0,9,1.0,,2.0,2.0,,78,2019-04-12
Geelong,2019,8,North Melbourne,8,W,30,,,4.0,4,,,,,,,,2.0,,2.0,,3.0,2,,,1.0,,,47,2019-04-19
Geelong,2019,9,Gold Coast,10,W,30,7.0,3.0,8.0,15,1.0,,,11.0,2.0,4.0,2.0,1.0,,,,10.0,6,,,4.0,,1.0,84,2019-05-03
Geelong,2019,10,Sydney,11,W,30,2.0,,12.0,14,,,,5.0,,1.0,4.0,1.0,,1.0,,9.0,5,,,,,,84,2019-05-10
Geelong,2019,11,Richmond,12,W,30,8.0,4.0,8.0,16,,,,1.0,1.0,2.0,1.0,,,,,7.0,11,1.0,,4.0,,,80,2019-05-17
Geelong,2019,12,Port Adelaide,14,L,30,7.0,1.0,8.0,15,,1.0,,5.0,,1.0,2.0,,1.0,,,10.0,5,,,3.0,,,85,2019-05-31
Geelong,2019,13,Adelaide,15,W,30,3.0,1.0,4.0,7,,,,7.0,,2.0,2.0,2.0,,,,4.0,3,,1.0,,,,75,2019-06-07
Geelong,2019,14,Western Bulldogs,16,L,30,6.0,3.0,6.0,12,,,,2.0,2.0,2.0,,2.0,,1.0,,5.0,7,,,,1.0,,91,2019-06-14
Geelong,2019,15,St Kilda,17,W,30,2.0,1.0,7.0,9,1.0,,,5.0,,1.0,1.0,1.0,,1.0,,2.0,7,,1.0,1.0,,,75,2019-06-21
Geelong,2019,16,Hawthorn,18,L,30,4.0,3.0,4.0,8,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,2.0,5,,1.0,,,,68,2019-06-28
Geelong,2019,17,Sydney,19,W,30,5.0,2.0,7.0,12,1.0,,,2.0,,2.0,2.0,1.0,,,,7.0,5,,,,,,78,2019-07-05
Geelong,2019,18,Fremantle,20,L,30,6.0,,9.0,15,,,,5.0,,3.0,1.0,,1.0,,,11.0,7,,,3.0,,1.0,86,2019-07-12
Geelong,2019,19,North Melbourne,21,W,30,6.0,,3.0,9,,,,5.0,,4.0,,,,,,4.0,4,,,1.0,,2.0,84,2019-07-19
Geelong,2019,20,Brisbane Lions,22,L,30,11.0,2.0,4.0,15,,1.0,,11.0,,2.0,3.0,2.0,3.0,1.0,,9.0,5,1.0,,,,,81,2019-07-26
Geelong,2019,21,Collingwood,QF,L,30,6.0,2.0,13.0,19,,,,4.0,1.0,1.0,2.0,4.0,,1.0,,9.0,9,,,1.0,,1.0,92,2019-03-01
Geelong,2019,22,West Coast,SF,W,30,6.0,1.0,5.0,11,1.0,,,8.0,1.0,1.0,,,2.0,,,4.0,7,,,,,,87,2019-03-01
Geelong,2019,23,Richmond,PF,L,30,4.0,1.0,7.0,11,,,,2.0,1.0,1.0,,3.0,1.0,1.0,,6.0,5,,,1.0,,1.0,89,2019-03-01
Geelong,2020,24,Greater Western Sydney,1,L,30,4.0,2.0,3.0,7,,,,,,1.0,,1.0,,,,,7,,,1.0,,1.0,83,2020-03-01
Geelong,2020,25,Hawthorn,2,W,30,5.0,1.0,8.0,13,2.0,,,,1.0,1.0,1.0,2.0,1.0,,,7.0,7,,1.0,2.0,,,73,2020-03-08
Geelong,2020,26,Carlton,3,L,30,2.0,,3.0,5,1.0,,,5.0,,1.0,1.0,2.0,,1.0,,2.0,3,,,1.0,,,82,2020-03-15
Geelong,2020,27,Melbourne,4,W,30,1.0,,,1,,,,1.0,,1.0,,,1.0,,,1.0,1,,,,,,50,2020-03-22
Geelong,2020,28,North Melbourne,10,W,30,4.0,2.0,3.0,7,,1.0,,3.0,1.0,,,,,,,3.0,4,,,1.0,,,74,2020-05-03
Geelong,2020,29,St Kilda,11,W,30,2.0,,7.0,9,,,,2.0,,,2.0,1.0,,,,6.0,3,,,2.0,,,73,2020-05-10
