team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2018,1,Western Bulldogs,7,L,31,6,4.0,1.0,7,1.0,,,2.0,,1.0,,1.0,,,,1.0,6,,,1.0,,,82,2018-04-12
Gold Coast,2018,2,Melbourne,8,L,31,7,5.0,2.0,9,,1.0,,1.0,,1.0,,1.0,1.0,,,4.0,5,1.0,,2.0,,,72,2018-04-19
Gold Coast,2018,3,Port Adelaide,9,L,31,3,,3.0,6,,,,1.0,,2.0,,4.0,,2.0,,5.0,1,,,2.0,1.0,,85,2018-04-26
Gold Coast,2018,4,Geelong,11,L,31,11,5.0,2.0,13,,1.0,,1.0,2.0,,,3.0,1.0,2.0,,3.0,9,,,4.0,,,78,2018-05-10
Gold Coast,2018,5,Greater Western Sydney,12,L,31,8,4.0,4.0,12,,,,2.0,2.0,,1.0,3.0,2.0,,,9.0,4,2.0,,3.0,,,84,2018-05-17
Gold Coast,2018,6,St Kilda,13,L,31,10,8.0,6.0,16,,,,1.0,2.0,1.0,,3.0,,1.0,,4.0,11,,,3.0,,,83,2018-05-24
Gold Coast,2018,7,Hawthorn,14,L,31,7,1.0,3.0,10,,,,,2.0,,1.0,2.0,,,,4.0,5,,,1.0,,,88,2018-05-31
Gold Coast,2018,8,Collingwood,15,L,31,5,1.0,1.0,6,,,,2.0,1.0,,,1.0,,,,3.0,3,1.0,,3.0,,,87,2018-06-07
Gold Coast,2018,9,North Melbourne,16,L,31,4,3.0,4.0,8,,,,1.0,2.0,,,3.0,1.0,1.0,,4.0,5,1.0,,3.0,,,84,2018-06-14
Gold Coast,2018,10,Essendon,17,L,31,9,6.0,4.0,13,,,,2.0,5.0,,,1.0,,,,5.0,8,1.0,,6.0,,,84,2018-06-21
Gold Coast,2018,11,Sydney,18,W,31,9,2.0,4.0,13,,,,2.0,,2.0,2.0,,1.0,,,7.0,6,1.0,,2.0,,,71,2018-06-28
Gold Coast,2019,12,St Kilda,1,L,10,15,4.0,9.0,24,,1.0,,4.0,6.0,1.0,,6.0,3.0,2.0,,8.0,16,2.0,,5.0,,,93,2019-03-01
Gold Coast,2019,13,Fremantle,2,W,10,10,1.0,6.0,16,,,,1.0,2.0,1.0,,2.0,,2.0,,7.0,7,,,2.0,,,93,2019-03-08
Gold Coast,2019,14,Western Bulldogs,3,W,10,4,2.0,3.0,7,,,,2.0,3.0,,,1.0,1.0,,,3.0,6,1.0,,3.0,,,81,2019-03-15
Gold Coast,2019,15,Carlton,4,W,10,10,5.0,6.0,16,,,,2.0,2.0,1.0,,4.0,,1.0,,4.0,9,1.0,,1.0,,,86,2019-03-22
Gold Coast,2019,16,Adelaide,5,L,10,13,7.0,6.0,19,,,,3.0,4.0,1.0,,2.0,,,,7.0,12,,,6.0,,,87,2019-03-29
Gold Coast,2019,17,Brisbane Lions,6,L,10,7,3.0,2.0,9,,,,,,,,,,,,2.0,6,2.0,,3.0,,,82,2019-04-05
Gold Coast,2019,18,West Coast,7,L,10,11,3.0,5.0,16,,,,,2.0,,,2.0,,1.0,,3.0,12,,,6.0,,,92,2019-04-12
Gold Coast,2019,19,Melbourne,8,L,10,7,3.0,3.0,10,,,,,1.0,,,2.0,,,,5.0,5,1.0,,4.0,,,87,2019-04-19
Gold Coast,2019,20,Port Adelaide,9,L,10,11,4.0,4.0,15,,,,3.0,6.0,,,1.0,2.0,,,7.0,6,1.0,,5.0,,,91,2019-04-26
Gold Coast,2019,21,Geelong,10,L,10,8,2.0,3.0,11,,,,,4.0,1.0,,3.0,,,,6.0,5,1.0,,8.0,1.0,,87,2019-05-03
Gold Coast,2019,22,Greater Western Sydney,11,L,10,5,1.0,,5,,,,,4.0,,,,1.0,,,,5,,,6.0,,,92,2019-05-10
Gold Coast,2019,23,North Melbourne,12,L,10,11,6.0,5.0,16,,,,,5.0,2.0,,3.0,,2.0,,4.0,10,,,5.0,,,92,2019-05-17
Gold Coast,2019,24,St Kilda,13,L,10,9,6.0,3.0,12,,,,1.0,4.0,1.0,,1.0,1.0,,,7.0,5,1.0,,4.0,,1.0,89,2019-05-24
Gold Coast,2019,25,Sydney,15,L,10,12,11.0,,12,,,,2.0,2.0,1.0,,3.0,1.0,1.0,,4.0,9,2.0,,4.0,,,88,2019-06-07
Gold Coast,2019,26,Richmond,16,L,10,10,8.0,2.0,12,,,,,4.0,,,5.0,1.0,1.0,,2.0,9,1.0,,8.0,,,88,2019-06-14
Gold Coast,2019,27,Adelaide,17,L,10,13,9.0,,13,,,,,4.0,2.0,,4.0,,1.0,,4.0,9,2.0,,6.0,,,90,2019-06-21
Gold Coast,2019,28,Carlton,18,L,10,7,4.0,2.0,9,,,,1.0,1.0,1.0,,2.0,,2.0,,3.0,4,1.0,,4.0,,,86,2019-06-28
Gold Coast,2019,29,Collingwood,20,L,10,21,15.0,1.0,22,,,,,8.0,1.0,,,1.0,,,7.0,15,3.0,,5.0,,,90,2019-07-12
Gold Coast,2019,30,Brisbane Lions,21,L,10,6,1.0,1.0,7,,,,1.0,4.0,,,2.0,,,,2.0,3,1.0,,8.0,,,88,2019-07-19
Gold Coast,2019,31,Hawthorn,22,L,10,12,9.0,1.0,13,,,,3.0,3.0,1.0,,2.0,2.0,1.0,,5.0,8,1.0,,6.0,,1.0,95,2019-07-26
Gold Coast,2019,32,Greater Western Sydney,23,L,10,9,7.0,1.0,10,,,,,1.0,1.0,1.0,5.0,,3.0,,2.0,7,1.0,,5.0,,,86,2019-08-02
Gold Coast,2020,33,West Coast,2,W,10,4,2.0,2.0,6,,,,2.0,,,,1.0,,,,3.0,2,1.0,,11.0,,,92,2020-03-08
Gold Coast,2020,34,Adelaide,3,W,10,9,7.0,4.0,13,,,,,3.0,2.0,,3.0,,1.0,,5.0,8,2.0,,4.0,,,92,2020-03-15
