team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2017,1,Essendon,17,L,26,3.0,2.0,2.0,5.0,1.0,,,,,1.0,,2.0,,,,1.0,3.0,,1.0,,,,61.0,2017-06-21
St Kilda,2018,2,Sydney,12,L,26,8.0,4.0,6.0,14.0,2.0,1.0,,2.0,1.0,2.0,,2.0,3.0,1.0,,7.0,7.0,,1.0,5.0,,,83.0,2018-05-17
St Kilda,2018,3,Gold Coast,13,W,26,7.0,2.0,5.0,12.0,3.0,,,3.0,,,,3.0,2.0,1.0,,6.0,7.0,1.0,1.0,2.0,,,86.0,2018-05-24
St Kilda,2018,4,Melbourne,15,W,26,9.0,7.0,7.0,16.0,1.0,2.0,4.0,3.0,,4.0,1.0,4.0,1.0,1.0,,7.0,10.0,2.0,2.0,1.0,,1.0,73.0,2018-06-07
St Kilda,2018,5,Richmond,18,L,26,4.0,2.0,3.0,7.0,,1.0,,2.0,,2.0,,1.0,,,,2.0,4.0,,,2.0,,,76.0,2018-06-28
St Kilda,2018,6,Greater Western Sydney,19,L,26,4.0,2.0,3.0,7.0,1.0,,,3.0,,,,4.0,1.0,4.0,,3.0,4.0,,,2.0,,,69.0,2018-07-05
St Kilda,2018,7,Western Bulldogs,20,L,26,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,6.0,2018-07-12
St Kilda,2019,8,Gold Coast,1,W,26,11.0,6.0,7.0,18.0,,,,1.0,2.0,1.0,,1.0,,1.0,,6.0,11.0,3.0,,6.0,1.0,,74.0,2019-03-01
St Kilda,2019,9,Essendon,2,W,26,6.0,3.0,1.0,7.0,,,,2.0,3.0,,,1.0,,1.0,,2.0,4.0,,,5.0,,,90.0,2019-03-08
St Kilda,2019,10,Fremantle,3,L,26,13.0,9.0,4.0,17.0,,,,2.0,8.0,,,2.0,,1.0,,2.0,13.0,1.0,,2.0,,,86.0,2019-03-15
St Kilda,2019,11,Hawthorn,4,W,26,11.0,7.0,5.0,16.0,,,,2.0,6.0,1.0,,3.0,,,,4.0,10.0,1.0,,,,,87.0,2019-03-22
St Kilda,2019,12,Melbourne,5,W,26,8.0,7.0,5.0,13.0,,,,1.0,2.0,1.0,,,1.0,,,2.0,11.0,,,5.0,1.0,,81.0,2019-03-29
St Kilda,2019,13,Adelaide,6,L,26,17.0,9.0,4.0,21.0,,,,4.0,4.0,2.0,,4.0,4.0,2.0,,6.0,14.0,1.0,,4.0,1.0,1.0,90.0,2019-04-05
St Kilda,2019,14,Greater Western Sydney,7,L,26,8.0,2.0,5.0,13.0,,,,,2.0,1.0,,,2.0,,,5.0,7.0,1.0,,,1.0,,91.0,2019-04-12
St Kilda,2019,15,West Coast,8,L,26,17.0,9.0,4.0,21.0,,,,4.0,6.0,1.0,,1.0,1.0,1.0,,5.0,12.0,1.0,,1.0,2.0,,87.0,2019-04-19
St Kilda,2019,16,Collingwood,9,L,26,7.0,4.0,5.0,12.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,,5.0,7.0,1.0,1.0,6.0,,,82.0,2019-04-26
St Kilda,2019,17,Carlton,10,W,26,12.0,8.0,3.0,15.0,,,,3.0,3.0,1.0,,1.0,1.0,1.0,,2.0,10.0,,,3.0,,,80.0,2019-05-03
St Kilda,2019,18,Port Adelaide,11,L,26,12.0,4.0,5.0,17.0,,,,3.0,4.0,,,4.0,,3.0,,1.0,13.0,,,,,,81.0,2019-05-10
St Kilda,2019,19,Gold Coast,13,W,26,9.0,6.0,3.0,12.0,1.0,,,2.0,3.0,1.0,,1.0,,1.0,,2.0,8.0,,,1.0,2.0,,80.0,2019-05-24
St Kilda,2019,20,Brisbane Lions,14,L,26,15.0,8.0,1.0,16.0,,,,7.0,6.0,,,2.0,,,,4.0,11.0,,,1.0,,,86.0,2019-05-31
St Kilda,2019,21,Richmond,15,L,26,17.0,11.0,3.0,20.0,,,,5.0,4.0,,,3.0,2.0,2.0,,2.0,17.0,,,1.0,1.0,,85.0,2019-06-07
St Kilda,2019,22,North Melbourne,16,L,26,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,2019-06-14
St Kilda,2019,23,Adelaide,20,L,26,11.0,6.0,4.0,15.0,,,,4.0,2.0,1.0,,2.0,,1.0,,2.0,12.0,,,3.0,,,76.0,2019-07-12
St Kilda,2019,24,Fremantle,21,W,26,12.0,6.0,4.0,16.0,1.0,,,5.0,,,,2.0,2.0,1.0,,7.0,7.0,3.0,1.0,3.0,,,73.0,2019-07-19
St Kilda,2019,25,Carlton,22,L,26,8.0,4.0,8.0,16.0,,,,2.0,3.0,,1.0,2.0,,1.0,,7.0,9.0,1.0,,11.0,,,83.0,2019-07-26
St Kilda,2019,26,Sydney,23,L,26,10.0,6.0,5.0,15.0,,1.0,,2.0,1.0,1.0,,4.0,,2.0,,2.0,13.0,,,1.0,,1.0,78.0,2019-08-02
St Kilda,2020,27,Richmond,4,W,26,9.0,6.0,7.0,16.0,1.0,,2.0,,,2.0,,3.0,2.0,1.0,,7.0,9.0,2.0,1.0,1.0,,1.0,71.0,2020-03-22
