team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2022,1,Geelong,14,L,33,4.0,6.0,3.0,7.0,,,,2.0,3.0,,,1.0,,1.0,,1.0,6.0,1.0,,,,,82.0,2022-05-31
West Coast,2022,2,Essendon,15,W,33,8.0,6.0,3.0,11.0,,1.0,,2.0,3.0,1.0,,2.0,,,,3.0,7.0,,,1.0,,,89.0,2022-06-07
West Coast,2022,3,Richmond,16,L,33,2.0,1.0,7.0,9.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,8.0,,,3.0,,,86.0,2022-06-14
West Coast,2022,4,Carlton,17,L,33,6.0,1.0,2.0,8.0,,,,3.0,2.0,,,3.0,1.0,,,2.0,5.0,,,1.0,,,85.0,2022-06-21
West Coast,2022,5,Hawthorn,18,L,33,9.0,6.0,3.0,12.0,,,,,3.0,,,,,,,3.0,10.0,1.0,,5.0,,,83.0,2022-06-28
West Coast,2022,6,St Kilda,19,L,33,8.0,4.0,8.0,16.0,,,,2.0,2.0,,,2.0,,,,4.0,13.0,,,2.0,,,82.0,2022-07-05
West Coast,2022,7,Adelaide,21,L,33,,,,,,,,,,,,,,,,,,,,,,,,2022-07-19
West Coast,2022,8,Fremantle,22,L,33,7.0,5.0,4.0,11.0,,,,1.0,4.0,,,1.0,,,,5.0,6.0,,,7.0,,,85.0,2022-07-26
West Coast,2022,9,Geelong,23,L,33,13.0,9.0,2.0,15.0,,,,,4.0,3.0,,1.0,,,,3.0,12.0,1.0,,1.0,,,82.0,2022-08-02
West Coast,2023,10↑,Port Adelaide,6,L,33,2.0,2.0,4.0,6.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,4.0,,,,,,41.0,2023-04-05
West Coast,2023,11↑,Carlton,7,L,33,1.0,,2.0,3.0,,,,,,,,1.0,,,,3.0,1.0,,,2.0,,,16.0,2023-04-12
West Coast,2023,12,Hawthorn,10,L,33,2.0,1.0,3.0,5.0,,,,1.0,1.0,,,1.0,1.0,1.0,,3.0,2.0,,,1.0,,,82.0,2023-05-03
West Coast,2023,13,Essendon,11,L,33,4.0,5.0,9.0,13.0,,,,2.0,,1.0,,2.0,,1.0,,4.0,9.0,,,1.0,,,86.0,2023-05-10
West Coast,2023,14,Collingwood,12,L,33,5.0,3.0,8.0,13.0,,,,,2.0,2.0,,2.0,,1.0,,4.0,9.0,1.0,,6.0,,,84.0,2023-05-17
West Coast,2023,15,Adelaide,13,L,33,6.0,6.0,6.0,12.0,,,,,2.0,,,7.0,,3.0,,6.0,7.0,2.0,,6.0,,,81.0,2023-05-24
West Coast,2023,16,Sydney,15,L,33,2.0,1.0,4.0,6.0,,,,,2.0,,,1.0,,1.0,,,7.0,,,3.0,,,79.0,2023-06-07
West Coast,2023,17,St Kilda,16,L,33,9.0,4.0,3.0,12.0,,,,2.0,3.0,2.0,,2.0,,2.0,,1.0,10.0,,,2.0,1.0,,79.0,2023-06-14
West Coast,2023,18,Brisbane Lions,17,L,33,5.0,6.0,3.0,8.0,,,,1.0,1.0,,,1.0,2.0,1.0,,2.0,6.0,,,,,,80.0,2023-06-21
West Coast,2023,19,Carlton,19,L,33,4.0,4.0,9.0,13.0,,,,,,,1.0,2.0,,,,6.0,7.0,1.0,,5.0,,,84.0,2023-07-05
West Coast,2023,20↓,North Melbourne,20,W,33,1.0,2.0,3.0,4.0,,,,2.0,1.0,,,1.0,,1.0,,2.0,3.0,,,1.0,,,36.0,2023-07-12
West Coast,2024,21,Geelong,25,L,33,4.0,3.0,2.0,6.0,,,,1.0,3.0,,,1.0,,1.0,,2.0,4.0,,,3.0,,,80.0,2024-08-16
West Coast,2025,22,Port Adelaide,19,L,33,5.0,4.0,2.0,7.0,,,,4.0,2.0,1.0,1.0,3.0,1.0,1.0,,3.0,6.0,,,4.0,,,83.0,2025-07-05
West Coast,2025,23,Richmond,20,L,33,3.0,4.0,7.0,10.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,9.0,,,4.0,,,85.0,2025-07-12
West Coast,2025,24,Fremantle,21,L,33,6.0,6.0,4.0,10.0,,,,1.0,1.0,2.0,,1.0,,,,5.0,6.0,2.0,,8.0,,1.0,85.0,2025-07-19
West Coast,2025,25,Melbourne,22,L,33,6,2,4,10,,,3,4,2,,,4,,2,,1,8,,,5,,,91,2025-07-26
