team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2021,1,North Melbourne,1,W,14,7.0,2.0,7.0,14.0,,,,3.0,3.0,1.0,,4.0,,,,2.0,12.0,,,1.0,,,83.0,2021-03-01
Port Adelaide,2021,2,Essendon,2,W,14,12.0,7.0,3.0,15.0,,,,1.0,5.0,,,5.0,1.0,2.0,,5.0,11.0,,,3.0,,,71.0,2021-03-08
Port Adelaide,2021,3,West Coast,3,L,14,,,,,,,,,,,,,,,,,,,,,,,,2021-03-15
Port Adelaide,2021,4,Carlton,5,W,14,12.0,7.0,4.0,16.0,,,,1.0,1.0,1.0,,3.0,,,,2.0,14.0,,,1.0,1.0,,79.0,2021-03-29
Port Adelaide,2021,5,St Kilda,6,W,14,12.0,7.0,4.0,16.0,,1.0,,2.0,1.0,1.0,1.0,2.0,,1.0,,3.0,13.0,1.0,,1.0,,,73.0,2021-04-05
Port Adelaide,2021,6,Brisbane Lions,7,L,14,15.0,7.0,4.0,19.0,1.0,1.0,,,3.0,4.0,,2.0,2.0,,,5.0,14.0,,1.0,1.0,,,78.0,2021-04-12
Port Adelaide,2021,7,Adelaide,8,W,14,8.0,4.0,7.0,15.0,,,,3.0,3.0,,1.0,1.0,1.0,,,5.0,9.0,,,1.0,,,77.0,2021-04-19
Port Adelaide,2021,8,Western Bulldogs,9,L,14,6.0,1.0,5.0,11.0,,,,4.0,,1.0,1.0,2.0,1.0,1.0,,6.0,5.0,,,1.0,,,77.0,2021-04-26
Port Adelaide,2021,9,Collingwood,10,W,14,,,,,,,,,,,,,,,,,,,,,,,,2021-05-03
Port Adelaide,2021,10↑,Fremantle,11,W,14,2.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,17.0,2021-05-10
Port Adelaide,2021,11,Geelong,13,L,14,9.0,2.0,7.0,16.0,,,,4.0,2.0,2.0,,2.0,1.0,,,2.0,13.0,,,1.0,,,76.0,2021-05-24
Port Adelaide,2021,12,Gold Coast,14,W,14,11.0,7.0,12.0,23.0,,,,6.0,1.0,2.0,1.0,1.0,1.0,,,7.0,17.0,,,1.0,,1.0,87.0,2021-05-31
Port Adelaide,2021,13,Sydney,15,W,14,8.0,7.0,9.0,17.0,1.0,1.0,,1.0,2.0,2.0,1.0,3.0,,,,6.0,12.0,1.0,2.0,3.0,,,83.0,2021-06-07
Port Adelaide,2021,14,Hawthorn,16,W,14,8.0,2.0,5.0,13.0,2.0,,,1.0,,1.0,,5.0,2.0,,,7.0,5.0,,,1.0,,,81.0,2021-06-14
Port Adelaide,2021,15,Melbourne,17,L,14,9.0,8.0,6.0,15.0,,,,,3.0,1.0,,1.0,,1.0,,4.0,11.0,,,,,,82.0,2021-06-21
Port Adelaide,2021,16,St Kilda,18,W,14,5.0,2.0,6.0,11.0,,,,3.0,,,1.0,2.0,1.0,,,6.0,5.0,,,2.0,,1.0,86.0,2021-06-28
Port Adelaide,2021,17,Collingwood,19,W,14,5.0,4.0,3.0,8.0,,,,3.0,2.0,1.0,,,,,,3.0,6.0,,,2.0,,,81.0,2021-07-05
Port Adelaide,2021,18,Greater Western Sydney,20,W,14,10.0,5.0,11.0,21.0,,1.0,,1.0,,5.0,1.0,2.0,2.0,,,9.0,13.0,1.0,,4.0,,,80.0,2021-07-12
Port Adelaide,2021,19,Adelaide,21,W,14,13.0,2.0,10.0,23.0,,,,4.0,1.0,4.0,4.0,2.0,3.0,,,11.0,12.0,,,,,,77.0,2021-07-19
Port Adelaide,2021,20,Carlton,22,W,14,14.0,7.0,6.0,20.0,2.0,1.0,,1.0,2.0,4.0,,6.0,,,,3.0,16.0,,1.0,1.0,,1.0,76.0,2021-07-26
Port Adelaide,2021,21,Western Bulldogs,23,W,14,10.0,7.0,4.0,14.0,,,,1.0,,1.0,1.0,1.0,,,,3.0,11.0,,,,,,85.0,2021-08-02
Port Adelaide,2021,22,Geelong,QF,W,14,14.0,7.0,4.0,18.0,,1.0,,3.0,2.0,5.0,4.0,2.0,,,,4.0,14.0,,,1.0,,,79.0,2021-03-01
Port Adelaide,2021,23,Western Bulldogs,PF,L,14,9.0,5.0,9.0,18.0,,1.0,,,1.0,2.0,,4.0,1.0,,,8.0,10.0,2.0,,1.0,1.0,,78.0,2021-03-01
Port Adelaide,2022,24,Melbourne,4,L,14,14.0,10.0,11.0,25.0,,1.0,,,2.0,2.0,1.0,7.0,,1.0,,8.0,17.0,,,1.0,,,86.0,2022-03-22
Port Adelaide,2022,25,Carlton,5,L,14,7.0,6.0,3.0,10.0,,1.0,,3.0,,1.0,,3.0,,1.0,,1.0,9.0,,1.0,4.0,,1.0,73.0,2022-03-29
Port Adelaide,2022,26,Fremantle,16,L,14,9.0,3.0,7.0,16.0,1.0,,,3.0,1.0,1.0,1.0,2.0,2.0,,,6.0,12.0,,,2.0,,,75.0,2022-06-14
Port Adelaide,2022,27,Greater Western Sydney,17,W,14,13.0,2.0,6.0,19.0,1.0,,,3.0,,4.0,3.0,2.0,1.0,,,8.0,11.0,,,,1.0,,74.0,2022-06-21
Port Adelaide,2022,28,Melbourne,18,L,14,11.0,8.0,5.0,16.0,2.0,,,1.0,,1.0,2.0,2.0,,,,6.0,10.0,,1.0,3.0,1.0,,76.0,2022-06-28
Port Adelaide,2022,29,Geelong,19,L,14,9.0,5.0,8.0,17.0,,,,4.0,2.0,4.0,1.0,2.0,1.0,,,3.0,13.0,1.0,,2.0,,1.0,74.0,2022-07-05
Port Adelaide,2022,30,Collingwood,20,L,14,9.0,5.0,5.0,14.0,,,,3.0,2.0,3.0,,4.0,,,,4.0,9.0,1.0,,3.0,,,83.0,2022-07-12
Port Adelaide,2022,31,Richmond,21,L,14,10.0,3.0,10.0,20.0,1.0,1.0,,1.0,1.0,,2.0,3.0,,,,8.0,12.0,,1.0,2.0,,,78.0,2022-07-19
Port Adelaide,2022,32,Essendon,22,W,14,7.0,2.0,6.0,13.0,1.0,,,1.0,,1.0,,2.0,,,,4.0,10.0,,1.0,,,,65.0,2022-07-26
Port Adelaide,2022,33,Adelaide,23,W,14,10.0,3.0,3.0,13.0,,2.0,,3.0,1.0,3.0,,2.0,1.0,,,4.0,8.0,,1.0,2.0,,,72.0,2022-08-02
Port Adelaide,2023,34,Brisbane Lions,1,W,14,18.0,6.0,5.0,23.0,,2.0,,2.0,,4.0,4.0,4.0,,1.0,,9.0,15.0,,,4.0,1.0,1.0,81.0,2023-03-01
Port Adelaide,2023,35,Collingwood,2,L,14,9.0,6.0,8.0,17.0,,,,3.0,4.0,2.0,1.0,6.0,1.0,4.0,,8.0,10.0,1.0,,2.0,,,79.0,2023-03-08
Port Adelaide,2023,36,Adelaide,3,L,14,13.0,6.0,3.0,16.0,,1.0,,5.0,2.0,5.0,3.0,2.0,2.0,,,4.0,12.0,,,,,,82.0,2023-03-15
Port Adelaide,2023,37,Sydney,4,W,14,10.0,5.0,3.0,13.0,,,,2.0,7.0,1.0,2.0,4.0,1.0,1.0,,3.0,9.0,,,,1.0,,78.0,2023-03-22
Port Adelaide,2023,38,Western Bulldogs,5,W,14,9.0,6.0,1.0,10.0,,,,3.0,4.0,2.0,1.0,3.0,,1.0,,4.0,7.0,1.0,,5.0,,,88.0,2023-03-29
Port Adelaide,2023,39,West Coast,6,W,14,7.0,4.0,4.0,11.0,,,,3.0,3.0,1.0,,1.0,,,,1.0,10.0,,,7.0,,,80.0,2023-04-05
Port Adelaide,2023,40,St Kilda,7,W,14,15.0,5.0,6.0,21.0,,1.0,,1.0,5.0,3.0,,4.0,,,,7.0,15.0,,,5.0,,,83.0,2023-04-12
Port Adelaide,2023,41,Essendon,8,W,14,12.0,7.0,3.0,15.0,,,,2.0,5.0,2.0,1.0,2.0,1.0,,,9.0,5.0,3.0,,1.0,,,86.0,2023-04-19
Port Adelaide,2023,42,North Melbourne,9,W,14,16.0,10.0,5.0,21.0,,,,4.0,5.0,5.0,1.0,,2.0,,,5.0,16.0,,,2.0,,,81.0,2023-04-26
Port Adelaide,2023,43,Melbourne,10,W,14,6.0,2.0,3.0,9.0,,,,3.0,4.0,1.0,,,2.0,,,6.0,3.0,,,4.0,,,79.0,2023-05-03
Port Adelaide,2023,44,Richmond,11,W,14,7.0,5.0,6.0,13.0,,2.0,,2.0,1.0,2.0,1.0,4.0,,2.0,,6.0,8.0,,1.0,1.0,,,77.0,2023-05-10
Port Adelaide,2023,45,Hawthorn,12,W,14,12.0,6.0,5.0,17.0,,1.0,,3.0,2.0,4.0,5.0,4.0,1.0,,,7.0,11.0,,1.0,1.0,1.0,1.0,82.0,2023-05-17
Port Adelaide,2023,46,Western Bulldogs,13,W,14,7.0,7.0,3.0,10.0,,,,1.0,5.0,1.0,1.0,3.0,,2.0,,6.0,6.0,1.0,,3.0,,,80.0,2023-05-24
Port Adelaide,2023,47,Geelong,14,W,14,3.0,2.0,3.0,6.0,,,,1.0,2.0,1.0,,4.0,,1.0,,5.0,2.0,1.0,,3.0,,1.0,82.0,2023-05-31
Port Adelaide,2023,48,Essendon,16,W,14,5.0,1.0,2.0,7.0,,,,2.0,,,2.0,,,,,4.0,2.0,1.0,,4.0,,,85.0,2023-06-14
Port Adelaide,2023,49,Gold Coast,17,W,14,8.0,4.0,2.0,10.0,,,,2.0,6.0,1.0,1.0,2.0,,,,7.0,5.0,1.0,,3.0,,1.0,81.0,2023-06-21
Port Adelaide,2023,50,Carlton,18,L,14,5.0,1.0,5.0,10.0,,,,3.0,4.0,1.0,1.0,2.0,,,,4.0,6.0,,,1.0,1.0,,81.0,2023-06-28
