team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2022,1↓,Carlton,7,L,27,1,,,1,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,25,2022-04-12
North Melbourne,2023,2,West Coast,1,W,27,9,3.0,4.0,13,,,,,2.0,3.0,,1.0,2.0,,,4.0,9.0,1.0,,1.0,,,86,2023-03-01
North Melbourne,2023,3,Fremantle,2,W,27,6,6.0,4.0,10,,,,1.0,2.0,,,,,,,2.0,8.0,,,1.0,,1.0,76,2023-03-08
North Melbourne,2023,4,Hawthorn,3,L,27,9,3.0,5.0,14,,,,1.0,3.0,1.0,,1.0,1.0,,,4.0,10.0,,,2.0,,,80,2023-03-15
North Melbourne,2023,5,St Kilda,8,L,27,9,5.0,7.0,16,,,,,2.0,1.0,,2.0,1.0,,,4.0,12.0,,,2.0,,,84,2023-04-19
North Melbourne,2023,6,Port Adelaide,9,L,27,7,2.0,3.0,10,,,,2.0,1.0,3.0,2.0,,,,,2.0,8.0,,,5.0,,2.0,75,2023-04-26
North Melbourne,2023,7,Sydney,10,L,27,8,6.0,3.0,11,,,,2.0,2.0,1.0,,,,,,2.0,11.0,,,,,,75,2023-05-03
North Melbourne,2023,8,Collingwood,11,L,27,8,3.0,3.0,11,,,,3.0,,1.0,,2.0,1.0,1.0,,4.0,9.0,,,1.0,,1.0,86,2023-05-10
North Melbourne,2023,9,Essendon,12,L,27,8,5.0,10.0,18,,,,2.0,2.0,1.0,,1.0,1.0,,,5.0,13.0,,,,1.0,,73,2023-05-17
North Melbourne,2023,10↓,Greater Western Sydney,13,L,27,2,,2.0,4,,,,,2.0,,1.0,2.0,,,,1.0,3.0,,,1.0,,,53,2023-05-24
North Melbourne,2023,11↑,Western Bulldogs,14,L,27,4,2.0,1.0,5,,,,,2.0,1.0,,1.0,,,,1.0,4.0,,,1.0,,,27,2023-05-31
North Melbourne,2023,12,Adelaide,16,L,27,7,4.0,5.0,12,,,,2.0,,,1.0,5.0,1.0,1.0,,3.0,8.0,,,4.0,,,73,2023-06-14
North Melbourne,2023,13,Gold Coast,24,W,27,9,3.0,4.0,13,,,,,4.0,1.0,,2.0,,,,1.0,12.0,,,2.0,,,69,2023-08-09
North Melbourne,2024,14,Essendon,11,L,27,4,2.0,4.0,8,,,,1.0,1.0,,,1.0,,,,3.0,4.0,,,1.0,,,48,2024-05-10
North Melbourne,2024,15,West Coast,23,L,27,10,6.0,1.0,11,,,,1.0,1.0,2.0,,,,,,2.0,9.0,1.0,,1.0,,,64,2024-08-10
North Melbourne,2024,16↑,Western Bulldogs,24,L,27,2,1.0,1.0,3,,,,,,,,,,,,,2.0,,,,,,24,2024-08-18
