team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2017,1,St Kilda,3,L,13,3,2.0,5.0,8,1.0,,,2.0,,,,1.0,,1.0,,2.0,6,,1.0,2.0,,,73,2017-03-15
Brisbane Lions,2017,2,Richmond,4,L,13,7,2.0,3.0,10,,,,3.0,1.0,1.0,1.0,5.0,2.0,3.0,,4.0,6,,,1.0,,,74,2017-03-22
Brisbane Lions,2017,3,Western Bulldogs,5,L,13,2,2.0,4.0,6,,,,2.0,1.0,1.0,,3.0,,2.0,,1.0,6,,,,,,73,2017-03-29
Brisbane Lions,2017,4,Port Adelaide,6,L,13,5,1.0,11.0,16,,,,7.0,3.0,1.0,3.0,2.0,3.0,1.0,,8.0,8,,,,,,88,2017-04-05
Brisbane Lions,2017,5,Sydney,7,L,13,5,2.0,6.0,11,1.0,,,4.0,,4.0,2.0,1.0,,,,4.0,7,,1.0,1.0,,1.0,66,2017-04-12
Brisbane Lions,2017,6,Hawthorn,8,L,13,7,5.0,6.0,13,1.0,,,4.0,,3.0,1.0,,1.0,,,4.0,9,,,1.0,,,76,2017-04-19
Brisbane Lions,2017,7,Adelaide,9,L,13,6,3.0,10.0,16,,1.0,,2.0,1.0,,1.0,1.0,2.0,,,7.0,9,,1.0,2.0,,1.0,75,2017-04-26
Brisbane Lions,2017,8,Collingwood,10,L,13,3,1.0,3.0,6,1.0,,,5.0,,1.0,,1.0,2.0,1.0,,6.0,1,1.0,1.0,1.0,,1.0,73,2017-05-03
Brisbane Lions,2017,9,Fremantle,12,W,13,8,4.0,7.0,15,1.0,,,5.0,,2.0,2.0,3.0,,1.0,,6.0,10,,1.0,1.0,,1.0,65,2017-05-17
Brisbane Lions,2017,10,Port Adelaide,13,L,13,6,2.0,10.0,16,,,,,3.0,1.0,4.0,4.0,1.0,2.0,,9.0,7,,,,1.0,,75,2017-05-24
Brisbane Lions,2017,11,Greater Western Sydney,14,L,13,4,3.0,14.0,18,1.0,1.0,,2.0,1.0,,4.0,,1.0,,,9.0,9,1.0,,3.0,,,84,2017-05-31
Brisbane Lions,2017,12,Essendon,15,W,13,7,3.0,8.0,15,,,,3.0,,3.0,1.0,,2.0,,,5.0,10,,1.0,2.0,,,69,2017-06-07
Brisbane Lions,2017,13,Geelong,16,L,13,7,6.0,11.0,18,,,,6.0,3.0,3.0,1.0,2.0,3.0,2.0,,10.0,10,,,1.0,,1.0,67,2017-06-14
Brisbane Lions,2017,14,Richmond,17,L,13,8,7.0,4.0,12,,,,7.0,1.0,5.0,,2.0,1.0,1.0,,2.0,10,,1.0,1.0,,2.0,72,2017-06-21
Brisbane Lions,2017,15,Carlton,18,W,13,6,7.0,15.0,21,,1.0,,3.0,1.0,3.0,6.0,,,,,9.0,12,1.0,,,,1.0,84,2017-06-28
