team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2025,1,Collingwood,2,L,5,6,6.0,3.0,9,,1.0,,,,2.0,,2.0,,1.0,,,9,,1.0,1.0,,,74,2025-03-15
Port Adelaide,2025,2,Richmond,3,W,5,4,2.0,6.0,10,1.0,1.0,,3.0,,1.0,,1.0,,,,,9,,1.0,1.0,,1.0,77,2025-03-22
Port Adelaide,2025,3,Essendon,4,L,5,10,5.0,5.0,15,,1.0,,,,5.0,,4.0,1.0,,,3.0,12,,1.0,,2.0,1.0,72,2025-03-27
Port Adelaide,2025,4↑,St Kilda,5,L,5,4,2.0,2.0,6,,,,2.0,,2.0,,2.0,1.0,1.0,,4.0,2,,,,,1.0,38,2025-04-06
Port Adelaide,2025,5↑,Hawthorn,6,W,5,1,,1.0,2,,,,1.0,,1.0,1.0,1.0,,,,1.0,1,,,,,,25,2025-04-13
Port Adelaide,2025,6,North Melbourne,8,W,5,6,,3.0,9,,,,3.0,2.0,3.0,2.0,1.0,1.0,,,5.0,3,,,1.0,,,54,2025-04-26
Port Adelaide,2025,7↓,Western Bulldogs,9,L,5,2,1.0,1.0,3,,,,,,1.0,,1.0,,1.0,,1.0,2,,,,,,36,2025-05-03
Port Adelaide,2025,8,Adelaide,21,L,5,2,1.0,4.0,6,,,,4.0,,1.0,,2.0,,1.0,,4.0,2,,,,,,74,2025-07-26
Port Adelaide,2025,9,Geelong,22,L,5,10,3.0,2.0,12,1.0,,,2.0,,3.0,,,3.0,,,3.0,8,,,1.0,1.0,,83,2025-08-03
Port Adelaide,2025,10,Fremantle,23,L,5,7,3.0,6.0,13,1.0,,,5.0,1.0,1.0,1.0,2.0,1.0,,,5.0,8,,,,,,75,2025-08-09
Port Adelaide,2025,11,Carlton,24,L,5,5,3.0,4.0,9,,1.0,,3.0,,3.0,,1.0,1.0,1.0,,2.0,7,,1.0,,,,82,2025-08-16
Port Adelaide,2025,12,Gold Coast,25,W,5,7,3.0,7.0,14,,,,,,1.0,2.0,3.0,1.0,,,6.0,8,,,,,,75,2025-08-22
Port Adelaide,2026,13,North Melbourne,2,L,5,7,1.0,4.0,11,,,,2.0,,6.0,1.0,2.0,2.0,1.0,,5.0,6,,,,,1.0,70,2026-03-15
Port Adelaide,2026,14,Essendon,3,W,5,10,6.0,9.0,19,2.0,1.0,,,1.0,5.0,,2.0,,2.0,,5.0,15,,1.0,,,1.0,77,2026-03-22
Port Adelaide,2026,15,West Coast,4,L,5,5,2.0,2.0,7,,1.0,,,,4.0,,3.0,,,,3.0,4,,,,,1.0,70,2026-03-29
Port Adelaide,2026,16,Richmond,5,W,5,5,4.0,7.0,12,,1.0,,2.0,,2.0,1.0,3.0,2.0,1.0,,4.0,8,,,,,,73,2026-04-04
Port Adelaide,2026,17,St Kilda,6,L,5,8,4.0,5.0,13,1.0,1.0,,2.0,,2.0,1.0,3.0,1.0,1.0,,4.0,11,,1.0,2.0,,,74,2026-04-12
Port Adelaide,2026,18,Hawthorn,7,L,5,8,7.0,10.0,18,,1.0,,4.0,1.0,6.0,1.0,2.0,1.0,2.0,,8.0,12,,,,,1.0,81,2026-04-18
Port Adelaide,2026,19,Geelong,8,W,5,9,2.0,3.0,12,,,,7.0,1.0,3.0,1.0,1.0,3.0,,,5.0,7,,,,,1.0,80,2026-04-25
Port Adelaide,2026,20,Adelaide,9,L,5,3,3.0,8.0,11,2.0,,,,,,1.0,2.0,,1.0,,5.0,9,1.0,1.0,,,,76,2026-05-01
Port Adelaide,2026,21,Western Bulldogs,10,L,5,9,6.0,6.0,15,,,,1.0,,4.0,,,1.0,,,3.0,12,,,,,1.0,79,2026-05-08
Port Adelaide,2026,22,Gold Coast,11,L,5,15,2.0,4.0,19,2.0,,,1.0,,10.0,3.0,4.0,3.0,1.0,,10.0,10,,,2.0,,2.0,74,2026-05-15
Port Adelaide,2026,23,Carlton,12,L,5,5,5.0,10.0,15,,,,,1.0,4.0,1.0,4.0,,1.0,,7.0,9,,,,,1.0,80,2026-05-23
Port Adelaide,2026,24,West Coast,14,W,5,5,2.0,3.0,8,2.0,1.0,,1.0,,,,,,,,3.0,5,,1.0,1.0,,,78,2026-06-06
Port Adelaide,2026,25,Sydney,15,L,5,11,5.0,6.0,17,1.0,2.0,,1.0,,5.0,1.0,3.0,4.0,2.0,,6.0,10,,1.0,1.0,1.0,1.0,73,2026-06-13
Port Adelaide,2026,26,Collingwood,16,L,5,3,1.0,6.0,9,,,,,,,1.0,,,,,3.0,6,,,1.0,,,63,2026-06-20
Port Adelaide,2026,27,Adelaide,17,W,5,10,4.0,3.0,13,2.0,,,2.0,1.0,3.0,1.0,,3.0,,,5.0,8,,,,,,67,2026-06-27
Port Adelaide,2026,28,North Melbourne,18,W,5,2,2.0,2.0,4,,1.0,,3.0,,,,6.0,1.0,3.0,,1.0,5,,2.0,,,1.0,75,2026-07-05
Port Adelaide,2026,29,St Kilda,19,L,5,6,2.0,1.0,7,1.0,3.0,,1.0,,1.0,1.0,1.0,1.0,,,3.0,3,,,,,,76,2026-07-11
Port Adelaide,2026,30,Fremantle,20,L,5,9,3.0,5.0,14,1.0,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,2.0,11,,1.0,,,,75,2026-07-18
Port Adelaide,2026,31,Brisbane Lions,21,L,5,2,1.0,2.0,4,,,,,,1.0,,,,,,1.0,4,,,1.0,,,74,2026-07-26
Port Adelaide,2026,32,Greater Western Sydney,22,L,5,12,3.0,12.0,24,,,,1.0,3.0,5.0,,1.0,1.0,,,10.0,14,,,1.0,,,81,2026-08-01
Port Adelaide,2026,33,Sydney,23,L,5,10,3.0,12.0,22,,,,3.0,,6.0,2.0,4.0,,,,5.0,14,,,1.0,,,76,2026-08-08
Port Adelaide,2026,34,Melbourne,24,L,5,9,4.0,,9,,,,5.0,1.0,4.0,,3.0,,1.0,,3.0,7,,,1.0,1.0,,82,2026-08-15
Port Adelaide,2026,35,Essendon,25,W,5,10,3,5,15,,1,,1,2,4,,,,,,5,10,,,,,2,79,2026-08-23
