team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2020,1,Fremantle,2,W,13,5.0,3.0,4.0,9.0,,1.0,,1.0,1.0,1.0,,,1.0,,,5.0,4.0,2.0,1.0,2.0,,,66.0,2020-03-08
Brisbane Lions,2020,2,West Coast,3,W,13,2.0,1.0,2.0,4.0,,,,2.0,,,,2.0,,1.0,,3.0,1.0,,,,,,61.0,2020-03-15
Brisbane Lions,2020,3,Port Adelaide,5,W,13,3.0,2.0,8.0,11.0,,1.0,,5.0,,2.0,,1.0,1.0,1.0,,6.0,6.0,,1.0,2.0,,1.0,74.0,2020-03-29
Brisbane Lions,2020,4,Geelong,6,L,13,4.0,2.0,3.0,7.0,,,,2.0,,1.0,,2.0,,1.0,,4.0,1.0,1.0,1.0,,,,76.0,2020-04-05
Brisbane Lions,2020,5,Greater Western Sydney,7,W,13,2.0,2.0,6.0,8.0,,,,1.0,,1.0,,,,,,3.0,5.0,,,,,1.0,69.0,2020-04-12
Brisbane Lions,2020,6,Melbourne,8,W,13,,,2.0,2.0,,,,1.0,,,,2.0,,1.0,,3.0,,,,2.0,,1.0,83.0,2020-04-19
Brisbane Lions,2021,7,Geelong,2,L,13,4.0,1.0,3.0,7.0,1.0,1.0,,6.0,,3.0,1.0,1.0,,,,5.0,2.0,,,3.0,,,70.0,2021-03-08
Brisbane Lions,2021,8,Collingwood,3,W,13,4.0,3.0,6.0,10.0,1.0,,,3.0,,1.0,,,1.0,,,3.0,6.0,,1.0,1.0,,1.0,73.0,2021-03-15
Brisbane Lions,2021,9,Western Bulldogs,4,L,13,2.0,1.0,2.0,4.0,,,,6.0,,2.0,,4.0,1.0,2.0,,3.0,3.0,,,,,,70.0,2021-03-22
Brisbane Lions,2021,10↑,Essendon,5,W,13,3.0,,4.0,7.0,,,,2.0,,2.0,,4.0,,1.0,,3.0,4.0,,,1.0,,,40.0,2021-03-29
Brisbane Lions,2021,11↑,Carlton,6,W,13,1.0,1.0,7.0,8.0,,,,2.0,,,,3.0,,1.0,,3.0,4.0,,1.0,,,1.0,64.0,2021-04-05
Brisbane Lions,2021,12,Port Adelaide,7,W,13,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12
Brisbane Lions,2021,13,Richmond,10,W,13,,,,,,,,,,,,,,,,,,,,,,,,2021-05-03
Brisbane Lions,2021,14,Greater Western Sydney,11,W,13,,,,,,,,,,,,,,,,,,,,,,,,2021-05-10
Brisbane Lions,2021,15,North Melbourne,14,W,13,,,,,,,,,,,,,,,,,,,,,,,,2021-05-31
Brisbane Lions,2021,16,Richmond,18,L,13,,,,,,,,,,,,,,,,,,,,,,,,2021-06-28
Brisbane Lions,2021,17↑,Fremantle,21,W,13,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,26.0,2021-07-19
Brisbane Lions,2022,18,West Coast,8,W,13,6.0,4.0,4.0,10.0,1.0,2.0,,5.0,1.0,2.0,,4.0,,1.0,,4.0,8.0,,1.0,2.0,,,53.0,2022-04-19
Brisbane Lions,2022,19,Adelaide,9,W,13,,,,,,,,,,,,,,,,,,,,,,,,2022-04-26
