team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2013,1,Hawthorn,1,W,46,1,,8.0,9,,,11.0,2.0,1.0,,2.0,2.0,,2.0,,6.0,4,,,4.0,,,72,2013-03-01
Geelong,2013,2,North Melbourne,2,W,46,4,6.0,8.0,12,,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,4.0,9,,1.0,1.0,1.0,,70,2013-03-08
Geelong,2013,3,Carlton,3,W,46,3,,8.0,11,,,11.0,2.0,1.0,3.0,3.0,,1.0,,,6.0,5,,,,,1.0,76,2013-03-15
Geelong,2013,4,Sydney,4,W,46,1,1.0,6.0,7,,,11.0,1.0,,,3.0,,,,,5.0,2,1.0,,3.0,,,73,2013-03-22
Geelong,2013,5,Western Bulldogs,5,W,46,1,2.0,3.0,4,,,9.0,1.0,,,,3.0,,2.0,,1.0,4,,,,,,84,2013-03-29
Geelong,2013,6,Richmond,6,W,46,6,4.0,6.0,12,1.0,,12.0,2.0,1.0,2.0,3.0,2.0,,1.0,,7.0,6,1.0,2.0,2.0,,,75,2013-04-05
Geelong,2013,7,Essendon,7,W,46,4,5.0,3.0,7,2.0,1.0,12.0,3.0,1.0,,,1.0,,1.0,,2.0,5,1.0,2.0,2.0,,,88,2013-04-12
Geelong,2013,8,Collingwood,8,L,46,3,2.0,4.0,7,,,10.0,4.0,1.0,1.0,1.0,1.0,,,,3.0,5,1.0,,3.0,,,86,2013-04-19
Geelong,2013,9,Port Adelaide,9,W,46,6,5.0,7.0,13,,,20.0,4.0,1.0,1.0,,,1.0,,,7.0,6,2.0,,2.0,,,82,2013-04-26
Geelong,2013,10,Gold Coast,10,W,46,7,2.0,13.0,20,1.0,1.0,13.0,5.0,1.0,2.0,7.0,2.0,1.0,,,13.0,8,,2.0,3.0,,1.0,81,2013-05-03
Geelong,2013,11,Brisbane Lions,13,L,46,9,6.0,8.0,17,1.0,,8.0,2.0,3.0,2.0,1.0,,1.0,,,7.0,10,1.0,,4.0,,2.0,88,2013-05-24
Geelong,2013,12,Fremantle,14,W,46,3,4.0,7.0,10,,,6.0,5.0,2.0,1.0,,3.0,,1.0,,4.0,5,1.0,,1.0,,,89,2013-05-31
Geelong,2013,13,Hawthorn,15,W,46,9,6.0,3.0,12,1.0,,12.0,5.0,2.0,2.0,1.0,4.0,,1.0,,5.0,7,1.0,,6.0,,1.0,86,2013-06-07
Geelong,2013,14,Melbourne,16,W,46,6,1.0,5.0,11,,,11.0,2.0,1.0,3.0,4.0,,2.0,,,8.0,4,,,3.0,,,87,2013-06-14
Geelong,2013,15,Adelaide,17,L,46,6,5.0,5.0,11,1.0,,5.0,3.0,,1.0,1.0,2.0,1.0,,,6.0,6,2.0,1.0,2.0,,1.0,81,2013-06-21
Geelong,2013,16,North Melbourne,19,L,46,2,3.0,5.0,7,,1.0,8.0,2.0,,,,1.0,,1.0,,2.0,4,,1.0,1.0,,,77,2013-07-05
Geelong,2013,17,West Coast,21,W,46,6,4.0,11.0,17,,2.0,18.0,6.0,,1.0,5.0,1.0,,,,12.0,5,2.0,1.0,2.0,,1.0,79,2013-07-19
Geelong,2013,18,Sydney,22,W,46,7,3.0,5.0,12,,2.0,11.0,5.0,2.0,3.0,2.0,1.0,,,,6.0,7,,1.0,3.0,,,81,2013-07-26
Geelong,2013,19,Brisbane Lions,23,W,46,2,,7.0,9,,,20.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,,7.0,3,,,1.0,,,73,2013-08-02
Geelong,2013,20,Fremantle,QF,L,46,4,2.0,11.0,15,,,7.0,4.0,,3.0,1.0,1.0,1.0,1.0,,6.0,8,,,2.0,,,81,2013-03-01
Geelong,2013,21,Port Adelaide,SF,W,46,3,1.0,5.0,8,,,11.0,3.0,3.0,2.0,,1.0,1.0,,,4.0,4,1.0,,,,1.0,87,2013-03-01
Geelong,2013,22,Hawthorn,PF,L,46,3,1.0,5.0,8,,,8.0,2.0,1.0,3.0,3.0,1.0,2.0,,,5.0,3,,,3.0,,,82,2013-03-01
Geelong,2014,23↑,Adelaide,1,W,46,4,2.0,2.0,6,,,3.0,2.0,,1.0,1.0,1.0,1.0,,,3.0,3,,,1.0,,,38,2014-03-01
Geelong,2014,24,Brisbane Lions,2,W,46,5,1.0,6.0,11,,,1.0,4.0,1.0,1.0,,,,,,6.0,7,,,3.0,,,86,2014-03-08
Geelong,2014,25↑,Collingwood,3,W,46,5,4.0,1.0,6,,2.0,2.0,,,,,1.0,,,,1.0,5,,2.0,,,,38,2014-03-15
Geelong,2014,26,West Coast,4,W,46,11,6.0,1.0,12,,,5.0,4.0,5.0,1.0,,,1.0,,,1.0,10,,,2.0,,,81,2014-03-22
Geelong,2014,27,Hawthorn,5,W,46,4,3.0,4.0,8,,,4.0,,1.0,1.0,,,,,,,9,,1.0,2.0,1.0,1.0,76,2014-03-29
Geelong,2014,28,Port Adelaide,6,L,46,5,4.0,8.0,13,1.0,,10.0,1.0,,3.0,1.0,5.0,,3.0,,4.0,11,,,3.0,,1.0,84,2014-04-05
Geelong,2014,29↑,Richmond,7,W,46,3,2.0,1.0,4,,,12.0,5.0,,1.0,2.0,,1.0,,,3.0,1,1.0,,2.0,,,34,2014-04-12
Geelong,2014,30,Fremantle,9,L,46,7,6.0,4.0,11,,,2.0,3.0,2.0,1.0,,,,,,2.0,9,,,5.0,,1.0,79,2014-04-26
Geelong,2014,31↑,North Melbourne,10,W,46,6,1.0,3.0,9,1.0,,,2.0,2.0,,,1.0,,,,5.0,4,,,7.0,,,70,2014-05-03
Geelong,2014,32,Sydney,11,L,46,10,7.0,10.0,20,,,1.0,1.0,2.0,2.0,,2.0,,,,5.0,13,,,5.0,,,97,2014-05-10
Geelong,2014,33,Carlton,12,W,46,4,5.0,8.0,12,,,11.0,5.0,2.0,,1.0,2.0,1.0,1.0,,1.0,12,,,2.0,,,78,2014-05-17
Geelong,2014,34,St Kilda,13,W,46,9,6.0,9.0,18,,,11.0,1.0,2.0,1.0,2.0,2.0,2.0,,,8.0,12,,,6.0,,,85,2014-05-24
Geelong,2014,35,Gold Coast,14,L,46,3,1.0,6.0,9,,,5.0,1.0,,1.0,,,1.0,,,3.0,5,,,7.0,,,95,2014-05-31
