team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2017,1,Brisbane Lions,1,L,29,6,3.0,5.0,11,,,,3.0,,3.0,,1.0,,1.0,,5.0,7.0,,,2.0,,,65,2017-03-01
Gold Coast,2017,2,Greater Western Sydney,2,L,29,2,2.0,5.0,7,,1.0,,4.0,,1.0,,1.0,1.0,,,2.0,5.0,,,2.0,,,66,2017-03-08
Gold Coast,2017,3,Hawthorn,3,W,29,8,4.0,3.0,11,,,,4.0,1.0,2.0,,,1.0,,,3.0,8.0,,,2.0,,1.0,69,2017-03-15
Gold Coast,2017,4,Carlton,4,W,29,7,3.0,7.0,14,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,5.0,9.0,,,1.0,1.0,,76,2017-03-22
Gold Coast,2017,5,Adelaide,5,L,29,9,2.0,6.0,15,,,,,3.0,1.0,1.0,1.0,1.0,,,7.0,7.0,,,2.0,,,71,2017-03-29
Gold Coast,2017,6,North Melbourne,6,L,29,7,5.0,14.0,21,1.0,,,,3.0,3.0,,3.0,1.0,,,4.0,14.0,,,2.0,,,77,2017-04-05
Gold Coast,2017,7,Port Adelaide,8,L,29,9,3.0,9.0,18,,,,3.0,3.0,1.0,,3.0,,2.0,,6.0,13.0,,,2.0,,,62,2017-04-19
Gold Coast,2017,8,Sydney,16,L,29,13,4.0,3.0,16,,1.0,,4.0,2.0,3.0,1.0,2.0,3.0,,,6.0,11.0,,,1.0,,,77,2017-06-14
Gold Coast,2017,9,Collingwood,17,L,29,6,2.0,3.0,9,,,,3.0,2.0,1.0,,3.0,1.0,1.0,,5.0,5.0,,,3.0,,,83,2017-06-21
Gold Coast,2017,10,Western Bulldogs,18,L,29,4,2.0,4.0,8,,,,1.0,1.0,,,3.0,,2.0,,3.0,5.0,,,,,,75,2017-06-28
Gold Coast,2017,11,Brisbane Lions,21,L,29,5,2.0,2.0,7,,,,2.0,,1.0,,1.0,1.0,,,4.0,3.0,,,1.0,,,73,2017-07-19
Gold Coast,2018,12,North Melbourne,1,W,29,17,2.0,4.0,21,1.0,,,1.0,2.0,4.0,2.0,3.0,2.0,,,9.0,8.0,,,3.0,,,78,2018-03-01
Gold Coast,2018,13,Carlton,2,W,29,9,4.0,6.0,15,,1.0,,3.0,4.0,,1.0,3.0,3.0,2.0,,7.0,7.0,,,3.0,,,77,2018-03-08
Gold Coast,2018,14,West Coast,4,L,29,8,7.0,4.0,12,,,,1.0,4.0,1.0,,5.0,,4.0,,3.0,9.0,,,5.0,,,82,2018-03-22
Gold Coast,2018,15,Brisbane Lions,5,W,29,8,4.0,4.0,12,,1.0,,4.0,,2.0,1.0,2.0,,1.0,,4.0,8.0,,,2.0,,,78,2018-03-29
Gold Coast,2018,16,Adelaide,6,L,29,9,3.0,6.0,15,,,,4.0,3.0,2.0,3.0,6.0,,3.0,,8.0,6.0,1.0,,2.0,,1.0,77,2018-04-05
Gold Coast,2018,17,Western Bulldogs,7,L,29,14,5.0,7.0,21,,,,2.0,4.0,3.0,,3.0,,3.0,,7.0,10.0,1.0,,3.0,,,85,2018-04-12
Gold Coast,2018,18,Melbourne,8,L,29,7,3.0,2.0,9,,,,2.0,3.0,,,1.0,,,,2.0,7.0,,,2.0,,,78,2018-04-19
Gold Coast,2018,19,Port Adelaide,9,L,29,4,1.0,3.0,7,1.0,,,3.0,,1.0,,1.0,3.0,,,10.0,,1.0,,4.0,,,84,2018-04-26
Gold Coast,2018,20,Geelong,11,L,29,9,6.0,3.0,12,,,,2.0,1.0,2.0,1.0,4.0,,2.0,,3.0,11.0,,,1.0,,,86,2018-05-10
