team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2022,1,Hawthorn,3,W,37,6.0,2.0,5.0,11.0,,1.0,,1.0,1.0,,,4.0,,1.0,,6.0,5.0,,,2.0,,,69,2022-03-15
Carlton,2022,2↑,Gold Coast,4,L,37,8.0,4.0,4.0,12.0,,,,,2.0,2.0,,1.0,,1.0,,2.0,10.0,,,,,,55,2022-03-22
Carlton,2022,3↑,Fremantle,6,L,37,4.0,5.0,4.0,8.0,,,,2.0,,,,3.0,,3.0,,2.0,6.0,,,5.0,,,55,2022-04-05
Carlton,2022,4,Adelaide,8,W,37,10.0,2.0,3.0,13.0,,,,,3.0,4.0,1.0,1.0,1.0,1.0,,5.0,6.0,,,3.0,,,74,2022-04-19
Carlton,2022,5,Essendon,13,W,37,4.0,3.0,2.0,6.0,,,,3.0,1.0,,,,1.0,,,1.0,6.0,,,1.0,,,81,2022-05-24
Carlton,2022,6,Richmond,14,L,37,11.0,1.0,5.0,16.0,,,,5.0,3.0,3.0,,2.0,2.0,1.0,,10.0,7.0,1.0,,3.0,,1.0,82,2022-05-31
Carlton,2022,7↓,Fremantle,15,W,37,8.0,4.0,5.0,13.0,,,,2.0,1.0,1.0,,1.0,,,,2.0,10.0,,,,,,76,2022-06-07
Carlton,2023,8,Collingwood,10,L,37,8.0,3.0,3.0,11.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,3.0,8.0,1.0,,3.0,,,77,2023-05-03
Carlton,2023,9,Sydney,11,L,37,9.0,2.0,5.0,14.0,,,,1.0,3.0,1.0,1.0,,2.0,,,6.0,6.0,,,3.0,1.0,,78,2023-05-10
Carlton,2023,10,Melbourne,12,L,37,8.0,1.0,1.0,9.0,,,,3.0,4.0,1.0,,2.0,,,,3.0,5.0,,,2.0,,,80,2023-05-17
Carlton,2023,11,Essendon,13,L,37,11.0,3.0,3.0,14.0,,,,3.0,4.0,3.0,,2.0,,1.0,,2.0,10.0,,,1.0,,,80,2023-05-24
Carlton,2023,12,Gold Coast,14,W,37,8.0,2.0,3.0,11.0,,1.0,,3.0,3.0,3.0,,1.0,,1.0,,2.0,8.0,,,3.0,,,88,2023-05-31
Carlton,2023,13,Hawthorn,16,W,37,10.0,4.0,4.0,14.0,,,,2.0,4.0,2.0,3.0,2.0,,,,6.0,8.0,,,4.0,,,87,2023-06-14
Carlton,2023,14,Fremantle,17,W,37,7.0,3.0,3.0,10.0,,,,2.0,1.0,,,2.0,,,,1.0,9.0,,,1.0,,,81,2023-06-21
Carlton,2023,15,Port Adelaide,18,W,37,9.0,3.0,3.0,12.0,,1.0,,2.0,4.0,1.0,,3.0,1.0,1.0,,4.0,7.0,,,2.0,,,83,2023-06-28
Carlton,2023,16,Brisbane Lions,PF,L,37,13.0,5.0,4.0,17.0,,,,4.0,3.0,3.0,,1.0,1.0,1.0,,4.0,14.0,,,1.0,,,85,2023-03-01
Carlton,2024,17,Brisbane Lions,1,W,37,14.0,6.0,2.0,16.0,,,,3.0,5.0,1.0,,4.0,1.0,1.0,,2.0,14.0,,,6.0,,,80,2024-03-01
Carlton,2024,18,Richmond,2,W,37,10.0,4.0,3.0,13.0,,1.0,,3.0,3.0,,,3.0,,,,1.0,11.0,,1.0,2.0,,,80,2024-03-08
Carlton,2024,19,North Melbourne,4,W,37,10.0,3.0,3.0,13.0,,,,5.0,4.0,1.0,,1.0,,1.0,,6.0,7.0,,,4.0,,,82,2024-03-22
Carlton,2024,20,Fremantle,5,W,37,11.0,5.0,5.0,16.0,,,,4.0,4.0,,,,,,,5.0,11.0,,,1.0,,,77,2024-03-29
Carlton,2024,21,Adelaide,6,L,37,14.0,8.0,3.0,17.0,,,,2.0,2.0,2.0,,1.0,,1.0,,4.0,12.0,,,2.0,2.0,,88,2024-04-05
Carlton,2024,22,Greater Western Sydney,7,W,37,10.0,1.0,2.0,12.0,,,,1.0,2.0,,1.0,1.0,2.0,1.0,,3.0,5.0,,,,,,86,2024-04-12
