team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2016,1,Brisbane Lions,14,W,35,8,4.0,6.0,14,,,,2.0,1.0,,,1.0,2.0,,,5.0,10.0,,,5.0,,,75,2016-05-31
Richmond,2016,2,Port Adelaide,15,L,35,7,3.0,5.0,12,,,,1.0,1.0,,,2.0,,2.0,,6.0,8.0,,,5.0,,,76,2016-06-07
Richmond,2017,3,Brisbane Lions,17,W,35,9,4.0,2.0,11,,,,2.0,,,,,3.0,,,3.0,8.0,,,4.0,,,72,2017-06-21
Richmond,2017,4,Greater Western Sydney,18,W,35,10,1.0,2.0,12,,,,3.0,3.0,2.0,1.0,2.0,1.0,,,6.0,4.0,,,6.0,,,81,2017-06-28
Richmond,2017,5,Gold Coast,19,W,35,8,4.0,7.0,15,,,,2.0,1.0,1.0,,4.0,,1.0,,4.0,10.0,1.0,,3.0,,,88,2017-07-05
Richmond,2017,6,Hawthorn,20,W,35,8,4.0,10.0,18,,,,1.0,5.0,1.0,,2.0,,1.0,,5.0,12.0,,,7.0,,,72,2017-07-12
Richmond,2017,7,Geelong,21,L,35,13,7.0,6.0,19,,,,3.0,3.0,1.0,,2.0,,1.0,,3.0,15.0,,,6.0,,,78,2017-07-19
Richmond,2017,8,Fremantle,22,W,35,8,5.0,11.0,19,,,,3.0,3.0,1.0,,1.0,,1.0,,7.0,12.0,,,2.0,1.0,1.0,71,2017-07-26
Richmond,2017,9,St Kilda,23,W,35,9,5.0,3.0,12,,,,4.0,4.0,2.0,,5.0,1.0,2.0,,6.0,8.0,1.0,,3.0,1.0,,77,2017-08-02
Richmond,2017,10,Geelong,QF,W,35,12,8.0,3.0,15,,,,2.0,2.0,3.0,,2.0,,,,3.0,12.0,,,3.0,,1.0,80,2017-03-01
Richmond,2017,11,Greater Western Sydney,PF,W,35,6,1.0,,6,,,,3.0,2.0,1.0,,4.0,1.0,2.0,,,6.0,,,7.0,,,84,2017-03-01
Richmond,2017,12,Adelaide,GF,W,35,10,2.0,3.0,13,,,,2.0,5.0,1.0,2.0,,,,,8.0,3.0,,,4.0,,,77,2017-03-01
Richmond,2018,13,Melbourne,5,W,35,6,5.0,3.0,9,,,,4.0,1.0,,1.0,2.0,1.0,,,2.0,7.0,,,5.0,,,88,2018-03-29
Richmond,2018,14,Collingwood,6,W,35,5,3.0,10.0,15,,,,2.0,1.0,1.0,,3.0,1.0,1.0,,8.0,7.0,1.0,,4.0,,,84,2018-04-05
Richmond,2018,15,Fremantle,7,W,35,10,2.0,2.0,12,,,,,1.0,4.0,,2.0,,,,5.0,7.0,,,6.0,,,82,2018-04-12
Richmond,2018,16,North Melbourne,8,W,35,6,2.0,3.0,9,,,,3.0,1.0,,,3.0,,2.0,,2.0,7.0,1.0,,7.0,,,75,2018-04-19
