team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2025,1,Greater Western Sydney,5,L,41,11,5,1,12,,,,1.0,7.0,,,1,3.0,,,7,5,1.0,,4,,,92,2025-03-29
West Coast,2025,2,Carlton,6,L,41,4,5,3,7,,,,1.0,3.0,,,2,,,,2,5,,,4,,,91,2025-04-05
West Coast,2025,3,Richmond,10,L,41,9,5,1,10,,,,1.0,4.0,,,1,,,,2,8,,,10,1.0,,88,2025-05-03
West Coast,2025,4,St Kilda,11,W,41,5,4,6,11,,,,2.0,2.0,,,3,,2.0,,6,5,1.0,,4,,,87,2025-05-10
West Coast,2025,5,Adelaide,12,L,41,6,5,5,11,,,,,4.0,1.0,,1,,,,6,6,2.0,,7,,,92,2025-05-17
West Coast,2025,6,Geelong,13,L,41,6,6,8,14,,,,,,,,1,,,,3,10,,,3,,,89,2025-05-24
West Coast,2025,7,North Melbourne,14,L,41,3,1,7,10,,,,2.0,1.0,,,1,1.0,,,7,4,,,10,,,93,2025-05-31
West Coast,2025,8,Carlton,15,L,41,5,2,3,8,,,,1.0,3.0,,,2,,1.0,,1,7,,,8,,,96,2025-06-07
West Coast,2025,9,Collingwood,17,L,41,7,4,6,13,,,,,3.0,2.0,,2,,,,3,10,1.0,,5,,,89,2025-06-21
West Coast,2025,10,Greater Western Sydney,18,L,41,10,6,4,14,,,,,3,,,3,,,,5,8,,,6,1,,89,2025-06-28
