team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2017,1,Melbourne,12,L,17,3.0,1.0,13.0,16.0,,,,2.0,,4.0,2.0,,1.0,,,9.0,6.0,,,,,,76.0,2017-05-17
Collingwood,2017,2,Port Adelaide,14,L,17,1.0,1.0,8.0,9.0,1.0,,,,,,2.0,,1.0,,,5.0,5.0,,,1.0,,,65.0,2017-05-31
Collingwood,2017,3,Port Adelaide,21,L,17,5.0,5.0,6.0,11.0,,,,2.0,,,,,,,,5.0,9.0,,1.0,1.0,,,77.0,2017-07-19
Collingwood,2017,4,Geelong,22,L,17,4.0,3.0,9.0,13.0,,,,6.0,,3.0,2.0,2.0,1.0,1.0,,8.0,7.0,,,2.0,,,68.0,2017-07-26
Collingwood,2017,5,Melbourne,23,W,17,5.0,1.0,14.0,19.0,,1.0,,1.0,,1.0,3.0,2.0,,,,9.0,10.0,,,,3.0,,76.0,2017-08-02
Collingwood,2018,6,Greater Western Sydney,2,L,17,4.0,1.0,8.0,12.0,,,,4.0,1.0,1.0,1.0,,1.0,,,4.0,8.0,,,3.0,,,77.0,2018-03-08
Collingwood,2018,7,Carlton,3,W,17,8.0,2.0,12.0,20.0,,,,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,6.0,14.0,,1.0,1.0,4.0,1.0,77.0,2018-03-15
Collingwood,2018,8,Adelaide,4,W,17,7.0,1.0,8.0,15.0,,,,8.0,3.0,3.0,1.0,6.0,1.0,1.0,,6.0,10.0,,,3.0,1.0,1.0,74.0,2018-03-22
Collingwood,2018,9,Essendon,5,W,17,5.0,2.0,17.0,22.0,,,,2.0,2.0,2.0,,2.0,,2.0,,9.0,16.0,,,,,,79.0,2018-03-29
Collingwood,2018,10,Richmond,6,L,17,8.0,4.0,10.0,18.0,,,,6.0,,4.0,,3.0,1.0,,,6.0,13.0,1.0,1.0,,,2.0,85.0,2018-04-05
Collingwood,2018,11,Geelong,8,L,17,5.0,1.0,9.0,14.0,,1.0,,,,1.0,,6.0,,2.0,,6.0,8.0,,1.0,1.0,,,90.0,2018-04-19
Collingwood,2018,12,Richmond,19,L,17,9.0,,10.0,19.0,1.0,,,3.0,1.0,2.0,2.0,5.0,2.0,,,11.0,8.0,,,1.0,,,77.0,2018-07-05
Collingwood,2018,13,Sydney,20,L,17,3.0,2.0,2.0,5.0,,,,10.0,,,,2.0,,1.0,,3.0,3.0,,,,,,66.0,2018-07-12
Collingwood,2019,14,Geelong,1,L,17,4.0,1.0,5.0,9.0,1.0,,,3.0,,,,1.0,,1.0,,5.0,4.0,,,,,,64.0,2019-03-01
Collingwood,2019,15,Western Bulldogs,4,W,17,9.0,6.0,8.0,17.0,,1.0,,3.0,,2.0,,3.0,1.0,3.0,,6.0,13.0,,1.0,1.0,,1.0,68.0,2019-03-22
Collingwood,2019,16,Brisbane Lions,5,W,17,10.0,6.0,4.0,14.0,2.0,1.0,,3.0,1.0,5.0,,1.0,1.0,1.0,,4.0,10.0,1.0,2.0,,,,76.0,2019-03-29
Collingwood,2019,17,Essendon,6,W,17,10.0,4.0,6.0,16.0,,3.0,,4.0,1.0,2.0,1.0,1.0,2.0,,,5.0,11.0,,2.0,,1.0,,72.0,2019-04-05
Collingwood,2019,18,Port Adelaide,7,W,17,7.0,1.0,6.0,13.0,,,,7.0,,2.0,1.0,2.0,1.0,1.0,,6.0,8.0,,,,,,74.0,2019-04-12
Collingwood,2019,19,Carlton,8,W,17,13.0,3.0,8.0,21.0,2.0,1.0,,8.0,1.0,2.0,,2.0,3.0,1.0,,10.0,11.0,,,1.0,,1.0,74.0,2019-04-19
Collingwood,2019,20,St Kilda,9,W,17,2.0,,7.0,9.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,6.0,3.0,,,,,,71.0,2019-04-26
