team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2023,1,Port Adelaide,24,L,30,12,6,4.0,16,,,,,4.0,2.0,,2.0,,,,6.0,10,,,1.0,,,81,2023-08-09
Richmond,2024,2,Port Adelaide,3,L,30,8,1,5.0,13,,,,1.0,2.0,2.0,,1.0,2.0,,,7.0,6,1.0,,1.0,,1.0,77,2024-03-15
Richmond,2024,3,Sydney,4,W,30,7,5,3.0,10,,,,1.0,2.0,2.0,,1.0,,1.0,,3.0,8,,,4.0,,,75,2024-03-22
Richmond,2024,4,St Kilda,5,L,30,11,4,7.0,18,,1.0,,5.0,1.0,2.0,2.0,3.0,1.0,,,10.0,10,2.0,,4.0,,,83,2024-03-29
Richmond,2024,5,West Coast,6,L,30,6,2,1.0,7,,,,1.0,5.0,,,3.0,,,,1.0,6,,,3.0,,,76,2024-04-05
Richmond,2024,6,Melbourne,8,L,30,12,5,4.0,16,,1.0,,,,3.0,,3.0,1.0,1.0,,3.0,12,,,1.0,,,76,2024-04-19
Richmond,2024,7,Fremantle,9,L,30,12,7,5.0,17,,1.0,,2.0,5.0,,,1.0,,,,3.0,13,,1.0,2.0,1.0,,73,2024-04-26
Richmond,2024,8,Western Bulldogs,10,L,30,10,5,3.0,13,,,,,5.0,1.0,1.0,1.0,,,,6.0,8,,,4.0,,,87,2024-05-03
Richmond,2024,9,Brisbane Lions,11,L,30,9,3,6.0,15,,,,,2.0,,,2.0,,,,4.0,9,1.0,,,,,79,2024-05-10
Richmond,2024,10,Essendon,12,L,30,6,2,6.0,12,,,,1.0,4.0,1.0,1.0,3.0,,1.0,,7.0,6,,,1.0,,,80,2024-05-17
Richmond,2024,11,Geelong,13,L,30,8,3,5.0,13,,,,1.0,3.0,2.0,1.0,,,,,2.0,10,,,1.0,,1.0,75,2024-05-24
