team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2020,1,Melbourne,17,L,44,5.0,3.0,7.0,12.0,,,,3.0,2.0,2.0,1.0,,2.0,,,7.0,5.0,2.0,,3.0,,1.0,79,2020-06-21
Greater Western Sydney,2020,2,St Kilda,18,L,44,6.0,4.0,1.0,7.0,,,,2.0,,,,2.0,,,,1.0,6.0,,,3.0,,,83,2020-06-28
Greater Western Sydney,2021,3,St Kilda,1,L,44,6.0,1.0,4.0,10.0,,1.0,,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,7.0,5.0,,,3.0,,1.0,77,2021-03-01
Greater Western Sydney,2021,4,Fremantle,2,L,44,4.0,2.0,4.0,8.0,,1.0,1.0,,,1.0,,2.0,,1.0,,2.0,7.0,,1.0,2.0,,,80,2021-03-08
Greater Western Sydney,2021,5,Melbourne,3,L,44,8.0,5.0,8.0,16.0,,,,4.0,3.0,1.0,,3.0,,2.0,,7.0,9.0,1.0,,7.0,,,84,2021-03-15
Greater Western Sydney,2021,6,Collingwood,4,W,44,10.0,5.0,4.0,14.0,,,,3.0,4.0,2.0,,,1.0,,,6.0,8.0,1.0,,7.0,,,83,2021-03-22
Greater Western Sydney,2021,7,Sydney,5,W,44,8.0,4.0,8.0,16.0,,,,3.0,3.0,,1.0,3.0,,3.0,,7.0,9.0,,,4.0,,,87,2021-03-29
Greater Western Sydney,2021,8,Western Bulldogs,6,L,44,10.0,7.0,3.0,13.0,,,,,2.0,1.0,,3.0,,3.0,,5.0,10.0,2.0,,5.0,,,83,2021-04-05
Greater Western Sydney,2021,9,Adelaide,7,W,44,12.0,7.0,5.0,17.0,,,,4.0,6.0,,,2.0,1.0,1.0,,6.0,11.0,,,2.0,,,95,2021-04-12
Greater Western Sydney,2021,10,Essendon,8,W,44,7.0,2.0,2.0,9.0,,,,1.0,1.0,1.0,,2.0,,,,4.0,5.0,,,2.0,,,87,2021-04-19
Greater Western Sydney,2021,11,Richmond,9,L,44,7.0,6.0,3.0,10.0,,,,3.0,2.0,,,1.0,1.0,,,2.0,8.0,1.0,,6.0,,,91,2021-04-26
Greater Western Sydney,2021,12,West Coast,10,W,44,10.0,5.0,3.0,13.0,,,,4.0,1.0,3.0,,3.0,1.0,1.0,,6.0,8.0,,,14.0,,,90,2021-05-03
Greater Western Sydney,2021,13,Brisbane Lions,11,L,44,8.0,7.0,5.0,13.0,,,,3.0,3.0,,,3.0,,1.0,,6.0,7.0,1.0,,6.0,,,84,2021-05-10
Greater Western Sydney,2021,14,North Melbourne,13,D,44,10.0,7.0,2.0,12.0,,,,2.0,2.0,2.0,,2.0,1.0,,,5.0,8.0,2.0,,5.0,,,96,2021-05-24
Greater Western Sydney,2021,15,Carlton,14,W,44,7.0,4.0,4.0,11.0,,,,1.0,2.0,,,3.0,1.0,2.0,,4.0,7.0,,,4.0,,,91,2021-05-31
Greater Western Sydney,2021,16,Hawthorn,15,L,44,5.0,6.0,2.0,7.0,,,,2.0,4.0,,1.0,4.0,,2.0,,3.0,5.0,1.0,,9.0,,,93,2021-06-07
Greater Western Sydney,2021,17↓,Melbourne,16,W,44,,,,,,,,,,,,,,,,,,,,,,,4,2021-06-14
Greater Western Sydney,2023,18,Adelaide,1,W,44,7.0,5.0,4.0,11.0,,,,3.0,3.0,3.0,,2.0,1.0,,,4.0,7.0,,,11.0,,,86,2023-03-01
Greater Western Sydney,2023,19,West Coast,2,L,44,11.0,5.0,10.0,21.0,,,,2.0,3.0,,,3.0,,,,6.0,15.0,1.0,,8.0,,,90,2023-03-08
Greater Western Sydney,2023,20,Carlton,3,L,44,7.0,3.0,5.0,12.0,,,,3.0,1.0,,,,1.0,,,6.0,6.0,1.0,,11.0,,,90,2023-03-15
Greater Western Sydney,2023,21,Essendon,4,L,44,10.0,6.0,4.0,14.0,,,,7.0,4.0,1.0,2.0,3.0,,,,5.0,10.0,,,8.0,,,86,2023-03-22
Greater Western Sydney,2023,22,Hawthorn,5,W,44,11.0,6.0,5.0,16.0,,,,3.0,2.0,3.0,,1.0,2.0,,,8.0,8.0,1.0,,5.0,,,90,2023-03-29
