team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2020,1,Port Adelaide,1,L,35,3,,5.0,8,,,,3.0,3.0,1.0,,,1.0,,,3.0,5.0,,,1.0,,,86,2020-03-01
Gold Coast,2020,2,West Coast,2,W,35,10,5.0,6.0,16,,,,3.0,4.0,1.0,,3.0,,2.0,,5.0,12.0,,,2.0,,,77,2020-03-08
Gold Coast,2020,3,Adelaide,3,W,35,11,6.0,5.0,16,1.0,,,2.0,1.0,5.0,,6.0,,2.0,,6.0,10.0,2.0,,,,,82,2020-03-15
Gold Coast,2020,4,Fremantle,4,W,35,7,1.0,1.0,8,,,,,3.0,1.0,1.0,,1.0,,,3.0,5.0,,,3.0,,,80,2020-03-22
Gold Coast,2020,5,Geelong,5,L,35,3,,2.0,5,,,,2.0,,,,3.0,,,,3.0,3.0,,,2.0,,,85,2020-03-29
Gold Coast,2020,6,Melbourne,6,L,35,8,5.0,5.0,13,,,,,2.0,1.0,,2.0,1.0,1.0,,2.0,12.0,,,1.0,,1.0,83,2020-04-05
Gold Coast,2020,7,Sydney,7,W,35,6,3.0,2.0,8,,,,1.0,3.0,,,4.0,,1.0,,3.0,5.0,,,4.0,,,86,2020-04-12
Gold Coast,2020,8,Western Bulldogs,8,L,35,6,2.0,5.0,11,,,,1.0,4.0,,,2.0,2.0,,,4.0,7.0,,,1.0,,,80,2020-04-19
Gold Coast,2020,9,Greater Western Sydney,9,L,35,10,2.0,3.0,13,,,,,1.0,1.0,2.0,3.0,,,,5.0,8.0,,,1.0,,,84,2020-04-26
Gold Coast,2020,10,St Kilda,10,L,35,5,2.0,3.0,8,,,,3.0,1.0,,,1.0,,,,4.0,4.0,,,1.0,,,85,2020-05-03
Gold Coast,2020,11,Essendon,11,D,35,5,2.0,1.0,6,,,,2.0,2.0,1.0,,,,,,2.0,4.0,,,,,,85,2020-05-10
Gold Coast,2020,12,Richmond,12,L,35,2,,,2,,,,5.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,83,2020-05-17
Gold Coast,2020,13,Carlton,13,L,35,8,3.0,1.0,9,,,,1.0,3.0,,,2.0,1.0,2.0,,1.0,8.0,,,,,,88,2020-05-24
Gold Coast,2020,14,North Melbourne,14,W,35,6,3.0,3.0,9,,,,2.0,1.0,1.0,,1.0,,,,3.0,6.0,,,2.0,,,84,2020-05-31
Gold Coast,2020,15,Brisbane Lions,16,L,35,2,,4.0,6,,,,,1.0,1.0,,2.0,2.0,,,3.0,4.0,,,4.0,,,82,2020-06-14
Gold Coast,2021,16,West Coast,1,L,35,7,6.0,5.0,12,,,,1.0,1.0,1.0,,4.0,,3.0,,4.0,9.0,,,,,,83,2021-03-01
Gold Coast,2021,17,North Melbourne,2,W,35,12,5.0,4.0,16,,,,3.0,4.0,2.0,,,1.0,,,4.0,11.0,,,3.0,,1.0,70,2021-03-08
Gold Coast,2022,18,Brisbane Lions,6,L,35,9,3.0,3.0,12,,1.0,,4.0,1.0,3.0,,1.0,2.0,1.0,,6.0,5.0,,,10.0,,,72,2022-04-05
Gold Coast,2022,19↓,Collingwood,7,L,35,8,3.0,,8,,,,3.0,3.0,1.0,,1.0,,,,,6.0,,,2.0,,,54,2022-04-12
Gold Coast,2022,20,Sydney,8,W,35,16,11.0,3.0,19,,,,4.0,4.0,2.0,,2.0,1.0,1.0,,4.0,13.0,1.0,,1.0,,,77,2022-04-19
Gold Coast,2022,21,Fremantle,9,W,35,16,8.0,2.0,18,,,,2.0,3.0,2.0,1.0,4.0,,1.0,,2.0,10.0,1.0,,3.0,,,89,2022-04-26
Gold Coast,2022,22,Western Bulldogs,10,L,35,5,2.0,3.0,8,,,,4.0,3.0,,1.0,2.0,1.0,1.0,,2.0,5.0,,,,,,77,2022-05-03
Gold Coast,2022,23,Hawthorn,11,W,35,9,4.0,4.0,13,,,,,2.0,2.0,,4.0,1.0,1.0,,8.0,5.0,2.0,,3.0,1.0,,85,2022-05-10
Gold Coast,2022,24,North Melbourne,12,W,35,18,3.0,7.0,25,,,,2.0,6.0,1.0,,5.0,2.0,1.0,2.0,9.0,12.0,,,2.0,,,82,2022-05-17
Gold Coast,2022,25,Adelaide,14,W,35,12,5.0,3.0,15,,,,2.0,3.0,1.0,,3.0,1.0,,,4.0,11.0,,,1.0,,,52,2022-05-31
Gold Coast,2022,26,Collingwood,16,L,35,13,5.0,4.0,17,,,,1.0,7.0,,,2.0,1.0,,,8.0,6.0,,,3.0,,,79,2022-06-14
Gold Coast,2023,27,Carlton,23,L,35,13,4.0,3.0,16,,,,2.0,3.0,3.0,,2.0,2.0,1.0,,2.0,9.0,,,2.0,1.0,,77,2023-08-02
Gold Coast,2023,28,North Melbourne,24,L,35,16,6.0,3.0,19,,,,3.0,5.0,1.0,1.0,2.0,2.0,1.0,,4.0,12.0,,,2.0,,,83,2023-08-09
Gold Coast,2024,29,Richmond,1,W,35,18,8.0,3.0,21,,,,1.0,5.0,,,3.0,,,,3.0,15.0,,,2.0,,,84,2024-03-01
Gold Coast,2024,30,Adelaide,2,W,35,4,,3.0,7,,,,3.0,,,,5.0,1.0,2.0,,2.0,3.0,,,5.0,,,86,2024-03-08
Gold Coast,2024,31,Western Bulldogs,3,L,35,12,6.0,6.0,18,,,,,5.0,4.0,,6.0,1.0,2.0,,5.0,14.0,,,1.0,,,79,2024-03-15
Gold Coast,2024,32,Port Adelaide,19,W,35,6,3.0,4.0,10,,,,2.0,3.0,2.0,,2.0,,,,5.0,5.0,1.0,,,,,77,2024-07-05
Gold Coast,2024,33,Greater Western Sydney,20,L,35,6,,10.0,16,,,,5.0,3.0,2.0,1.0,1.0,1.0,,,6.0,11.0,,,1.0,,,81,2024-07-12
Gold Coast,2024,34,Essendon,23,W,35,11,6.0,7.0,18,,,,1.0,4.0,,,1.0,1.0,,,7.0,10.0,1.0,,2.0,,,82,2024-08-02
Gold Coast,2024,35,Melbourne,24,L,35,12,6.0,4.0,16,,,,3.0,3.0,4.0,,1.0,,,,4.0,10.0,,,,4.0,,82,2024-08-09
Gold Coast,2024,36,Richmond,25,W,35,11,7.0,3.0,14,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,2.0,13.0,,,1.0,,,74,2024-08-16
Gold Coast,2025,37,West Coast,2,W,35,8,4.0,9.0,17,,,,3.0,2.0,4.0,,,,,,3.0,13.0,,,1.0,,,77,2025-03-08
Gold Coast,2025,38,Melbourne,4,W,35,8,5.0,6.0,14,,,,4.0,,4.0,1.0,2.0,,1.0,,4.0,11.0,,,,,,84,2025-03-22
Gold Coast,2025,39,Adelaide,5,W,35,6,1.0,2.0,8,,2.0,,3.0,1.0,2.0,,2.0,1.0,1.0,,4.0,3.0,,,,,1.0,70,2025-03-29
Gold Coast,2025,40,Richmond,7,L,35,8,3.0,9.0,17,,,,1.0,,2.0,,4.0,,,,4.0,13.0,,,2.0,,,75,2025-04-12
Gold Coast,2025,41↑,Sydney,8,W,35,3,1.0,,3,,,,,1.0,2.0,,,1.0,,,,3.0,,,,2.0,,7,2025-04-19
Gold Coast,2025,42,Brisbane Lions,9,L,35,5,3.0,4.0,9,,,,2.0,,1.0,,3.0,,1.0,,2.0,6.0,,,1.0,,,80,2025-04-26
Gold Coast,2025,43,Greater Western Sydney,16,L,35,2,,1.0,3,,1.0,,4.0,,1.0,,1.0,2.0,,,3.0,,,,,,,76,2025-06-14
Gold Coast,2025,44,Melbourne,17,W,35,3,1,6,9,1,,,1,,3,,7,,2,,3,6,,,2,,1,73,2025-06-21
