team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2019,1,St Kilda,1,L,29,3,1.0,1.0,4,1.0,,,1.0,,1.0,,1.0,1.0,,,2.0,2.0,,1.0,1.0,,1.0,85,2019-03-01
Gold Coast,2019,2,Fremantle,2,W,29,8,6.0,4.0,12,,1.0,,3.0,,3.0,,2.0,,1.0,,4.0,8.0,,2.0,2.0,,1.0,88,2019-03-08
Gold Coast,2019,3,Western Bulldogs,3,W,29,4,3.0,5.0,9,1.0,2.0,,1.0,,1.0,,2.0,1.0,1.0,,8.0,1.0,2.0,2.0,1.0,,,82,2019-03-15
Gold Coast,2019,4,Carlton,4,W,29,3,2.0,3.0,6,,,,3.0,1.0,,,3.0,,2.0,,3.0,2.0,1.0,,4.0,,,93,2019-03-22
Gold Coast,2019,5,Adelaide,5,L,29,1,1.0,1.0,2,,,,4.0,,,,,,,,1.0,1.0,1.0,,4.0,,,81,2019-03-29
Gold Coast,2019,6,Geelong,10,L,29,1,1.0,5.0,6,,,,2.0,1.0,,1.0,1.0,,,,3.0,3.0,,,8.0,,,87,2019-05-03
Gold Coast,2019,7,Greater Western Sydney,11,L,29,2,2.0,2.0,4,,,,,,,,,,,,2.0,2.0,1.0,,3.0,,,89,2019-05-10
Gold Coast,2019,8,North Melbourne,12,L,29,2,3.0,6.0,8,,,,1.0,3.0,,,1.0,,1.0,,6.0,2.0,2.0,,13.0,,,77,2019-05-17
Gold Coast,2019,9,Carlton,18,L,29,5,2.0,6.0,11,1.0,,,1.0,2.0,2.0,1.0,2.0,,2.0,,6.0,5.0,,,3.0,,,91,2019-06-28
Gold Coast,2019,10,Essendon,19,L,29,6,4.0,7.0,13,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,4.0,9.0,,,9.0,,,96,2019-07-05
Gold Coast,2019,11,Collingwood,20,L,29,3,3.0,8.0,11,,,,1.0,2.0,,,1.0,,,,4.0,7.0,,,6.0,,,97,2019-07-12
Gold Coast,2019,12,Brisbane Lions,21,L,29,7,4.0,3.0,10,,,3.0,,1.0,1.0,2.0,2.0,,,,5.0,6.0,,,4.0,,,90,2019-07-19
Gold Coast,2019,13,Hawthorn,22,L,29,4,4.0,5.0,9,,,4.0,4.0,4.0,,1.0,1.0,,1.0,,3.0,7.0,,,6.0,,,85,2019-07-26
Gold Coast,2019,14,Greater Western Sydney,23,L,29,6,2.0,4.0,10,,,,,3.0,1.0,,1.0,2.0,,,3.0,7.0,,1.0,3.0,,,90,2019-08-02
Gold Coast,2021,15,Adelaide,3,L,29,7,5.0,2.0,9,2.0,1.0,8.0,4.0,,2.0,2.0,1.0,,,,7.0,2.0,3.0,4.0,2.0,,1.0,85,2021-03-15
Gold Coast,2021,16,Carlton,4,L,29,5,1.0,5.0,10,1.0,,5.0,3.0,,1.0,3.0,2.0,3.0,1.0,,9.0,,1.0,1.0,1.0,,,72,2021-03-22
Gold Coast,2021,17,Western Bulldogs,5,L,29,4,1.0,2.0,6,,,2.0,2.0,1.0,,,,1.0,,,4.0,2.0,,,6.0,,,85,2021-03-29
Gold Coast,2021,18,Sydney,6,W,29,8,5.0,3.0,11,,1.0,7.0,2.0,1.0,3.0,3.0,1.0,,1.0,,8.0,3.0,3.0,,2.0,,,70,2021-04-05
Gold Coast,2021,19,Collingwood,7,W,29,7,4.0,4.0,11,1.0,,7.0,1.0,,3.0,1.0,3.0,,2.0,,5.0,7.0,2.0,2.0,1.0,,,69,2021-04-12
Gold Coast,2021,20,St Kilda,8,L,29,7,7.0,4.0,11,,1.0,5.0,,2.0,1.0,1.0,4.0,1.0,1.0,,4.0,9.0,1.0,1.0,2.0,,,76,2021-04-19
Gold Coast,2021,21,Brisbane Lions,9,L,29,4,3.0,2.0,6,,,6.0,,1.0,,,1.0,,1.0,,3.0,3.0,2.0,,2.0,,,73,2021-04-26
Gold Coast,2021,22,Geelong,10,L,29,4,5.0,5.0,9,1.0,1.0,2.0,3.0,,1.0,,,,,,4.0,6.0,,2.0,3.0,,,78,2021-05-03
Gold Coast,2021,23,Hawthorn,11,W,29,8,4.0,,8,1.0,1.0,5.0,2.0,,1.0,1.0,6.0,,1.0,,7.0,2.0,2.0,2.0,1.0,,,82,2021-05-10
Gold Coast,2021,24,Fremantle,13,L,29,7,6.0,4.0,11,2.0,2.0,4.0,,,1.0,,1.0,2.0,1.0,,7.0,3.0,4.0,2.0,,,1.0,79,2021-05-24
Gold Coast,2021,25,Port Adelaide,14,L,29,6,6.0,3.0,9,,,7.0,2.0,,2.0,1.0,,,,,3.0,6.0,1.0,1.0,2.0,,,76,2021-05-31
Gold Coast,2021,26,Richmond,16,W,29,8,5.0,5.0,13,,2.0,24.0,3.0,,3.0,5.0,,1.0,,,9.0,5.0,2.0,2.0,4.0,,1.0,86,2021-06-14
Gold Coast,2021,27,Greater Western Sydney,17,W,29,16,4.0,1.0,17,1.0,,38.0,4.0,,7.0,7.0,4.0,4.0,1.0,,12.0,5.0,1.0,1.0,,,1.0,82,2021-06-21
Gold Coast,2021,28,Western Bulldogs,18,L,29,3,1.0,4.0,7,,,24.0,1.0,,2.0,2.0,2.0,3.0,2.0,,6.0,2.0,1.0,,2.0,,,80,2021-06-28
Gold Coast,2021,29,Brisbane Lions,19,L,29,4,2.0,3.0,7,,1.0,13.0,3.0,,1.0,1.0,1.0,,,,4.0,3.0,1.0,,,,,79,2021-07-05
Gold Coast,2021,30,Melbourne,20,L,29,4,3.0,6.0,10,1.0,,6.0,3.0,1.0,,3.0,,1.0,,,5.0,5.0,,1.0,2.0,,,85,2021-07-12
Gold Coast,2021,31,Carlton,21,W,29,3,3.0,4.0,7,,,,3.0,,1.0,,2.0,,1.0,,3.0,5.0,,,7.0,,,87,2021-07-19
Gold Coast,2021,32,Essendon,22,L,29,3,,3.0,6,,,5.0,1.0,1.0,1.0,2.0,,,,,5.0,1.0,,,6.0,,,79,2021-07-26
Gold Coast,2021,33,Sydney,23,L,29,4,2.0,2.0,6,,,9.0,5.0,,1.0,1.0,1.0,,,,4.0,3.0,1.0,,5.0,,,85,2021-08-02
Gold Coast,2022,34,Brisbane Lions,6,L,29,3,4.0,2.0,5,,,,,1.0,1.0,,,,,,4.0,1.0,3.0,,7.0,,,86,2022-04-05
Gold Coast,2022,35,Port Adelaide,15,L,29,2,3.0,4.0,6,,1.0,,2.0,,1.0,,2.0,,,,4.0,2.0,2.0,1.0,2.0,,1.0,90,2022-06-07
Gold Coast,2023,36,North Melbourne,24,L,29,3,1.0,2.0,5,,2.0,3.0,,,1.0,,,1.0,,,3.0,2.0,,,2.0,,1.0,79,2023-08-09
Adelaide,2024,37,Gold Coast,2,L,21,3,1.0,6.0,9,,,5.0,1.0,,,,2.0,,,,6.0,3.0,,1.0,1.0,,,81,2024-03-08
Adelaide,2024,38,Geelong,3,L,21,7,8.0,2.0,9,2.0,1.0,1.0,2.0,1.0,3.0,,2.0,,1.0,,,8.0,,2.0,2.0,,1.0,68,2024-03-15
Adelaide,2024,39,Fremantle,4,L,21,9,2.0,1.0,10,1.0,2.0,7.0,,,2.0,,2.0,2.0,1.0,,7.0,2.0,1.0,2.0,,,,87,2024-03-22
Adelaide,2024,40↓,Melbourne,5,L,21,1,,3.0,4,,1.0,4.0,1.0,,1.0,,,,,,1.0,2.0,,,1.0,,,41,2024-03-29
Adelaide,2024,41,West Coast,12,W,21,5,4.0,4.0,9,1.0,1.0,4.0,2.0,,2.0,2.0,2.0,1.0,2.0,,4.0,5.0,1.0,2.0,2.0,,3.0,80,2024-05-17
Adelaide,2024,42,Hawthorn,13,L,21,8,6.0,1.0,9,3.0,1.0,5.0,1.0,,2.0,,1.0,1.0,,,5.0,4.0,2.0,4.0,,,,79,2024-05-24
Adelaide,2024,43,Richmond,14,L,21,3,1.0,1.0,4,,,8.0,2.0,,1.0,,1.0,1.0,,,1.0,4.0,,,1.0,,,77,2024-05-31
Adelaide,2025,44,West Coast,23,W,21,8,5,2,10,,2,,2,,2,,2,,1,,2,6,,2,2,,,83,2025-08-02
