team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2019,1,Melbourne,1,W,18,7,2.0,6,13,2.0,,,3.0,1.0,,1.0,3.0,1.0,,,4,9,,,2.0,3.0,,84,2019-03-01
Port Adelaide,2019,2,Carlton,2,W,18,10,4.0,12,22,1.0,1.0,,1.0,1.0,2.0,1.0,5.0,1.0,3.0,,10,11,,,1.0,,2.0,86,2019-03-08
Port Adelaide,2019,3,Brisbane Lions,3,L,18,9,2.0,11,20,,,,3.0,1.0,3.0,,2.0,2.0,1.0,,11,8,,,,,1.0,80,2019-03-15
Port Adelaide,2019,4,Richmond,4,L,18,9,6.0,2,11,,,,1.0,1.0,2.0,,4.0,,3.0,,1,12,,1.0,,,,78,2019-03-22
Port Adelaide,2019,5,West Coast,5,W,18,10,4.0,9,19,,,,,,2.0,,3.0,,,,8,10,1.0,1.0,3.0,1.0,1.0,76,2019-03-29
Port Adelaide,2019,6,North Melbourne,6,W,18,11,3.0,2,13,,,,4.0,,4.0,1.0,3.0,1.0,2.0,,3,9,,,,,1.0,73,2019-04-05
Port Adelaide,2019,7,Collingwood,7,L,18,6,3.0,3,9,,,,,,2.0,1.0,1.0,1.0,,,3,6,,1.0,1.0,,2.0,72,2019-04-12
Port Adelaide,2019,8,Gold Coast,9,W,18,10,4.0,5,15,1.0,2.0,,3.0,,2.0,1.0,1.0,,1.0,,6,9,,2.0,1.0,,1.0,70,2019-04-26
Port Adelaide,2019,9,Hawthorn,10,L,18,5,2.0,12,17,,2.0,,4.0,1.0,,2.0,3.0,,1.0,,6,10,,1.0,,,,85,2019-05-03
Port Adelaide,2019,10,St Kilda,11,W,18,9,2.0,10,19,2.0,,,3.0,,3.0,1.0,1.0,2.0,,,9,9,,,1.0,,3.0,82,2019-05-10
Port Adelaide,2019,11,Fremantle,13,L,18,5,1.0,9,14,1.0,,,1.0,,1.0,,1.0,1.0,,,6,9,,,1.0,,1.0,71,2019-05-24
Port Adelaide,2019,12,Geelong,14,W,18,3,1.0,10,13,,,,4.0,1.0,,,4.0,1.0,,,4,9,,1.0,,1.0,,72,2019-05-31
Port Adelaide,2019,13,Western Bulldogs,15,L,18,9,1.0,12,21,,,,5.0,1.0,5.0,1.0,4.0,2.0,,,12,7,,,1.0,,,79,2019-06-07
Port Adelaide,2019,14,Adelaide,16,W,18,5,2.0,5,10,1.0,,,2.0,,2.0,1.0,,,,,3,5,,1.0,2.0,3.0,1.0,70,2019-06-14
Port Adelaide,2019,15,Brisbane Lions,17,L,18,5,1.0,5,10,1.0,,,4.0,,2.0,2.0,,2.0,,,3,5,,,1.0,,,77,2019-06-21
Port Adelaide,2019,16,Richmond,18,L,18,11,6.0,2,13,2.0,1.0,,1.0,,3.0,,1.0,,,,3,10,,2.0,,,1.0,75,2019-06-28
Port Adelaide,2019,17,Greater Western Sydney,19,L,18,7,3.0,9,16,,1.0,,3.0,1.0,1.0,,,1.0,,,8,7,,,1.0,,,78,2019-07-05
Port Adelaide,2019,18,Essendon,20,W,18,3,2.0,5,8,1.0,,,2.0,,,,2.0,1.0,2.0,,1,6,,,,,,52,2019-07-12
Port Adelaide,2019,19,North Melbourne,22,L,18,3,2.0,3,6,,,,4.0,,1.0,,,1.0,,,3,4,,,2.0,,,67,2019-07-26
Port Adelaide,2020,20,Gold Coast,1,W,18,8,2.0,4,12,1.0,,,,,3.0,,5.0,1.0,,,3,10,,,1.0,,1.0,79,2020-03-01
Port Adelaide,2020,21,Adelaide,2,W,18,11,7.0,10,21,1.0,1.0,,8.0,,3.0,3.0,3.0,1.0,,,7,13,,1.0,1.0,,,81,2020-03-08
Port Adelaide,2020,22,Fremantle,3,W,18,6,2.0,3,9,,,,2.0,1.0,4.0,3.0,1.0,,1.0,,7,3,,,1.0,,,85,2020-03-15
Port Adelaide,2020,23,West Coast,4,W,18,9,3.0,5,14,,2.0,,1.0,,3.0,1.0,1.0,1.0,1.0,,4,9,1.0,,,1.0,1.0,82,2020-03-22
Port Adelaide,2020,24,Brisbane Lions,5,L,18,10,5.0,8,18,2.0,,,3.0,,2.0,1.0,,,,,6,12,,1.0,1.0,2.0,1.0,82,2020-03-29
Port Adelaide,2020,25,Greater Western Sydney,6,W,18,6,3.0,8,14,1.0,,,2.0,1.0,,,4.0,,,,9,5,1.0,1.0,1.0,,1.0,88,2020-04-05
Port Adelaide,2020,26,Carlton,7,W,18,12,5.0,3,15,1.0,,,4.0,1.0,1.0,,2.0,1.0,1.0,,6,11,,1.0,1.0,,1.0,86,2020-04-12
Port Adelaide,2020,27,St Kilda,8,L,18,3,2.0,4,7,,,,1.0,,1.0,2.0,3.0,,3.0,,5,2,,1.0,,,1.0,75,2020-04-19
Port Adelaide,2020,28,Melbourne,9,W,18,7,6.0,8,15,,,,2.0,,2.0,1.0,3.0,1.0,2.0,,8,7,1.0,1.0,1.0,,1.0,82,2020-04-26
Port Adelaide,2020,29,Western Bulldogs,10,W,18,12,6.0,12,24,,,,4.0,,4.0,3.0,1.0,3.0,,2.0,11,13,,,1.0,,1.0,92,2020-05-03
Port Adelaide,2020,30,Richmond,11,W,18,5,2.0,15,20,1.0,,,2.0,,2.0,2.0,,,,,11,9,1.0,1.0,,,2.0,84,2020-05-10
Port Adelaide,2020,31,Geelong,12,L,18,7,2.0,5,12,,,,3.0,,3.0,2.0,2.0,,,,5,6,,,2.0,,,85,2020-05-17
Port Adelaide,2020,32,Hawthorn,13,W,18,8,2.0,6,14,2.0,1.0,,1.0,,2.0,2.0,2.0,1.0,,,6,8,,,,,,76,2020-05-24
Port Adelaide,2020,33,Sydney,14,W,18,8,2.0,5,13,1.0,1.0,,2.0,1.0,3.0,1.0,2.0,,1.0,,6,8,,1.0,1.0,3.0,2.0,84,2020-05-31
Port Adelaide,2020,34,North Melbourne,16,W,18,6,3.0,11,17,1.0,,,4.0,,,,1.0,2.0,,,6,10,,2.0,,,1.0,86,2020-06-14
Port Adelaide,2020,35,Geelong,QF,W,18,8,2.0,6,14,,,,4.0,,1.0,2.0,2.0,1.0,,,4,11,,,2.0,,1.0,87,2020-03-01
Port Adelaide,2020,36,Richmond,PF,L,18,3,1.0,6,9,,1.0,,4.0,,2.0,,,,,,3,5,,,1.0,,1.0,86,2020-03-01
Port Adelaide,2021,37,North Melbourne,1,W,18,11,6.0,5,16,2.0,1.0,,4.0,1.0,3.0,1.0,4.0,1.0,3.0,,7,9,2.0,2.0,1.0,1.0,1.0,82,2021-03-01
Port Adelaide,2021,38,Essendon,2,W,18,12,3.0,24,36,1.0,,,6.0,1.0,3.0,6.0,4.0,2.0,2.0,1.0,14,22,,1.0,5.0,2.0,1.0,79,2021-03-08
Port Adelaide,2021,39,West Coast,3,L,18,5,4.0,11,16,,,,3.0,2.0,1.0,4.0,1.0,,1.0,,7,8,,,,,,76,2021-03-15
Port Adelaide,2021,40↓,Richmond,4,W,18,8,3.0,11,19,1.0,,,5.0,,3.0,3.0,1.0,2.0,,,12,7,,,2.0,,1.0,57,2021-03-22
Port Adelaide,2021,41↓,Melbourne,17,L,18,6,4.0,4,10,,,,3.0,,1.0,2.0,3.0,1.0,1.0,,3,7,,,,,,50,2021-06-21
Port Adelaide,2021,42,Collingwood,19,W,18,4,3.0,11,15,,1.0,,2.0,,,1.0,3.0,2.0,,,5,10,,1.0,,,,80,2021-07-05
Port Adelaide,2021,43,Greater Western Sydney,20,W,18,11,6.0,11,22,1.0,,,3.0,2.0,2.0,3.0,,1.0,,,8,14,,,1.0,,1.0,79,2021-07-12
Port Adelaide,2021,44,Adelaide,21,W,18,16,4.0,3,19,2.0,,,4.0,,1.0,1.0,6.0,2.0,2.0,,6,9,,,1.0,,,85,2021-07-19
Port Adelaide,2021,45,Carlton,22,W,18,11,6.0,14,25,,,,3.0,1.0,3.0,4.0,2.0,,,,8,16,,,3.0,2.0,2.0,79,2021-07-26
Port Adelaide,2021,46,Western Bulldogs,23,W,18,9,4.0,9,18,,,,1.0,1.0,2.0,3.0,8.0,,3.0,,4,14,,,2.0,2.0,2.0,83,2021-08-02
Port Adelaide,2021,47,Geelong,QF,W,18,7,4.0,4,11,1.0,,,6.0,,2.0,1.0,1.0,1.0,,,4,7,,2.0,2.0,1.0,1.0,84,2021-03-01
Port Adelaide,2021,48,Western Bulldogs,PF,L,18,11,3.0,7,18,,,,2.0,1.0,3.0,3.0,2.0,,,,7,9,,,1.0,,,87,2021-03-01
Port Adelaide,2022,49,Brisbane Lions,1,L,18,12,3.0,15,27,,,,5.0,1.0,5.0,8.0,3.0,1.0,,,13,13,,,2.0,2.0,,92,2022-03-01
Port Adelaide,2022,50,Hawthorn,2,L,18,19,5.0,10,29,,,,11.0,,6.0,5.0,2.0,1.0,,,9,18,,,,2.0,1.0,88,2022-03-08
Port Adelaide,2022,51,Adelaide,3,L,18,6,2.0,7,13,,,,6.0,,2.0,2.0,2.0,,1.0,,2,9,,,1.0,,,83,2022-03-15
Port Adelaide,2022,52,Melbourne,4,L,18,16,4.0,7,23,,1.0,,2.0,2.0,1.0,4.0,5.0,,2.0,,5,15,,,4.0,2.0,,78,2022-03-22
Port Adelaide,2022,53,Carlton,5,L,18,18,7.0,14,32,1.0,1.0,,1.0,1.0,5.0,6.0,3.0,1.0,2.0,,9,22,1.0,1.0,1.0,4.0,1.0,83,2022-03-29
Port Adelaide,2022,54,West Coast,6,W,18,6,1.0,5,11,,,,1.0,,2.0,3.0,1.0,2.0,1.0,,7,4,,,,,1.0,67,2022-04-05
Port Adelaide,2022,55,St Kilda,7,W,18,14,3.0,9,23,,1.0,,1.0,3.0,5.0,5.0,2.0,,,,11,10,,,1.0,3.0,,70,2022-04-12
Port Adelaide,2022,56,Western Bulldogs,8,W,18,11,7.0,2,13,,1.0,,3.0,1.0,2.0,1.0,4.0,1.0,3.0,,4,10,,1.0,1.0,1.0,1.0,80,2022-04-19
Port Adelaide,2022,57,North Melbourne,9,W,18,12,4.0,13,25,,,,3.0,1.0,4.0,6.0,4.0,1.0,1.0,,11,15,,1.0,1.0,2.0,1.0,71,2022-04-26
Port Adelaide,2022,58,Geelong,10,L,18,13,6.0,11,24,,,,4.0,5.0,2.0,3.0,1.0,2.0,1.0,,9,17,1.0,,2.0,3.0,,82,2022-05-03
Port Adelaide,2022,59,Essendon,11,W,18,13,3.0,11,24,1.0,1.0,,3.0,1.0,5.0,2.0,4.0,3.0,,,11,14,,1.0,2.0,,2.0,80,2022-05-10
Port Adelaide,2022,60,Richmond,13,L,18,7,1.0,13,20,,,,1.0,,2.0,3.0,1.0,1.0,,,14,7,1.0,,1.0,,,81,2022-05-24
Port Adelaide,2022,61↓,Sydney,14,W,18,5,2.0,4,9,1.0,,,2.0,,2.0,,,1.0,,,5,5,,,,,,25,2022-05-31
Port Adelaide,2022,62,Greater Western Sydney,17,W,18,14,5.0,12,26,,1.0,,4.0,,,1.0,4.0,1.0,,,7,20,,1.0,1.0,,,78,2022-06-21
Port Adelaide,2022,63,Melbourne,18,L,18,11,5.0,9,20,,,,1.0,,2.0,3.0,1.0,2.0,,,7,13,,,,,,82,2022-06-28
Port Adelaide,2022,64,Geelong,19,L,18,13,3.0,7,20,,,,5.0,,6.0,2.0,,1.0,,,5,15,,,,,4.0,83,2022-07-05
Port Adelaide,2022,65,Collingwood,20,L,18,17,5.0,8,25,2.0,1.0,,3.0,3.0,3.0,4.0,7.0,2.0,2.0,,10,15,1.0,1.0,1.0,1.0,1.0,84,2022-07-12
Port Adelaide,2022,66,Richmond,21,L,18,12,3.0,16,28,1.0,,,8.0,1.0,5.0,1.0,4.0,4.0,1.0,,13,14,,,,,1.0,81,2022-07-19
Port Adelaide,2022,67,Essendon,22,W,18,15,5.0,10,25,3.0,1.0,,3.0,,3.0,6.0,4.0,3.0,,3.0,11,13,,2.0,,1.0,1.0,79,2022-07-26
Port Adelaide,2022,68,Adelaide,23,W,18,16,5.0,10,26,1.0,1.0,,8.0,1.0,4.0,9.0,4.0,2.0,1.0,,12,13,,1.0,4.0,,2.0,81,2022-08-02
Port Adelaide,2023,69,Brisbane Lions,1,W,9,13,8.0,11,24,,,,1.0,2.0,6.0,4.0,,,,,6,18,,,1.0,,1.0,77,2023-03-01
Port Adelaide,2023,70,Collingwood,2,L,9,9,3.0,9,18,,,,1.0,2.0,4.0,,1.0,1.0,,,6,12,,,,1.0,,72,2023-03-08
Port Adelaide,2023,71,Adelaide,3,L,9,9,3.0,6,15,1.0,,,2.0,2.0,3.0,3.0,2.0,1.0,1.0,,7,7,,,1.0,,1.0,77,2023-03-15
Port Adelaide,2023,72,Sydney,4,W,9,14,2.0,13,27,1.0,,,2.0,3.0,5.0,3.0,4.0,1.0,2.0,,10,17,,,1.0,2.0,,79,2023-03-22
Port Adelaide,2023,73,Western Bulldogs,5,W,9,19,3.0,13,32,1.0,1.0,,2.0,1.0,5.0,7.0,4.0,3.0,,3.0,17,16,,,5.0,2.0,1.0,74,2023-03-29
Port Adelaide,2023,74,West Coast,6,W,9,9,3.0,16,25,,,,6.0,,7.0,4.0,3.0,2.0,2.0,,7,17,,,,,,82,2023-04-05
Port Adelaide,2023,75,St Kilda,7,W,9,9,4.0,18,27,,1.0,,3.0,1.0,2.0,2.0,4.0,,2.0,,14,13,,1.0,1.0,,,74,2023-04-12
Port Adelaide,2023,76,Essendon,8,W,9,16,5.0,12,28,,,,6.0,1.0,6.0,6.0,2.0,3.0,1.0,,13,17,,,3.0,3.0,,71,2023-04-19
Port Adelaide,2023,77,North Melbourne,9,W,9,17,9.0,15,32,,1.0,,2.0,2.0,5.0,3.0,1.0,1.0,,3.0,14,17,3.0,1.0,,,,82,2023-04-26
Port Adelaide,2023,78,Melbourne,10,W,9,22,6.0,19,41,2.0,1.0,,3.0,2.0,8.0,10.0,4.0,4.0,1.0,3.0,18,22,,1.0,2.0,1.0,,87,2023-05-03
Port Adelaide,2023,79,Richmond,11,W,9,20,5.0,12,32,1.0,,,,2.0,6.0,4.0,9.0,2.0,2.0,,14,18,1.0,1.0,1.0,5.0,1.0,79,2023-05-10
Port Adelaide,2023,80,Hawthorn,12,W,9,17,8.0,9,26,1.0,1.0,,7.0,1.0,4.0,4.0,2.0,1.0,,,6,20,,,,1.0,1.0,83,2023-05-17
Port Adelaide,2023,81,Western Bulldogs,13,W,9,17,6.0,14,31,1.0,,,5.0,1.0,6.0,6.0,6.0,1.0,1.0,3.0,12,18,,,,3.0,2.0,85,2023-05-24
Port Adelaide,2023,82,Geelong,14,W,9,9,2.0,14,23,1.0,,,3.0,2.0,5.0,8.0,2.0,1.0,1.0,2.0,11,11,,,,1.0,,80,2023-05-31
Port Adelaide,2023,83,Essendon,16,W,9,14,8.0,11,25,1.0,,,3.0,1.0,7.0,2.0,4.0,2.0,2.0,,4,21,,,,6.0,1.0,80,2023-06-14
Port Adelaide,2023,84,Gold Coast,17,W,9,13,6.0,9,22,,,,4.0,2.0,5.0,5.0,6.0,1.0,2.0,1.0,10,13,,,1.0,3.0,1.0,85,2023-06-21
Port Adelaide,2023,85,Carlton,18,L,9,8,1.0,9,17,1.0,,,5.0,,3.0,,1.0,,1.0,,5,13,,,1.0,,,69,2023-06-28
Port Adelaide,2023,86,Collingwood,19,L,9,14,5.0,17,31,,1.0,,3.0,1.0,7.0,6.0,,1.0,,2.0,12,18,,,1.0,,,79,2023-07-05
Port Adelaide,2023,87,Adelaide,20,L,9,14,2.0,18,32,,1.0,,2.0,,7.0,6.0,5.0,2.0,4.0,,15,20,,,3.0,2.0,1.0,80,2023-07-12
Port Adelaide,2023,88,Geelong,21,L,9,21,8.0,9,30,1.0,,,6.0,2.0,7.0,3.0,5.0,1.0,2.0,3.0,7,23,1.0,1.0,1.0,4.0,2.0,82,2023-07-19
Port Adelaide,2023,89,Greater Western Sydney,22,W,9,16,9.0,18,34,,,,2.0,2.0,5.0,7.0,2.0,2.0,,1.0,13,20,,,,2.0,1.0,74,2023-07-26
Port Adelaide,2023,90,Fremantle,23,W,9,14,3.0,17,31,1.0,,,5.0,1.0,3.0,3.0,4.0,2.0,,3.0,11,21,,,1.0,,,77,2023-08-02
Port Adelaide,2023,91,Richmond,24,W,9,16,7.0,14,30,,,,2.0,5.0,4.0,9.0,3.0,2.0,1.0,3.0,14,16,,,3.0,3.0,1.0,73,2023-08-09
Port Adelaide,2023,92,Brisbane Lions,QF,L,9,19,6.0,10,29,,,,7.0,3.0,7.0,3.0,3.0,1.0,,,7,19,1.0,,,1.0,1.0,81,2023-03-01
Port Adelaide,2023,93,Greater Western Sydney,SF,L,9,12,4.0,13,25,,1.0,,4.0,,4.0,2.0,5.0,,1.0,,5,20,,1.0,,,,81,2023-03-01
Port Adelaide,2024,94,West Coast,2,W,9,16,8.0,11,27,1.0,,,2.0,,5.0,2.0,4.0,2.0,1.0,,8,19,,,1.0,4.0,1.0,82,2024-03-08
Port Adelaide,2024,95,Richmond,3,W,9,15,7.0,19,34,1.0,,,1.0,2.0,6.0,7.0,1.0,3.0,,,14,21,,,2.0,2.0,3.0,76,2024-03-15
Port Adelaide,2024,96,Melbourne,4,L,9,10,2.0,16,26,,,,3.0,1.0,3.0,3.0,2.0,2.0,1.0,,8,19,,,,1.0,,87,2024-03-22
Port Adelaide,2024,97,Essendon,5,W,9,13,6.0,13,26,,1.0,,7.0,2.0,1.0,5.0,3.0,,2.0,1.0,12,15,,,3.0,2.0,3.0,74,2024-03-29
Port Adelaide,2024,98,Fremantle,6,W,9,14,4.0,10,24,1.0,1.0,,9.0,3.0,1.0,4.0,4.0,2.0,2.0,3.0,10,14,,,,6.0,,83,2024-04-05
Port Adelaide,2024,99,Collingwood,7,L,9,16,5.0,15,31,1.0,,,5.0,3.0,6.0,3.0,6.0,1.0,1.0,,8,26,,1.0,2.0,4.0,,81,2024-04-12
Port Adelaide,2024,100,St Kilda,8,W,9,16,5.0,11,27,,1.0,,3.0,3.0,4.0,5.0,7.0,,,3.0,8,19,,,,4.0,,83,2024-04-19
Port Adelaide,2024,101,Adelaide,9,L,9,17,1.0,16,33,,,,5.0,3.0,9.0,7.0,5.0,1.0,1.0,2.0,16,18,,,1.0,6.0,,85,2024-04-26
Port Adelaide,2024,102,Geelong,10,W,9,21,9.0,13,34,1.0,,,3.0,1.0,5.0,7.0,5.0,3.0,3.0,2.0,15,19,,,,3.0,1.0,79,2024-05-03
Port Adelaide,2024,103,Hawthorn,11,W,9,16,5.0,16,32,,,,6.0,4.0,6.0,8.0,4.0,2.0,3.0,,12,22,,,1.0,1.0,,84,2024-05-10
Port Adelaide,2024,104,North Melbourne,12,W,9,7,5.0,12,19,2.0,,,4.0,1.0,6.0,5.0,2.0,1.0,1.0,,8,12,,1.0,1.0,1.0,2.0,71,2024-05-17
Port Adelaide,2024,105,Carlton,13,L,9,6,1.0,18,24,,1.0,,4.0,,2.0,5.0,3.0,,,,15,9,,,5.0,1.0,,81,2024-05-24
Port Adelaide,2024,106,Greater Western Sydney,15,L,9,10,4.0,7,17,,1.0,,3.0,1.0,4.0,4.0,1.0,1.0,1.0,,10,8,,,1.0,1.0,,84,2024-06-07
Port Adelaide,2024,107,Brisbane Lions,16,L,9,12,6.0,23,35,1.0,,,6.0,4.0,3.0,8.0,6.0,,2.0,,12,22,,1.0,1.0,4.0,,79,2024-06-14
Port Adelaide,2024,108,St Kilda,17,W,9,12,4.0,10,22,1.0,,,5.0,1.0,7.0,5.0,2.0,1.0,1.0,,10,13,,,,7.0,,81,2024-06-21
Port Adelaide,2024,109↓,Western Bulldogs,18,W,9,19,10.0,14,33,1.0,,,3.0,,2.0,6.0,,3.0,,3.0,9,23,,,,1.0,,65,2024-06-28
Port Adelaide,2024,110,Gold Coast,19,L,9,21,12.0,14,35,1.0,,,1.0,2.0,5.0,1.0,4.0,2.0,2.0,3.0,6,31,,1.0,,2.0,,80,2024-07-05
Port Adelaide,2024,111,Richmond,20,W,9,19,1.0,9,28,,,,2.0,,7.0,5.0,4.0,2.0,,3.0,10,15,,,2.0,2.0,,80,2024-07-12
Port Adelaide,2024,112,Carlton,21,W,9,10,5.0,13,23,,1.0,,5.0,1.0,4.0,3.0,2.0,,,,8,13,,1.0,1.0,3.0,1.0,81,2024-07-19
