team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2026,1,Melbourne,4,L,39,4,2.0,4,8,1.0,,,2.0,2.0,1.0,,1,,1.0,,4,4,1.0,1.0,2.0,,1.0,62,2026-03-22
Carlton,2026,2,North Melbourne,5,L,39,2,3.0,3,5,,,,4.0,,1.0,,1,,1.0,,1,4,,,,,,62,2026-03-29
Carlton,2026,3,Adelaide,6,L,39,5,3.0,4,9,,,,,,3.0,,1,,,,5,4,,,2.0,,,73,2026-04-05
Carlton,2026,4,Collingwood,7,L,39,5,4.0,3,8,,2.0,,3.0,,1.0,2.0,3,3.0,,,4,6,1.0,1.0,3.0,1.0,,69,2026-04-12
Carlton,2026,5,Fremantle,8,L,39,2,,3,5,,,,1.0,,,,2,1.0,2.0,,3,3,,,1.0,,,67,2026-04-19
Carlton,2026,6,Port Adelaide,12,W,39,6,3.0,2,8,1.0,2.0,,,,2.0,,2,1.0,,,3,3,,2.0,1.0,,,83,2026-05-17
Carlton,2026,7,Geelong,13,W,39,5,,1,6,1.0,,,5.0,,2.0,,1,2.0,,,4,3,,,3.0,,,66,2026-05-24
Carlton,2026,8,Essendon,14,W,39,6,3.0,1,7,2.0,2.0,,3.0,,1.0,,1,2.0,,,2,5,,2.0,,,,59,2026-05-31
Carlton,2026,9,Greater Western Sydney,16,W,39,3,1.0,2,5,,1.0,,2.0,2.0,2.0,,2,2.0,2.0,,3,3,,,,1.0,,61,2026-06-14
Carlton,2026,10,West Coast,17,W,39,8,6.0,3,11,3.0,,,5.0,,1.0,,2,2.0,1.0,,3,7,,4.0,,,1.0,70,2026-06-21
Carlton,2026,11,Richmond,18,W,39,6,4,6,12,,1,,1,,1,,1,1,,,6,7,,1,,,1,57,2026-06-28
