team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2024,1,Richmond,12,W,30,6,2,4,10,,2.0,,3.0,,3.0,,2.0,3.0,1.0,,7,2,1.0,,1.0,,,75,2024-05-17
Essendon,2024,2↓,West Coast,16,W,30,5,2,6,11,2.0,1.0,,,,1.0,,2.0,,,,4,7,1.0,1.0,,,,66,2024-06-14
Essendon,2024,3↓,Collingwood,18,W,30,9,6,3,12,1.0,3.0,,2.0,,4.0,,1.0,1.0,,,4,8,1.0,3.0,1.0,,1.0,77,2024-06-28
Essendon,2024,4,Melbourne,19,L,30,9,5,1,10,,1.0,,1.0,,3.0,,3.0,,1.0,,2,6,,2.0,,,,79,2024-07-05
Essendon,2024,5,Adelaide,20,L,30,9,3,2,11,2.0,1.0,,2.0,,3.0,,3.0,2.0,,,7,4,2.0,1.0,2.0,1.0,1.0,79,2024-07-12
Essendon,2024,6,St Kilda,21,L,30,5,3,4,9,,,,1.0,1.0,2.0,,1.0,,,,3,4,,,1.0,,1.0,80,2024-07-19
Essendon,2024,7,Fremantle,22,W,30,7,5,2,9,1.0,1.0,,1.0,,3.0,,,,,,2,7,1.0,1.0,1.0,1.0,2.0,74,2024-07-26
Essendon,2024,8,Gold Coast,23,L,30,9,6,6,15,3.0,1.0,,2.0,,4.0,,2.0,2.0,,,7,8,1.0,1.0,,1.0,,75,2024-08-02
Essendon,2024,9,Sydney,24,L,30,6,4,5,11,,1.0,,,,2.0,,1.0,,,,6,5,2.0,1.0,,,,78,2024-08-09
Essendon,2024,10,Brisbane Lions,25,L,30,7,4,4,11,,,,2.0,,3.0,,3.0,1.0,1.0,,4,5,1.0,,,2.0,,85,2024-08-16
Essendon,2025,11,Hawthorn,2,L,30,9,5,3,12,,1.0,,2.0,,5.0,1.0,4.0,,,,8,3,4.0,,,,1.0,85,2025-03-08
Essendon,2025,12↓,Adelaide,3,L,30,4,2,1,5,,1.0,,1.0,,1.0,1.0,,1.0,,,3,2,,1.0,1.0,,,54,2025-03-15
Essendon,2025,13,Port Adelaide,4,W,30,9,2,4,13,2.0,2.0,,3.0,,1.0,,2.0,2.0,,,8,5,1.0,1.0,,,,74,2025-03-22
Essendon,2025,14,Melbourne,6,W,30,5,4,2,7,2.0,,1.0,1.0,,,,2.0,1.0,1.0,,3,4,1.0,1.0,,,,78,2025-04-05
Essendon,2025,15,West Coast,7,W,30,4,3,4,8,,1.0,,1.0,,1.0,,,,,,3,5,1.0,1.0,1.0,,,82,2025-04-12
Essendon,2025,16,Collingwood,8,L,30,15,4,4,19,2.0,3.0,,,,,,8.0,3.0,2.0,,10,8,2.0,2.0,1.0,,,76,2025-04-19
Essendon,2025,17,North Melbourne,9,W,30,9,5,6,15,2.0,3.0,,,,2.0,,1.0,2.0,,,6,8,,2.0,,,,73,2025-04-26
Essendon,2025,18,Sydney,10,W,30,12,7,4,16,3.0,1.0,,3.0,,6.0,,5.0,1.0,1.0,,6,11,,3.0,1.0,1.0,,70,2025-05-03
Essendon,2025,19,Western Bulldogs,11,L,30,6,7,2,8,,,,,,2.0,,3.0,,1.0,,2,6,2.0,1.0,,,1.0,81,2025-05-10
Essendon,2025,20,Richmond,12,W,30,7,1,4,11,1.0,2.0,,,,3.0,,6.0,,1.0,,4,7,,,,,,86,2025-05-17
Essendon,2025,21,Brisbane Lions,13,L,30,8,5,2,10,2.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,,5,5,3.0,2.0,3.0,1.0,,85,2025-05-24
Essendon,2025,22,Carlton,14,L,30,7,3,3,10,,,,2.0,,3.0,,2.0,,,,3,6,,1.0,1.0,,1.0,91,2025-05-31
Essendon,2025,23,Geelong,15,L,30,3,1,6,9,,1.0,,,,1.0,,2.0,,,,3,6,,,,,,87,2025-06-07
Essendon,2025,24,Fremantle,16,L,30,9,8,6,15,1.0,,,2.0,,4.0,,1.0,,,,6,10,1.0,2.0,1.0,2.0,2.0,100,2025-06-14
Essendon,2025,25,Gold Coast,18,L,30,10,5,2,12,3,1,,1,,6,,,5,,,6,6,1,2,,,,94,2025-06-28
