team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2019,1,Hawthorn,21,L,5,7,5.0,6,13,,,,6.0,1.0,3.0,2.0,1.0,,,,6.0,8,1.0,,,,1.0,75,2019-07-19
Greater Western Sydney,2019,2,Western Bulldogs,22,L,5,6,2.0,4,10,,,,3.0,,3.0,3.0,3.0,,2.0,,4.0,6,,,,,,73,2019-07-26
Greater Western Sydney,2020,3,North Melbourne,2,L,5,9,3.0,6,15,,1.0,,2.0,2.0,3.0,1.0,1.0,,1.0,,5.0,10,1.0,,1.0,,,46,2020-03-08
Greater Western Sydney,2020,4,Western Bulldogs,3,L,5,7,8.0,7,14,,,,4.0,,3.0,1.0,2.0,,,,6.0,8,1.0,2.0,,,,71,2020-03-15
Greater Western Sydney,2020,5,Brisbane Lions,7,L,5,6,1.0,10,16,,,,4.0,,4.0,2.0,2.0,2.0,,,6.0,10,,,,,,61,2020-04-12
Greater Western Sydney,2020,6,Richmond,8,W,5,6,1.0,6,12,,,,3.0,1.0,1.0,3.0,4.0,,3.0,,7.0,5,,,,,,59,2020-04-19
Greater Western Sydney,2020,7,Gold Coast,9,W,5,4,2.0,11,15,,,,3.0,,2.0,3.0,3.0,1.0,2.0,,9.0,7,,,,,1.0,76,2020-04-26
Greater Western Sydney,2020,8,Essendon,10,W,5,4,,4,8,,,,5.0,,2.0,1.0,2.0,,,,5.0,3,,,,,,72,2020-05-03
Greater Western Sydney,2020,9,Sydney,12,L,5,8,4.0,5,13,,1.0,,2.0,,2.0,,4.0,,1.0,,5.0,9,,1.0,,,,79,2020-05-17
Greater Western Sydney,2020,10,West Coast,13,L,5,5,5.0,5,10,,,,3.0,,1.0,,1.0,,,,4.0,7,,1.0,1.0,,1.0,64,2020-05-24
Greater Western Sydney,2020,11,Adelaide,16,L,5,7,3.0,4,11,1.0,,,7.0,,2.0,1.0,1.0,1.0,,,5.0,7,,,2.0,,,86,2020-06-14
Essendon,2021,12,Hawthorn,1,L,6,9,4.0,13,22,,1.0,,9.0,,2.0,3.0,4.0,2.0,,,8.0,13,,1.0,1.0,,1.0,74,2021-03-01
Essendon,2021,13↓,Port Adelaide,2,L,6,9,2.0,1,10,,,,3.0,1.0,3.0,3.0,1.0,2.0,,,8.0,3,1.0,,1.0,,,42,2021-03-08
Essendon,2021,14,Western Bulldogs,EF,L,6,9,2.0,5,14,,,,4.0,,6.0,1.0,3.0,2.0,,,6.0,9,,,1.0,,,70,2021-03-01
Essendon,2022,15,Geelong,1,L,6,11,8.0,12,23,2.0,1.0,,2.0,1.0,2.0,1.0,2.0,1.0,,,6.0,17,,4.0,1.0,,,78,2022-03-01
Essendon,2022,16,Brisbane Lions,2,L,6,5,1.0,16,21,,1.0,,2.0,,3.0,5.0,2.0,2.0,1.0,,14.0,7,,,2.0,,1.0,89,2022-03-08
Essendon,2022,17,Melbourne,3,L,6,13,6.0,3,16,,1.0,,7.0,1.0,1.0,5.0,2.0,2.0,1.0,,8.0,8,1.0,1.0,,,,76,2022-03-15
Essendon,2022,18,Adelaide,4,W,6,10,2.0,13,23,1.0,,,1.0,3.0,4.0,3.0,2.0,,1.0,,9.0,14,,,1.0,,2.0,73,2022-03-22
Essendon,2022,19,Fremantle,5,L,6,7,2.0,16,23,1.0,1.0,,1.0,1.0,4.0,1.0,2.0,,1.0,,8.0,14,,,,,2.0,78,2022-03-29
Essendon,2022,20,Collingwood,6,L,6,10,2.0,7,17,,,,4.0,,4.0,2.0,3.0,1.0,1.0,,7.0,10,,,,,2.0,71,2022-04-05
Essendon,2022,21,Western Bulldogs,7,L,6,9,3.0,11,20,,1.0,,4.0,1.0,1.0,4.0,5.0,1.0,3.0,,12.0,9,,,2.0,,,71,2022-04-12
Essendon,2022,22,Hawthorn,8,W,6,10,5.0,10,20,1.0,1.0,,7.0,,3.0,3.0,4.0,,2.0,,9.0,11,,1.0,2.0,,1.0,74,2022-04-19
Essendon,2022,23↓,Sydney,9,L,6,4,2.0,6,10,,,,3.0,1.0,2.0,3.0,1.0,1.0,1.0,,6.0,4,,,,,,50,2022-04-26
Essendon,2022,24,Port Adelaide,11,L,6,7,2.0,6,13,,1.0,,10.0,,,2.0,,,,,,11,,,1.0,,1.0,80,2022-05-10
Essendon,2022,25,Carlton,13,L,6,11,4.0,7,18,,,,5.0,1.0,4.0,,3.0,1.0,1.0,,4.0,14,,,2.0,,,81,2022-05-24
Essendon,2022,26,St Kilda,14,W,6,12,5.0,11,23,,,,7.0,2.0,4.0,5.0,4.0,,1.0,,13.0,12,1.0,,,,,69,2022-05-31
Essendon,2022,27,West Coast,15,L,6,10,5.0,10,20,,1.0,,4.0,,4.0,6.0,2.0,1.0,,,9.0,11,1.0,,1.0,,,81,2022-06-07
Essendon,2022,28,Sydney,16,W,6,6,5.0,12,18,,,,2.0,,2.0,2.0,2.0,2.0,,,8.0,10,,1.0,1.0,,1.0,69,2022-06-14
Essendon,2022,29,Brisbane Lions,17,W,6,14,4.0,12,26,1.0,,,7.0,2.0,4.0,2.0,7.0,3.0,1.0,,8.0,18,1.0,1.0,,1.0,1.0,87,2022-06-21
Essendon,2022,30,Gold Coast,18,W,6,13,4.0,8,21,,,,3.0,,6.0,3.0,3.0,3.0,2.0,,7.0,14,1.0,2.0,,,2.0,81,2022-06-28
Essendon,2022,31,Collingwood,19,L,6,5,,10,15,,,,6.0,1.0,1.0,5.0,2.0,,1.0,,8.0,7,,,,,1.0,86,2022-07-05
Essendon,2022,32↓,North Melbourne,20,W,6,3,2.0,10,13,,,,2.0,1.0,,2.0,2.0,1.0,1.0,,7.0,9,1.0,,1.0,,2.0,58,2022-07-12
Essendon,2022,33,Port Adelaide,22,L,6,7,2.0,10,17,,,,4.0,2.0,3.0,4.0,2.0,1.0,1.0,,12.0,5,,,1.0,,,67,2022-07-26
Essendon,2022,34,Richmond,23,L,6,8,3.0,10,18,,,,5.0,2.0,4.0,1.0,4.0,1.0,1.0,,4.0,13,,,1.0,,1.0,72,2022-08-02
Essendon,2023,35,Hawthorn,1,W,6,9,2.0,7,16,1.0,,,,,4.0,3.0,,,,,5.0,11,,,,,,78,2023-03-01
Essendon,2023,36,Gold Coast,2,W,6,7,2.0,8,15,,1.0,,7.0,1.0,5.0,2.0,1.0,2.0,1.0,,9.0,6,,,,1.0,1.0,79,2023-03-08
Essendon,2023,37,St Kilda,3,L,6,7,2.0,11,18,2.0,1.0,,2.0,,2.0,4.0,2.0,,,,11.0,7,1.0,,,,,88,2023-03-15
Essendon,2023,38,Greater Western Sydney,4,W,6,5,,5,10,,3.0,,5.0,,1.0,,1.0,1.0,,,3.0,7,,,4.0,,1.0,79,2023-03-22
Essendon,2023,39,Melbourne,5,W,6,6,3.0,4,10,,2.0,,6.0,,3.0,,1.0,2.0,,,6.0,4,1.0,2.0,,,1.0,87,2023-03-29
Essendon,2023,40,Collingwood,6,L,6,3,3.0,16,19,,,,8.0,1.0,,5.0,4.0,,2.0,,12.0,8,1.0,,1.0,,,71,2023-04-05
Essendon,2023,41,Geelong,7,L,6,7,8.0,13,20,1.0,,,2.0,1.0,2.0,1.0,3.0,,2.0,,7.0,13,1.0,1.0,2.0,,2.0,78,2023-04-12
Essendon,2023,42,Port Adelaide,8,L,6,8,3.0,9,17,1.0,,,5.0,1.0,4.0,1.0,1.0,,,,5.0,11,1.0,2.0,1.0,,,80,2023-04-19
Essendon,2023,43,Brisbane Lions,9,L,6,10,2.0,7,17,,1.0,,2.0,2.0,4.0,5.0,3.0,,1.0,,6.0,9,,,,,,73,2023-04-26
Essendon,2023,44,Richmond,10,W,6,17,8.0,14,31,,,,3.0,5.0,3.0,5.0,5.0,,1.0,1.0,9.0,22,,,1.0,,,78,2023-05-03
Essendon,2023,45,West Coast,11,W,6,4,3.0,16,20,,,,5.0,,2.0,4.0,1.0,1.0,,,11.0,9,,,,,,78,2023-05-10
Essendon,2023,46,North Melbourne,12,W,6,21,9.0,6,27,,,,1.0,3.0,8.0,5.0,3.0,1.0,,,8.0,20,,,1.0,,2.0,84,2023-05-17
Essendon,2023,47,Carlton,13,W,6,10,1.0,15,25,1.0,,,6.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,8.0,17,,,,,2.0,64,2023-05-24
Essendon,2023,48,Fremantle,15,L,6,10,2.0,11,21,1.0,,,2.0,2.0,2.0,3.0,1.0,,1.0,,5.0,15,,,,,,77,2023-06-07
Essendon,2023,49,Port Adelaide,16,L,6,12,6.0,12,24,2.0,1.0,,3.0,2.0,6.0,3.0,2.0,1.0,1.0,,10.0,15,,1.0,,,1.0,76,2023-06-14
Essendon,2023,50,Adelaide,17,W,6,11,2.0,9,20,,,,8.0,4.0,2.0,5.0,7.0,2.0,3.0,,11.0,10,,,1.0,,1.0,77,2023-06-21
Essendon,2023,51,Geelong,18,L,6,6,2.0,6,12,,,,3.0,,1.0,3.0,1.0,2.0,,,7.0,5,,,,,1.0,80,2023-06-28
Essendon,2023,52,Western Bulldogs,19,L,6,6,1.0,7,13,,,,11.0,,4.0,1.0,3.0,1.0,2.0,,7.0,7,,,,,,70,2023-07-05
Essendon,2023,53,Sydney,20,L,6,8,1.0,19,27,1.0,1.0,,3.0,1.0,3.0,11.0,2.0,4.0,1.0,,17.0,10,,,1.0,,,68,2023-07-12
Essendon,2023,54↓,West Coast,21,W,6,6,6.0,5,11,,1.0,,4.0,,2.0,2.0,2.0,,1.0,,4.0,8,,1.0,,,,47,2023-07-19
Essendon,2023,55,Greater Western Sydney,23,L,6,10,5.0,8,18,1.0,1.0,,3.0,,5.0,3.0,4.0,1.0,1.0,,7.0,11,1.0,1.0,,1.0,,78,2023-08-02
Essendon,2024,56,Hawthorn,2,W,6,4,1.0,9,13,1.0,,,7.0,,3.0,3.0,3.0,3.0,3.0,,7.0,5,,,,,1.0,74,2024-03-08
Essendon,2024,57,Sydney,3,L,6,7,3.0,9,16,,,,4.0,,3.0,2.0,2.0,,,,8.0,8,1.0,,1.0,,,69,2024-03-15
Essendon,2024,58,St Kilda,4,W,6,7,5.0,13,20,,,,6.0,1.0,4.0,1.0,1.0,,,,9.0,12,,,1.0,,3.0,78,2024-03-22
Essendon,2024,59,Port Adelaide,5,L,6,11,5.0,13,24,,,,8.0,1.0,4.0,3.0,5.0,,1.0,,8.0,17,1.0,1.0,2.0,,,68,2024-03-29
Essendon,2024,60,Western Bulldogs,6,W,6,18,10.0,5,23,1.0,,,4.0,1.0,5.0,4.0,8.0,1.0,3.0,,9.0,14,,,1.0,,,75,2024-04-05
Essendon,2024,61,Adelaide,7,W,6,13,3.0,13,26,,1.0,,10.0,1.0,4.0,6.0,,2.0,,,11.0,16,1.0,1.0,1.0,,1.0,74,2024-04-12
Essendon,2024,62,Collingwood,8,D,6,8,2.0,16,24,,,,3.0,,5.0,3.0,3.0,3.0,2.0,,11.0,14,1.0,,,,1.0,72,2024-04-19
Essendon,2024,63↓,West Coast,9,W,6,4,3.0,11,15,,1.0,,4.0,,,2.0,,1.0,,,5.0,11,,,,1.0,,49,2024-04-26
Essendon,2024,64,Greater Western Sydney,10,W,6,9,3.0,11,20,,,,6.0,2.0,2.0,7.0,3.0,,1.0,,9.0,11,,,1.0,,,76,2024-05-03
Essendon,2024,65,North Melbourne,11,W,6,12,7.0,13,25,,1.0,,5.0,2.0,6.0,9.0,2.0,1.0,,3.0,10.0,15,,,,,1.0,75,2024-05-10
Essendon,2024,66,Richmond,12,W,6,8,4.0,10,18,,,,5.0,1.0,4.0,5.0,1.0,1.0,1.0,,8.0,10,,,,,1.0,70,2024-05-17
Essendon,2024,67,Gold Coast,13,L,6,11,2.0,12,23,1.0,,,10.0,2.0,1.0,1.0,8.0,1.0,3.0,,9.0,18,,,1.0,,1.0,79,2024-05-24
Essendon,2024,68,Carlton,14,L,6,7,4.0,15,22,,2.0,,8.0,,5.0,2.0,1.0,,1.0,,7.0,15,,,,,,79,2024-05-31
Essendon,2024,69,West Coast,16,W,6,20,6.0,7,27,1.0,1.0,,11.0,2.0,3.0,6.0,9.0,1.0,5.0,2.0,9.0,20,,,1.0,,,86,2024-06-14
Essendon,2024,70,Geelong,17,L,6,18,4.0,14,32,,,,12.0,4.0,4.0,12.0,5.0,2.0,,,18.0,13,,,1.0,,1.0,87,2024-06-21
Essendon,2024,71,Collingwood,18,W,6,15,6.0,15,30,1.0,,,7.0,1.0,2.0,8.0,3.0,3.0,,3.0,14.0,15,,,,,1.0,76,2024-06-28
Essendon,2024,72,Melbourne,19,L,6,13,3.0,10,23,,,,12.0,1.0,7.0,3.0,3.0,4.0,,,7.0,16,,,,,,85,2024-07-05
Essendon,2024,73↓,Adelaide,20,L,6,11,3.0,9,20,1.0,,,6.0,2.0,1.0,3.0,3.0,2.0,2.0,,10.0,11,,1.0,1.0,,,63,2024-07-12
Essendon,2024,74,St Kilda,21,L,6,8,2.0,13,21,,1.0,,4.0,1.0,1.0,4.0,4.0,2.0,1.0,,12.0,9,,,4.0,1.0,,83,2024-07-19
Essendon,2024,75,Fremantle,22,W,6,16,5.0,16,32,,1.0,,6.0,3.0,7.0,4.0,4.0,2.0,2.0,,11.0,22,1.0,,1.0,2.0,,82,2024-07-26
Essendon,2024,76,Gold Coast,23,L,6,10,2.0,7,17,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,13,,,,1.0,,79,2024-08-02
Essendon,2024,77,Sydney,24,L,6,16,7.0,15,31,1.0,1.0,,5.0,2.0,6.0,5.0,8.0,2.0,3.0,,11.0,22,,2.0,,1.0,,82,2024-08-09
Essendon,2024,78,Brisbane Lions,25,L,6,7,5.0,14,21,,,,4.0,4.0,4.0,4.0,5.0,,3.0,,8.0,12,1.0,,1.0,,,72,2024-08-16
Essendon,2025,79,Hawthorn,2,L,6,18,4.0,18,36,1.0,1.0,,11.0,,7.0,10.0,7.0,2.0,3.0,,17.0,17,,,1.0,,,75,2025-03-08
Essendon,2025,80,Adelaide,3,L,6,10,5.0,17,27,1.0,,,3.0,4.0,3.0,2.0,3.0,,,,11.0,17,,1.0,1.0,,,71,2025-03-15
Essendon,2025,81,Port Adelaide,4,W,6,11,7.0,12,23,,1.0,,5.0,,6.0,3.0,3.0,1.0,,,10.0,15,1.0,,1.0,,,77,2025-03-22
Essendon,2025,82,Sydney,10,W,6,8,3.0,14,22,,,,4.0,1.0,3.0,4.0,4.0,1.0,2.0,,7.0,16,,,1.0,,1.0,68,2025-05-03
Essendon,2025,83,Western Bulldogs,11,L,6,9,5.0,8,17,,,,2.0,1.0,2.0,1.0,6.0,,3.0,,3.0,14,,,,,,65,2025-05-10
Essendon,2025,84,Richmond,12,W,6,9,3.0,20,29,,,,11.0,2.0,3.0,6.0,4.0,,,,16.0,13,,,1.0,,,74,2025-05-17
Essendon,2025,85,Brisbane Lions,13,L,6,16,4.0,14,30,1.0,,,8.0,2.0,4.0,10.0,4.0,2.0,,,15.0,16,,,,,2.0,79,2025-05-24
Essendon,2025,86,Carlton,14,L,6,16,2.0,10,26,1.0,,,8.0,,5.0,5.0,8.0,1.0,1.0,,15.0,13,,1.0,2.0,,,79,2025-05-31
Essendon,2025,87,Geelong,15,L,6,14,5.0,14,28,,,,10.0,2.0,4.0,8.0,7.0,,1.0,,18.0,11,,1.0,1.0,,,76,2025-06-07
Essendon,2025,88,Fremantle,16,L,6,17,2,15,32,,1,,5,3,6,8,1,1,,,12,19,,1,1,,,77,2025-06-14
