team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2021,1,Brisbane Lions,1,W,16,6.0,2.0,6.0,12.0,,,,2.0,2.0,1.0,1.0,1.0,2.0,,,6.0,6.0,,,1.0,,,75.0,2021-03-01
Sydney,2021,2,Adelaide,2,W,16,21.0,6.0,4.0,25.0,,1.0,,2.0,8.0,3.0,,1.0,1.0,1.0,,4.0,18.0,,,1.0,1.0,,79.0,2021-03-08
Sydney,2021,3,Richmond,3,W,16,10.0,5.0,2.0,12.0,,,,,4.0,,,4.0,,,,2.0,9.0,,,1.0,,,70.0,2021-03-15
Sydney,2021,4,Essendon,4,W,16,11.0,4.0,8.0,19.0,,,,,7.0,3.0,,6.0,,1.0,,4.0,14.0,,,2.0,,,66.0,2021-03-22
Sydney,2021,5,Greater Western Sydney,5,L,16,9.0,2.0,5.0,14.0,,,,1.0,1.0,2.0,,4.0,,1.0,,2.0,11.0,,,2.0,,1.0,62.0,2021-03-29
Sydney,2021,6↑,Gold Coast,6,L,16,6.0,3.0,6.0,12.0,,,,2.0,2.0,,,2.0,1.0,,,4.0,7.0,,,,,,55.0,2021-04-05
Sydney,2021,7,North Melbourne,22,W,16,3.0,3.0,7.0,10.0,1.0,,,3.0,1.0,,,,,,,4.0,7.0,,1.0,,,1.0,72.0,2021-07-26
Sydney,2021,8,Gold Coast,23,W,16,5.0,1.0,3.0,8.0,,1.0,,1.0,,,,1.0,,,,3.0,5.0,,1.0,1.0,,1.0,80.0,2021-08-02
Sydney,2022,9,Greater Western Sydney,1,W,16,7.0,2.0,4.0,11.0,1.0,,,2.0,,3.0,,1.0,,,,2.0,7.0,,,,,,77.0,2022-03-01
Sydney,2022,10,Geelong,2,W,16,13.0,5.0,1.0,14.0,,,,3.0,5.0,2.0,,3.0,1.0,1.0,,3.0,10.0,,,4.0,,,59.0,2022-03-08
