team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2024,1,Gold Coast,1,L,44,7,2.0,2.0,9,2.0,1.0,,4.0,,1.0,1.0,1.0,1.0,,,5,2,,2.0,1.0,,,80,2024-03-01
Richmond,2024,2,Carlton,2,L,44,9,3.0,4.0,13,1.0,,,1.0,2.0,3.0,2.0,7.0,,2.0,,6,9,,,1.0,,,86,2024-03-08
Richmond,2024,3,Port Adelaide,3,L,44,11,3.0,3.0,14,,1.0,,2.0,1.0,4.0,,1.0,,,,5,9,,,2.0,1.0,1.0,80,2024-03-15
Richmond,2024,4,Sydney,4,W,44,11,3.0,3.0,14,,1.0,,1.0,1.0,8.0,,4.0,1.0,,,5,9,,,1.0,,1.0,81,2024-03-22
Richmond,2024,5,St Kilda,5,L,44,10,3.0,8.0,18,,,,3.0,,3.0,1.0,5.0,,1.0,,7,11,,,,2.0,2.0,79,2024-03-29
Richmond,2024,6,West Coast,6,L,44,6,4.0,2.0,8,,1.0,,3.0,,,,,,,,1,6,,,,1.0,,81,2024-04-05
Richmond,2024,7,Melbourne,8,L,44,5,3.0,2.0,7,,,,2.0,1.0,3.0,,,1.0,,,2,6,,,1.0,1.0,,69,2024-04-19
Richmond,2024,8,Fremantle,9,L,44,3,3.0,6.0,9,,1.0,,1.0,,,,2.0,,,,3,6,,,,,,81,2024-04-26
Richmond,2024,9,Western Bulldogs,10,L,44,8,6.0,9.0,17,,,,2.0,2.0,5.0,,3.0,,,,4,13,,,2.0,2.0,,81,2024-05-03
Richmond,2024,10,Essendon,12,L,44,5,4.0,9.0,14,,1.0,,2.0,1.0,,,,1.0,,,7,7,1.0,1.0,,1.0,,86,2024-05-17
Richmond,2024,11,Geelong,13,L,44,7,5.0,3.0,10,1.0,1.0,,7.0,1.0,,1.0,2.0,,1.0,,4,7,,2.0,1.0,,,81,2024-05-24
Richmond,2024,12,Adelaide,14,W,44,6,1.0,3.0,9,2.0,,,1.0,,3.0,,2.0,,,,2,7,,,2.0,1.0,,77,2024-05-31
Richmond,2024,13,Hawthorn,15,L,44,8,4.0,5.0,13,1.0,,,2.0,,2.0,1.0,2.0,,1.0,,7,6,,1.0,3.0,1.0,1.0,91,2024-06-07
Richmond,2024,14,Carlton,17,L,44,4,1.0,1.0,5,,,,2.0,,2.0,1.0,2.0,1.0,1.0,,3,2,,,,,1.0,79,2024-06-21
Richmond,2024,15,Fremantle,18,L,44,3,2.0,1.0,4,,,,2.0,,1.0,,1.0,,,,1,4,,,1.0,,,84,2024-06-28
Richmond,2024,16,Port Adelaide,20,L,44,12,2.0,7.0,19,1.0,2.0,,,1.0,3.0,3.0,2.0,1.0,,,6,11,,1.0,1.0,,,79,2024-07-12
Richmond,2024,17,Collingwood,21,L,44,5,2.0,5.0,10,1.0,1.0,,4.0,,2.0,,2.0,1.0,1.0,,3,7,,,1.0,,,81,2024-07-19
Richmond,2024,18,North Melbourne,22,L,44,11,4.0,4.0,15,1.0,2.0,,2.0,,7.0,3.0,1.0,1.0,,,4,11,,,2.0,1.0,1.0,72,2024-07-26
Richmond,2024,19,St Kilda,23,L,44,6,3.0,,6,,1.0,,1.0,,4.0,,4.0,,2.0,,1,5,,,,,,83,2024-08-02
Richmond,2024,20,Hawthorn,24,L,44,7,1.0,6.0,13,,1.0,,,,3.0,,1.0,,,,6,7,,,1.0,1.0,1.0,80,2024-08-09
Richmond,2024,21,Gold Coast,25,L,44,7,2.0,4.0,11,,,,3.0,,3.0,2.0,2.0,2.0,1.0,,6,7,,,,,,76,2024-08-16
Richmond,2025,22,Carlton,2,W,44,3,,5.0,8,2.0,,,7.0,,1.0,1.0,2.0,,,,3,5,,,2.0,1.0,,75,2025-03-08
Richmond,2025,23,Port Adelaide,3,L,44,8,1.0,5.0,13,2.0,3.0,,2.0,,3.0,,3.0,1.0,1.0,,7,6,,,2.0,2.0,,89,2025-03-15
Richmond,2025,24,St Kilda,4,L,44,7,3.0,5.0,12,3.0,2.0,,2.0,,,2.0,2.0,1.0,,,6,6,,3.0,,,,82,2025-03-22
Richmond,2025,25,Brisbane Lions,5,L,44,6,1.0,9.0,15,2.0,,,1.0,,2.0,1.0,2.0,,1.0,,4,11,,1.0,2.0,,1.0,74,2025-03-29
Richmond,2025,26,Fremantle,6,L,44,6,1.0,3.0,9,,1.0,,1.0,,2.0,1.0,2.0,,2.0,,4,4,1.0,,,,1.0,88,2025-04-05
Richmond,2025,27,Gold Coast,7,W,44,9,3.0,6.0,15,2.0,,,1.0,,5.0,,2.0,2.0,,,5,9,,1.0,1.0,1.0,2.0,82,2025-04-12
Richmond,2025,28,Melbourne,8,L,44,4,,8.0,12,,1.0,,2.0,,,2.0,3.0,1.0,1.0,,5,7,,,1.0,,,75,2025-04-19
Richmond,2025,29,Hawthorn,9,L,44,7,5.0,4.0,11,1.0,,,2.0,,3.0,,3.0,,,,3,9,,,,,,84,2025-04-26
Richmond,2025,30,West Coast,10,W,44,9,1.0,10.0,19,2.0,,,6.0,1.0,3.0,2.0,4.0,,1.0,,10,7,,,,1.0,,82,2025-05-03
Richmond,2025,31,North Melbourne,11,L,44,10,2.0,5.0,15,3.0,2.0,,3.0,,3.0,3.0,,1.0,,,7,8,1.0,2.0,1.0,,,86,2025-05-10
