team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2025,1,West Coast,6,W,32,12,8,,12,,,,2.0,2.0,2.0,1.0,2.0,,,,1.0,11,,,,,,83,2025-04-05
Carlton,2025,2,North Melbourne,7,W,32,11,3,3.0,14,,,,1.0,1.0,3.0,1.0,1.0,,,,3.0,11,,,2.0,1.0,2.0,77,2025-04-12
Carlton,2025,3,Geelong,8,W,32,13,6,2.0,15,,,,1.0,2.0,3.0,,6.0,1.0,3.0,,4.0,13,,,,1.0,,77,2025-04-19
Carlton,2025,4,Adelaide,9,L,32,5,3,2.0,7,,,,1.0,2.0,,,1.0,,,,,7,,,2.0,,,81,2025-04-26
Carlton,2025,5,Sydney,11,L,32,6,2,2.0,8,,,,3.0,,2.0,,1.0,,,,1.0,6,,,1.0,,,71,2025-05-10
Carlton,2025,6,Greater Western Sydney,12,L,32,7,2,5.0,12,,,,,2.0,,,1.0,,,,6.0,6,1.0,,1.0,,,79,2025-05-17
Carlton,2025,7↓,Essendon,14,W,32,9,5,2.0,11,,,,2.0,4.0,2.0,1.0,5.0,1.0,2.0,,4.0,8,,,,,,62,2025-05-31
Carlton,2025,8,West Coast,15,W,32,11,2,5.0,16,,1.0,,4.0,1.0,2.0,2.0,1.0,1.0,,,8.0,8,,,2.0,,,81,2025-06-07
Carlton,2025,9,North Melbourne,16,L,32,8,5,6.0,14,,,,1.0,,1.0,,,,,,3.0,11,,,4.0,1.0,,82,2025-06-14
Carlton,2025,10,Collingwood,18,L,32,10,2,1.0,11,,,,1.0,3.0,2.0,,2.0,,1.0,,2.0,9,,,5.0,1.0,1.0,83,2025-06-28
Carlton,2025,11,Brisbane Lions,19,L,32,4,1,10.0,14,,,,2.0,2.0,2.0,,5.0,,4.0,,8.0,8,,,2.0,,,81,2025-07-05
Carlton,2025,12,Melbourne,20,W,32,15,5,,15,1.0,,,2.0,3.0,3.0,1.0,,,,,5.0,9,1.0,1.0,3.0,,1.0,75,2025-07-12
Carlton,2025,13,Hawthorn,21,L,32,6,2,3.0,9,,,,2.0,3.0,2.0,1.0,1.0,,,,2.0,7,,,,,,82,2025-07-19
Carlton,2025,14,Fremantle,22,L,32,8,4,,8,,,,1.0,4.0,1.0,,3.0,1.0,1.0,,1.0,8,,,1.0,,1.0,81,2025-07-26
Carlton,2025,15,Gold Coast,23,L,32,8,2,4.0,12,,,,,2.0,2.0,,2.0,2.0,,,2.0,9,,,1.0,,,78,2025-08-02
Carlton,2025,16,Port Adelaide,24,W,32,9,6,3.0,12,,,,2.0,3.0,1.0,,1.0,,,,4.0,7,1.0,,3.0,,,80,2025-08-09
Carlton,2025,17,Essendon,25,W,32,13,7,2.0,15,,1.0,,,1.0,2.0,,3.0,,,,2.0,13,,,1.0,,,84,2025-08-16
Carlton,2026,18,Richmond,2,W,32,10,3,9.0,19,,1.0,,3.0,3.0,1.0,,2.0,,,,8.0,10,1.0,,1.0,1.0,,72,2026-03-08
Carlton,2026,19,Melbourne,4,L,32,9,3,6.0,15,1.0,,,1.0,4.0,4.0,,2.0,,,,4.0,9,,1.0,3.0,1.0,,78,2026-03-22
Carlton,2026,20,North Melbourne,5,L,32,11,6,4.0,15,,,,,5.0,1.0,1.0,1.0,,1.0,,6.0,10,1.0,,2.0,1.0,,75,2026-03-29
Carlton,2026,21,Adelaide,6,L,32,8,2,5.0,13,1.0,,,1.0,,3.0,,2.0,1.0,1.0,,7.0,5,1.0,1.0,3.0,,2.0,79,2026-04-05
Carlton,2026,22,Collingwood,7,L,32,13,6,4.0,17,2.0,1.0,,1.0,,5.0,,1.0,1.0,,,7.0,10,1.0,2.0,2.0,,,87,2026-04-12
Carlton,2026,23,Fremantle,8,L,32,12,5,9.0,21,1.0,,,,1.0,7.0,1.0,3.0,,1.0,,5.0,15,1.0,1.0,2.0,,,85,2026-04-19
Carlton,2026,24,St Kilda,9,L,32,9,5,3,12,1,,,,,4,,4,,2,,4,9,1,1,3,,,75,2026-04-26
