team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2021,1,Greater Western Sydney,2,W,27,8,3.0,4,12,,,,1.0,1.0,2.0,,3.0,1.0,1.0,,2,11,,1.0,3.0,,,88,2021-03-08
Fremantle,2021,2,Carlton,3,L,27,10,4.0,8,18,,,,6.0,5.0,,,3.0,,3.0,,9,9,1.0,,5.0,,,85,2021-03-15
Fremantle,2021,3,Hawthorn,4,W,27,7,4.0,11,18,1.0,,,2.0,2.0,1.0,,3.0,1.0,1.0,,7,12,1.0,1.0,3.0,,,84,2021-03-22
Fremantle,2021,4,Adelaide,5,W,27,8,6.0,7,15,,,,1.0,2.0,1.0,,1.0,1.0,,,4,11,1.0,,1.0,,,80,2021-03-29
Fremantle,2021,5,North Melbourne,6,W,27,9,7.0,2,11,,,,,5.0,,,2.0,,1.0,,1,10,,,2.0,,,81,2021-04-05
Fremantle,2021,6,West Coast,7,L,27,8,3.0,3,11,,,,,1.0,1.0,,3.0,,,,3,8,,,1.0,,,80,2021-04-12
Fremantle,2022,7,Adelaide,1,W,27,9,4.0,5,14,,,,2.0,3.0,2.0,,2.0,,2.0,,6,8,1.0,,3.0,,,85,2022-03-01
Fremantle,2022,8,St Kilda,2,L,27,7,6.0,6,13,,,,4.0,,1.0,1.0,2.0,,,,4,11,,,2.0,,1.0,73,2022-03-08
Fremantle,2022,9,West Coast,3,W,27,16,8.0,7,23,,,,,7.0,1.0,,2.0,1.0,1.0,,5,17,,,2.0,,,84,2022-03-15
Fremantle,2022,10,Greater Western Sydney,4,W,27,12,4.0,12,24,,,,2.0,4.0,3.0,1.0,1.0,3.0,,,12,13,,,4.0,,,86,2022-03-22
Fremantle,2022,11,Essendon,5,W,27,10,7.0,5,15,,,,2.0,1.0,,,5.0,,,,2,14,1.0,,2.0,,,82,2022-03-29
Fremantle,2022,12,North Melbourne,8,W,27,11,5.0,14,25,,,,3.0,3.0,3.0,,1.0,1.0,,,10,13,1.0,,7.0,,1.0,90,2022-04-19
Fremantle,2022,13,Gold Coast,9,L,27,8,3.0,10,18,,,,,1.0,3.0,,3.0,,1.0,,7,10,,,4.0,,,80,2022-04-26
Fremantle,2022,14,Collingwood,10,L,27,12,5.0,6,18,,,,1.0,4.0,1.0,,4.0,,2.0,,8,12,,,2.0,,,79,2022-05-03
Fremantle,2022,15,Melbourne,11,W,27,17,14.0,5,22,,,,,3.0,2.0,1.0,1.0,,1.0,,3,20,,,3.0,,,72,2022-05-10
Fremantle,2022,16,Sydney,18,L,27,11,7.0,8,19,,,,4.0,2.0,2.0,1.0,2.0,1.0,1.0,,9,11,2.0,,1.0,,1.0,77,2022-06-28
Fremantle,2022,17,Richmond,19,D,27,9,5.0,7,16,,,,1.0,5.0,,1.0,1.0,2.0,,,5,11,,,,1.0,,89,2022-07-05
Fremantle,2022,18,Melbourne,20,L,27,8,4.0,2,10,,,,2.0,1.0,2.0,,3.0,,,,2,8,,,2.0,,,79,2022-07-12
Fremantle,2022,19,Western Bulldogs,21,W,27,16,11.0,8,24,,,,1.0,5.0,1.0,,2.0,,2.0,,2,23,1.0,,1.0,,1.0,86,2022-07-19
