team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2016,1,Sydney,23,L,41,2.0,1.0,,2,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,2.0,,,75,2016-08-02
Richmond,2019,2,Adelaide,13,L,41,6.0,2.0,2.0,8,1.0,1.0,13.0,2.0,1.0,1.0,,2.0,,,,6.0,1.0,1.0,,6.0,,,70,2019-05-24
Richmond,2019,3,St Kilda,15,W,41,13.0,9.0,3.0,16,3.0,,7.0,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,8.0,10.0,2.0,1.0,4.0,,1.0,69,2019-06-07
Richmond,2019,4,Gold Coast,16,W,41,7.0,3.0,3.0,10,1.0,1.0,9.0,2.0,,3.0,3.0,2.0,1.0,1.0,,7.0,4.0,1.0,1.0,3.0,,,67,2019-06-14
Richmond,2019,5,Greater Western Sydney,17,W,41,6.0,1.0,4.0,10,1.0,1.0,8.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,4.0,6.0,,1.0,4.0,,1.0,48,2019-06-21
Richmond,2019,6,Port Adelaide,18,W,41,5.0,2.0,5.0,10,1.0,,7.0,5.0,,3.0,1.0,1.0,2.0,,,7.0,4.0,,,2.0,,1.0,59,2019-06-28
Richmond,2019,7,Collingwood,19,W,41,7.0,2.0,,7,1.0,1.0,6.0,1.0,,3.0,4.0,,,,,2.0,4.0,,2.0,5.0,,,65,2019-07-05
Richmond,2019,8,Melbourne,20,W,41,2.0,2.0,1.0,3,1.0,,6.0,3.0,1.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,62,2019-07-12
Richmond,2019,9,Carlton,21,W,41,1.0,,3.0,4,,,6.0,6.0,,1.0,,3.0,,1.0,,4.0,,,,,,,53,2019-07-19
Richmond,2019,10,West Coast,22,W,41,2.0,1.0,2.0,4,,1.0,10.0,5.0,,1.0,,2.0,1.0,2.0,,3.0,1.0,,1.0,6.0,,,49,2019-07-26
Richmond,2020,11,Melbourne,5,W,41,5.0,1.0,3.0,8,,,2.0,2.0,2.0,3.0,2.0,,,,,3.0,4.0,,,3.0,,1.0,66,2020-03-29
Richmond,2020,12,Sydney,6,W,41,6.0,2.0,1.0,7,,1.0,11.0,1.0,2.0,,4.0,1.0,,1.0,,4.0,3.0,1.0,1.0,2.0,,,49,2020-04-05
Richmond,2020,13,North Melbourne,7,W,41,7.0,4.0,2.0,9,2.0,,1.0,3.0,,1.0,,,,,,4.0,5.0,1.0,2.0,1.0,,,69,2020-04-12
Richmond,2020,14,Greater Western Sydney,8,L,41,,,4.0,4,,,7.0,2.0,,,1.0,1.0,,1.0,,4.0,1.0,,,1.0,,,57,2020-04-19
Richmond,2020,15,Western Bulldogs,9,W,41,5.0,1.0,2.0,7,1.0,1.0,8.0,,1.0,1.0,1.0,4.0,1.0,3.0,,8.0,,1.0,1.0,2.0,,2.0,70,2020-04-26
Richmond,2020,16,Brisbane Lions,10,W,41,3.0,1.0,2.0,5,,1.0,9.0,3.0,,1.0,,,1.0,,,3.0,3.0,,,2.0,,,65,2020-05-03
Richmond,2020,17,Port Adelaide,11,L,41,5.0,2.0,3.0,8,2.0,,7.0,,,2.0,1.0,1.0,1.0,1.0,,6.0,4.0,1.0,2.0,2.0,,1.0,57,2020-05-10
Richmond,2020,18,Gold Coast,12,W,41,2.0,1.0,1.0,3,1.0,,2.0,3.0,,,,,,,,2.0,2.0,,1.0,1.0,,,65,2020-05-17
Richmond,2020,19,Essendon,13,W,41,2.0,1.0,3.0,5,1.0,,8.0,1.0,,1.0,,1.0,,,,2.0,3.0,,,,,,65,2020-05-24
Richmond,2020,20,Adelaide,18,W,41,3.0,1.0,,3,1.0,,2.0,2.0,,1.0,,1.0,,1.0,,2.0,1.0,,1.0,4.0,,,77,2020-06-28
Richmond,2020,21,Brisbane Lions,QF,L,41,1.0,1.0,6.0,7,,,9.0,,1.0,,2.0,,,,,5.0,2.0,,,3.0,,,69,2020-03-01
Richmond,2021,22,Adelaide,11,W,41,6.0,2.0,1.0,7,2.0,1.0,9.0,3.0,,2.0,,2.0,2.0,,,3.0,5.0,,2.0,4.0,,,66,2021-05-10
Richmond,2021,23,Essendon,12,W,41,13.0,6.0,6.0,19,,1.0,19.0,2.0,,6.0,1.0,2.0,,,,10.0,10.0,2.0,,2.0,,1.0,81,2021-05-17
Richmond,2021,24,West Coast,13,L,41,4.0,2.0,3.0,7,,,14.0,7.0,,2.0,4.0,4.0,1.0,3.0,,4.0,3.0,,,5.0,,,78,2021-05-24
Richmond,2021,25,St Kilda,15,L,41,5.0,2.0,6.0,11,,,12.0,3.0,,1.0,1.0,3.0,1.0,1.0,,7.0,4.0,1.0,,5.0,,,66,2021-06-07
Richmond,2021,26,Gold Coast,16,L,41,7.0,5.0,7.0,14,,1.0,25.0,2.0,1.0,,2.0,3.0,,2.0,,8.0,7.0,3.0,1.0,4.0,,,70,2021-06-14
Richmond,2021,27,Collingwood,17,L,41,2.0,1.0,9.0,11,,,17.0,2.0,2.0,,3.0,,,,,6.0,5.0,,,2.0,,,76,2021-06-21
Richmond,2021,28,Brisbane Lions,18,W,41,8.0,4.0,2.0,10,4.0,,12.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,,,56,2021-06-28
Richmond,2021,29,Geelong,19,L,41,3.0,1.0,3.0,6,,,5.0,1.0,1.0,2.0,5.0,1.0,2.0,,,5.0,1.0,,,1.0,,,60,2021-07-05
Richmond,2021,30,Fremantle,20,L,41,6.0,4.0,2.0,8,,,6.0,1.0,2.0,1.0,,4.0,1.0,1.0,,2.0,8.0,1.0,,2.0,,,55,2021-07-12
Richmond,2021,31,Hawthorn,23,D,41,5.0,4.0,2.0,7,1.0,1.0,4.0,3.0,,1.0,1.0,,,,,3.0,3.0,1.0,2.0,,,,50,2021-08-02
Gold Coast,2022,32,West Coast,1,W,1,6.0,1.0,2.0,8,2.0,,7.0,2.0,,1.0,,4.0,,2.0,,3.0,3.0,,,1.0,,,83,2022-03-01
Gold Coast,2022,33,Melbourne,2,L,1,8.0,3.0,,8,1.0,2.0,11.0,3.0,2.0,3.0,,4.0,2.0,1.0,,6.0,2.0,1.0,1.0,,,1.0,78,2022-03-08
Gold Coast,2022,34,Greater Western Sydney,3,L,1,6.0,2.0,4.0,10,3.0,1.0,10.0,,,1.0,3.0,5.0,5.0,2.0,,8.0,3.0,1.0,1.0,2.0,,,68,2022-03-15
Gold Coast,2022,35,Carlton,4,W,1,7.0,4.0,2.0,9,3.0,2.0,10.0,1.0,,,1.0,1.0,,1.0,,8.0,1.0,3.0,3.0,1.0,,,77,2022-03-22
Gold Coast,2022,36↓,St Kilda,5,L,1,3.0,1.0,1.0,4,1.0,,4.0,1.0,,1.0,2.0,1.0,,1.0,,4.0,2.0,1.0,,3.0,,1.0,60,2022-03-29
Gold Coast,2022,37,Brisbane Lions,6,L,1,5.0,2.0,,5,1.0,,7.0,,,2.0,1.0,3.0,,2.0,,3.0,2.0,,,2.0,,1.0,83,2022-04-05
Gold Coast,2022,38,Collingwood,7,L,1,6.0,5.0,5.0,11,3.0,,6.0,4.0,,2.0,2.0,2.0,2.0,,,6.0,5.0,1.0,1.0,2.0,1.0,2.0,77,2022-04-12
Gold Coast,2022,39,Sydney,8,W,1,3.0,,3.0,6,1.0,1.0,4.0,,,,,2.0,1.0,2.0,,7.0,1.0,,,5.0,,1.0,90,2022-04-19
Gold Coast,2022,40,Fremantle,9,W,1,8.0,4.0,2.0,10,4.0,2.0,2.0,4.0,,,,,,,3.0,8.0,3.0,4.0,2.0,3.0,,,83,2022-04-26
Gold Coast,2022,41,Western Bulldogs,10,L,1,6.0,4.0,3.0,9,1.0,2.0,2.0,1.0,,1.0,1.0,3.0,1.0,1.0,,6.0,3.0,3.0,2.0,1.0,,,87,2022-05-03
Gold Coast,2022,42,Hawthorn,11,W,1,8.0,4.0,1.0,9,3.0,,5.0,3.0,,3.0,,2.0,4.0,2.0,,7.0,2.0,2.0,2.0,1.0,,,73,2022-05-10
Gold Coast,2022,43,North Melbourne,12,W,1,4.0,1.0,2.0,6,1.0,1.0,2.0,,,,2.0,1.0,,1.0,,4.0,1.0,,1.0,4.0,,,78,2022-05-17
Gold Coast,2022,44,Adelaide,14,W,1,8.0,4.0,3.0,11,3.0,,2.0,1.0,,3.0,2.0,4.0,2.0,2.0,,9.0,1.0,3.0,2.0,2.0,,,75,2022-05-31
