team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2023,1↑,Richmond,9,L,13,4.0,,2,6,,,,5.0,2.0,1.0,1.0,3.0,,,,3.0,3.0,,,,,,25,2023-04-26
Geelong,2024,2,St Kilda,2,W,13,7.0,,6,13,,,,1.0,2.0,4.0,2.0,7.0,1.0,2.0,,4.0,8.0,,,1.0,,,59,2024-03-08
Geelong,2024,3,Adelaide,3,W,13,7.0,2.0,6,13,,,,3.0,2.0,2.0,4.0,3.0,,2.0,,9.0,5.0,,,1.0,,,69,2024-03-15
Geelong,2024,4,Hawthorn,4,W,13,10.0,2.0,5,15,,,,7.0,3.0,4.0,4.0,2.0,2.0,,,8.0,7.0,,,1.0,1.0,1.0,70,2024-03-22
Geelong,2024,5↓,Western Bulldogs,5,W,13,4.0,1.0,9,13,,,,2.0,,1.0,1.0,3.0,,2.0,,1.0,13.0,,,,,,57,2024-03-29
Geelong,2024,6↑,North Melbourne,6,W,13,,,1,1,,,,,,1.0,,,,,,1.0,,,,,,,23,2024-04-05
Geelong,2024,7↑,Brisbane Lions,7,W,13,4.0,1.0,1,5,,,,2.0,,,,2.0,,,,1.0,3.0,,,,,,35,2024-04-12
Geelong,2024,8,Melbourne,9,L,13,8.0,2.0,6,14,1.0,,,3.0,1.0,4.0,4.0,3.0,2.0,,,10.0,5.0,,,3.0,,,67,2024-04-26
Geelong,2024,9,Port Adelaide,10,L,13,8.0,,3,11,,1.0,,4.0,,2.0,1.0,4.0,,1.0,,1.0,8.0,,,1.0,,,58,2024-05-03
Geelong,2024,10↑,Gold Coast,11,L,13,4.0,,1,5,1.0,,,3.0,,2.0,,1.0,,,,,4.0,,,,,,31,2024-05-10
Geelong,2024,11,Greater Western Sydney,12,L,13,8.0,3.0,7,15,,,,4.0,,2.0,2.0,1.0,1.0,1.0,,5.0,10.0,,,,,2.0,64,2024-05-17
Geelong,2024,12,Sydney,14,L,13,10.0,1.0,6,16,,,,4.0,,3.0,1.0,1.0,,,,6.0,9.0,,,,,1.0,58,2024-05-31
Geelong,2024,13,Carlton,16,L,13,11.0,1.0,9,20,,,,2.0,,2.0,5.0,8.0,2.0,1.0,,7.0,11.0,,,1.0,,,66,2024-06-14
Geelong,2024,14,Essendon,17,W,13,3.0,1.0,5,8,,,,3.0,1.0,1.0,2.0,2.0,,1.0,,6.0,4.0,,,1.0,,,70,2024-06-21
Geelong,2024,15,Hawthorn,18,W,13,8.0,4.0,10,18,,,,4.0,1.0,2.0,2.0,4.0,,1.0,,6.0,12.0,,,,,,60,2024-06-28
Geelong,2024,16,Collingwood,19,W,13,13.0,8.0,3,16,,,,1.0,1.0,5.0,1.0,2.0,,,,2.0,13.0,,,1.0,,,55,2024-07-05
Geelong,2025,17↑,Fremantle,2,W,13,2.0,,3,5,,,,2.0,,2.0,2.0,,,,,4.0,1.0,,,,,,14,2025-03-08
Geelong,2025,18,St Kilda,3,L,13,12,1,2,14,,2,,3,,6,2,2,2,,,5,8,,,,,,66,2025-03-15
Geelong,2025,19,Brisbane Lions,4,L,13,7,3,5,12,1,,,4,,1,2,5,,,,4,8,,1,1,,,65,2025-03-22
