team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2025,1,Richmond,12,W,36,14,8,2,16,3.0,1.0,,3.0,,6.0,,2,,1.0,,3.0,14,2.0,3.0,1.0,,,84,2025-05-17
Essendon,2025,2,Brisbane Lions,13,L,36,5,3,6,11,,,,3.0,3.0,2.0,1.0,2,,2.0,,4.0,8,,,,,1.0,79,2025-05-24
Essendon,2025,3,Carlton,14,L,36,10,5,4,14,,1.0,,1.0,,,1.0,1,,,,5.0,9,1.0,1.0,3.0,,,85,2025-05-31
Essendon,2025,4,Geelong,15,L,36,8,4,2,10,,,,,3.0,1.0,,1,,,,,10,,,2.0,,,80,2025-06-07
Essendon,2025,5,Fremantle,16,L,36,11,4,10,21,,,,,3.0,,,2,1.0,,,7.0,14,,,2.0,,,86,2025-06-14
Essendon,2025,6,Gold Coast,18,L,36,10,5,3,13,1.0,1.0,,2.0,4.0,1.0,1.0,4,2.0,1.0,,5.0,9,1.0,2.0,1.0,,,78,2025-06-28
Essendon,2025,7,Richmond,19,L,36,2,4,4,6,,,,1.0,,,1.0,2,,,,3.0,3,1.0,,1.0,,,96,2025-07-05
Essendon,2025,8,Greater Western Sydney,20,L,36,10,3,7,17,,1.0,,1.0,4.0,4.0,,3,2.0,2.0,,6.0,11,,1.0,1.0,1.0,,88,2025-07-12
Essendon,2025,9,Western Bulldogs,21,L,36,7,2,2,9,,1.0,,3.0,,2.0,,2,1.0,1.0,,2.0,7,,,,1.0,,87,2025-07-19
Essendon,2025,10,Sydney,22,L,36,6,1,5,11,1.0,,,,3.0,,,2,1.0,,,3.0,7,,,,,,88,2025-07-26
Essendon,2025,11,Geelong,23,L,36,10,7,7,17,,,,1.0,2.0,2.0,,4,,1.0,,1.0,16,,,1.0,,,86,2025-08-02
Essendon,2025,12,St Kilda,24,L,36,15,10,3,18,,,,4,2,3,,3,1,,,2,16,,,1,,,87,2025-08-09
