team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2022,1,Collingwood,9,W,36,9.0,7.0,4.0,13.0,,,,2.0,,1.0,,1.0,,,,3.0,11.0,,,,,,81.0,2022-04-26
Western Bulldogs,2022,2,Gold Coast,10,W,36,8.0,6.0,8.0,16.0,,,,1.0,3.0,1.0,,1.0,,,,6.0,12.0,1.0,,4.0,,,73.0,2022-05-03
Western Bulldogs,2022,3,West Coast,11,W,36,,,,,,,,,,,,,,,,,,,,,,,,2022-05-10
Western Bulldogs,2022,4,St Kilda,18,W,36,,,,,,,,,,,,,,,,,,,,,,,,2022-06-28
Western Bulldogs,2023,5,Greater Western Sydney,20,L,36,5.0,2.0,3.0,8.0,,,,1.0,4.0,,1.0,,,,,2.0,7.0,,,6.0,,,76.0,2023-07-12
Western Bulldogs,2024,6↑,Richmond,10,W,36,8.0,6.0,4.0,12.0,,,,,3.0,,1.0,1.0,,,,3.0,9.0,,,1.0,2.0,,48.0,2024-05-03
Western Bulldogs,2024,7,Greater Western Sydney,11,W,36,6.0,3.0,4.0,10.0,,,,1.0,2.0,,,2.0,,1.0,,4.0,6.0,,,1.0,,,81.0,2024-05-10
Western Bulldogs,2025,8,North Melbourne,2,W,36,4.0,5.0,4.0,8.0,,,,,4.0,1.0,,2.0,1.0,1.0,,1.0,9.0,,,,,,73.0,2025-03-08
Western Bulldogs,2025,9,Brisbane Lions,6,L,36,7.0,3.0,5.0,12.0,,1.0,,2.0,2.0,1.0,,2.0,1.0,1.0,,4.0,9.0,,,7.0,,1.0,84.0,2025-04-05
Western Bulldogs,2025,10,St Kilda,7,W,36,11.0,7.0,5.0,16.0,,1.0,,2.0,1.0,,,,2.0,,,4.0,12.0,,,,,,85.0,2025-04-12
Western Bulldogs,2025,11,Greater Western Sydney,8,W,36,6.0,5.0,5.0,11.0,,,,1.0,3.0,1.0,,1.0,,1.0,,2.0,8.0,,,,,1.0,82.0,2025-04-19
Western Bulldogs,2025,12,Port Adelaide,9,W,36,7.0,4.0,6.0,13.0,1.0,,,,1.0,,,1.0,,1.0,,6.0,7.0,,,3.0,,,81.0,2025-04-26
Western Bulldogs,2025,13,Gold Coast,10,L,36,7.0,3.0,8.0,15.0,,,,2.0,3.0,,,3.0,2.0,,,3.0,12.0,,,3.0,,,78.0,2025-05-03
Western Bulldogs,2025,14,Essendon,11,W,36,9.0,5.0,9.0,18.0,,,,,1.0,,2.0,1.0,,1.0,,4.0,14.0,,,2.0,,,83.0,2025-05-10
Western Bulldogs,2025,15↓,Geelong,12,L,36,8.0,6.0,2.0,10.0,,1.0,,1.0,5.0,1.0,1.0,4.0,,2.0,,2.0,10.0,,,2.0,,,51.0,2025-05-17
Western Bulldogs,2025,16,Hawthorn,14,L,36,8.0,1.0,2.0,10.0,,,,3.0,5.0,,1.0,2.0,1.0,2.0,,3.0,9.0,,,4.0,,,80.0,2025-05-31
Western Bulldogs,2025,17,St Kilda,15,W,36,6.0,4.0,5.0,11.0,,,,1.0,3.0,1.0,,2.0,,,,3.0,8.0,1.0,,5.0,,,83.0,2025-06-07
Western Bulldogs,2025,18,Brisbane Lions,20,L,36,10.0,3.0,6.0,16.0,,,,4.0,6.0,,1.0,,1.0,,,4.0,11.0,,,3.0,,,72.0,2025-07-12
Western Bulldogs,2025,19,Essendon,21,W,36,6.0,6.0,11.0,17.0,,,,4.0,4.0,,1.0,2.0,,1.0,,6.0,12.0,,,,1.0,,85.0,2025-07-19
Western Bulldogs,2025,20,Greater Western Sydney,22,W,36,8,2,5,13,,,,2,2,1,,4,1,3,,4,9,,,3,,,87,2025-07-26
