team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2018,1,Adelaide,3,L,33,12.0,6.0,6.0,18,1.0,,,,,1.0,,1.0,1.0,,,3.0,16,,1.0,1.0,,,69,2018-03-15
St Kilda,2018,2,Geelong,4,L,33,7.0,4.0,10.0,17,,,,4.0,5.0,,,2.0,,,,8.0,9,,,1.0,,,90,2018-03-22
St Kilda,2018,3,Greater Western Sydney,5,D,33,12.0,11.0,6.0,18,,,,1.0,1.0,4.0,,4.0,,2.0,,2.0,17,,,2.0,,,82,2018-03-29
St Kilda,2018,4,Hawthorn,6,L,33,4.0,2.0,3.0,7,,,,,,,,3.0,,1.0,,2.0,6,,,2.0,,,66,2018-04-05
St Kilda,2018,5,Melbourne,7,L,33,10.0,4.0,11.0,21,,,,3.0,4.0,1.0,,2.0,,2.0,,3.0,15,,,2.0,,,83,2018-04-12
St Kilda,2018,6,Fremantle,8,L,33,10.0,2.0,6.0,16,,,,3.0,3.0,,1.0,1.0,1.0,,,2.0,13,,,,,,83,2018-04-19
St Kilda,2018,7,Collingwood,9,L,33,7.0,4.0,5.0,12,,,,1.0,2.0,1.0,,,,,,1.0,12,,,3.0,,,81,2018-04-26
St Kilda,2018,8,Sydney,12,L,33,8.0,5.0,7.0,15,,,,1.0,1.0,,,1.0,,1.0,,4.0,10,,,1.0,,,84,2018-05-17
St Kilda,2018,9,Greater Western Sydney,19,L,33,9.0,5.0,5.0,14,,,,1.0,3.0,2.0,,,,,,3.0,12,1.0,,2.0,,,66,2018-07-05
St Kilda,2018,10,Western Bulldogs,20,L,33,7.0,3.0,3.0,10,,,,,1.0,2.0,,3.0,1.0,1.0,,4.0,6,1.0,,,,,74,2018-07-12
St Kilda,2019,11,Port Adelaide,11,L,1,7.0,3.0,3.0,10,,,,,2.0,,,,,,,1.0,8,,,1.0,,,83,2019-05-10
St Kilda,2019,12,Richmond,15,L,1,10.0,9.0,6.0,16,,,,1.0,2.0,1.0,,,,,,4.0,12,1.0,,2.0,,,76,2019-06-07
St Kilda,2019,13,North Melbourne,16,L,1,9.0,3.0,4.0,13,,,,,4.0,1.0,,6.0,,3.0,,2.0,9,,,3.0,,,87,2019-06-14
St Kilda,2019,14,Geelong,17,L,1,10.0,5.0,5.0,15,,,,3.0,5.0,1.0,,1.0,1.0,1.0,,10.0,7,2.0,,2.0,,,87,2019-06-21
St Kilda,2019,15,Western Bulldogs,18,W,1,12.0,8.0,9.0,21,,,,1.0,3.0,1.0,,1.0,,,,6.0,15,,,5.0,,,91,2019-06-28
St Kilda,2019,16,Melbourne,19,W,1,13.0,9.0,5.0,18,,,,2.0,4.0,,1.0,2.0,,,,5.0,12,1.0,,,,,85,2019-07-05
St Kilda,2019,17,Adelaide,20,L,1,14.0,6.0,4.0,18,,,,1.0,3.0,3.0,,2.0,,1.0,,4.0,12,1.0,,1.0,,,83,2019-07-12
St Kilda,2019,18,Fremantle,21,W,1,5.0,3.0,3.0,8,,,,1.0,,,,2.0,1.0,1.0,,2.0,6,,,1.0,,,22,2019-07-19
St Kilda,2020,19,Western Bulldogs,2,W,1,6.0,3.0,6.0,12,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,3.0,8,,,1.0,,,87,2020-03-08
St Kilda,2020,20,Collingwood,3,L,1,10.0,8.0,5.0,15,,,,2.0,2.0,1.0,,2.0,1.0,,,5.0,11,,,2.0,,,86,2020-03-15
St Kilda,2020,21,Richmond,4,W,1,10.0,5.0,6.0,16,,,,1.0,1.0,,3.0,1.0,,,,7.0,9,,,2.0,,,75,2020-03-22
St Kilda,2020,22,Carlton,5,W,1,12.0,9.0,7.0,19,,,,1.0,4.0,3.0,,2.0,,,,2.0,15,,,2.0,,,86,2020-03-29
St Kilda,2020,23,Fremantle,6,L,1,5.0,6.0,7.0,12,,,,1.0,1.0,,,3.0,,2.0,,4.0,8,,,1.0,,,88,2020-04-05
St Kilda,2020,24,Adelaide,7,W,1,13.0,7.0,4.0,17,,,,,4.0,1.0,1.0,2.0,1.0,1.0,,6.0,12,1.0,,2.0,,,87,2020-04-12
St Kilda,2020,25,Port Adelaide,8,W,1,6.0,4.0,1.0,7,,,,1.0,,,,1.0,,1.0,,2.0,5,,,1.0,,,75,2020-04-19
St Kilda,2020,26,Sydney,9,W,1,8.0,8.0,9.0,17,,,,,3.0,2.0,1.0,1.0,,,,6.0,13,1.0,,4.0,,,84,2020-04-26
St Kilda,2020,27,Gold Coast,10,W,1,12.0,5.0,2.0,14,,,,2.0,6.0,2.0,,,,,,2.0,12,,,2.0,,,91,2020-05-03
