team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2019,1,Essendon,10,W,40,6.0,3.0,7,13,,1.0,10,5.0,,2.0,1.0,5.0,,2.0,,7,7.0,,2.0,3.0,,,63,2019-05-03
Richmond,2021,2,Adelaide,11,W,40,5.0,5.0,5,10,4.0,,2,3.0,,1.0,,1.0,1.0,1.0,1.0,8,2.0,4.0,3.0,,,1.0,76,2021-05-10
Richmond,2021,3,Essendon,12,W,40,3.0,2.0,8,11,2.0,1.0,10,3.0,2.0,,1.0,,3.0,,,10,2.0,1.0,2.0,2.0,,,82,2021-05-17
Richmond,2021,4,West Coast,13,L,40,9.0,7.0,4,13,2.0,1.0,2,,1.0,1.0,,1.0,1.0,1.0,,7,6.0,3.0,2.0,2.0,,,87,2021-05-24
Richmond,2021,5,St Kilda,15,L,40,4.0,5.0,8,12,,1.0,8,1.0,,1.0,1.0,,,,,2,10.0,,2.0,5.0,,,89,2021-06-07
Richmond,2021,6↓,Gold Coast,16,L,40,,,1,1,,,7,,,,,3.0,,2.0,,2,,,,2.0,,,30,2021-06-14
Richmond,2021,7,North Melbourne,21,W,40,8.0,3.0,6,14,2.0,,4,2.0,,,,4.0,2.0,,,4,10.0,,,1.0,,,72,2021-07-19
Richmond,2021,8,Greater Western Sydney,22,L,40,5.0,5.0,9,14,1.0,1.0,16,,,1.0,1.0,3.0,,1.0,,7,8.0,1.0,1.0,2.0,,,67,2021-07-26
Richmond,2021,9,Hawthorn,23,D,40,4.0,3.0,5,9,,,12,4.0,1.0,2.0,2.0,3.0,,3.0,,7,4.0,2.0,,2.0,,,68,2021-08-02
North Melbourne,2022,10,Hawthorn,1,L,21,1.0,1.0,3,4,,,2,2.0,,,,2.0,2.0,1.0,,2,3.0,,,,,1.0,73,2022-03-01
North Melbourne,2022,11,Carlton,7,L,21,10.0,4.0,2,12,1.0,,20,1.0,,2.0,2.0,2.0,2.0,,,11,1.0,4.0,,3.0,,,63,2022-04-12
North Melbourne,2022,12,Fremantle,8,L,21,7.0,3.0,2,9,1.0,,10,1.0,,1.0,2.0,1.0,1.0,,,7,2.0,2.0,,2.0,,,66,2022-04-19
North Melbourne,2022,13,Port Adelaide,9,L,21,6.0,3.0,5,11,,,6,1.0,2.0,1.0,,6.0,,4.0,,3,10.0,1.0,,2.0,,,64,2022-04-26
North Melbourne,2022,14,Collingwood,17,L,21,4.0,2.0,4,8,,,12,2.0,,2.0,1.0,2.0,,2.0,,2,6.0,,,3.0,,1.0,71,2022-06-21
North Melbourne,2022,15,Richmond,18,W,21,7.0,5.0,11,18,,1.0,7,5.0,,3.0,4.0,3.0,4.0,1.0,,10,7.0,1.0,1.0,2.0,,1.0,87,2022-06-28
North Melbourne,2022,16,Hawthorn,19,L,21,4.0,2.0,9,13,,2.0,17,,1.0,,1.0,3.0,,3.0,,7,7.0,,2.0,,,1.0,83,2022-07-05
North Melbourne,2022,17,Essendon,20,L,21,7.0,5.0,8,15,1.0,,4,,,4.0,,5.0,,1.0,,4,11.0,,,,,,68,2022-07-12
North Melbourne,2022,18,Sydney,21,L,21,7.0,2.0,3,10,1.0,,12,2.0,,3.0,2.0,3.0,1.0,1.0,,5,4.0,1.0,1.0,2.0,,,63,2022-07-19
North Melbourne,2022,19,Adelaide,22,L,21,5.0,1.0,6,11,1.0,1.0,11,3.0,,1.0,2.0,6.0,3.0,4.0,,8,3.0,,1.0,3.0,,,79,2022-07-26
North Melbourne,2023,20,Melbourne,7,L,21,2.0,1.0,1,3,,,5,2.0,,2.0,1.0,3.0,1.0,2.0,,1,2.0,,,,,,43,2023-04-12
North Melbourne,2023,21,Sydney,10,L,21,11.0,7.0,5,16,2.0,,8,5.0,,1.0,1.0,3.0,1.0,,,7,10.0,2.0,1.0,1.0,,2.0,90,2023-05-03
North Melbourne,2023,22,Collingwood,11,L,21,4.0,2.0,6,10,,,4,1.0,,1.0,2.0,6.0,,,,5,6.0,1.0,,1.0,,1.0,85,2023-05-10
North Melbourne,2023,23,Essendon,12,L,21,8.0,6.0,3,11,2.0,1.0,4,1.0,,1.0,2.0,4.0,,1.0,,8,3.0,3.0,3.0,2.0,,,78,2023-05-17
North Melbourne,2023,24,Greater Western Sydney,13,L,21,5.0,5.0,8,13,,2.0,8,4.0,1.0,2.0,1.0,5.0,,1.0,,6,7.0,2.0,3.0,2.0,,1.0,82,2023-05-24
North Melbourne,2023,25,Western Bulldogs,14,L,21,2.0,2.0,4,6,,,9,3.0,1.0,,,1.0,,1.0,,3,3.0,2.0,1.0,3.0,,,61,2023-05-31
