team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2024,1↑,Geelong,2,L,4,,,,,,,,,,,,,1.0,,,1,,,,,,,31,2024-03-08
St Kilda,2024,2,Fremantle,11,L,4,3.0,1.0,1.0,4.0,,,,1.0,,,,3.0,,1.0,,2,2.0,,,,,,41,2024-05-10
St Kilda,2024,3↓,Melbourne,12,L,4,2.0,1.0,1.0,3.0,,,,,,,,2.0,,1.0,,2,1.0,,,,,,38,2024-05-17
St Kilda,2025,4,Geelong,3,W,4,3.0,,3.0,6.0,2.0,,,3.0,,3.0,,3.0,,2.0,,3,3.0,,,1.0,,,67,2025-03-15
St Kilda,2025,5,Richmond,4,W,4,7.0,3.0,5.0,12.0,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,3,9.0,,2.0,1.0,1.0,2.0,63,2025-03-22
St Kilda,2025,6,Port Adelaide,5,W,4,8.0,1.0,1.0,9.0,1.0,2.0,,5.0,,4.0,,2.0,1.0,1.0,,6,3.0,1.0,1.0,,,2.0,66,2025-03-29
St Kilda,2025,7↓,Greater Western Sydney,6,L,4,1,1,2,3,,,,,,,,1,,,,2,2,,1,1,,,36,2025-04-05
St Kilda,2025,8,Western Bulldogs,7,L,4,3,,5,8,,,,,,1,,1,,,,3,6,,,,1,,74,2025-04-12
St Kilda,2025,9,Brisbane Lions,8,L,4,5,1,1,6,,,,2,,2,,1,,,,4,2,,,,,1,74,2025-04-19
St Kilda,2025,10,Fremantle,9,W,4,4,1,2,6,1,1,,3,,2,1,4,,2,,4,3,,,1,,,60,2025-04-26
St Kilda,2025,11↑,Carlton,10,L,4,,,,,,,,,,,,,,,,,,,,,,,13,2025-05-03
St Kilda,2025,12,West Coast,11,L,4,3,4,3,6,,,,,,1,,1,,,,1,5,,1,,,,54,2025-05-10
