team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2016,1,St Kilda,10,L,40,8,7,4.0,12,,,,1.0,,,,2.0,1.0,,,4,8,1.0,,5,,,97,2016-05-03
Fremantle,2016,2,Essendon,11,W,40,14,11,10.0,24,,,,1.0,2.0,2.0,,1.0,1.0,1.0,,10,14,2.0,,9,,,92,2016-05-10
Fremantle,2016,3,Brisbane Lions,12,W,40,5,5,3.0,8,,,,2.0,2.0,,,1.0,,,,2,6,,,6,,,97,2016-05-17
Fremantle,2016,4,Port Adelaide,13,W,40,5,2,5.0,10,,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,4,6,,,7,,,88,2016-05-24
Fremantle,2016,5,Collingwood,14,L,40,8,6,10.0,18,,,,4.0,2.0,1.0,,,3.0,,,8,10,2.0,,8,,,90,2016-05-31
Fremantle,2016,6,Melbourne,16,L,40,3,2,4.0,7,,,1.0,5.0,2.0,,,2.0,,1.0,,3,3,,,14,,1.0,92,2016-06-14
Fremantle,2016,7,Geelong,17,L,40,9,4,2.0,11,,,,5.0,1.0,,,3.0,,1.0,,4,7,,,5,,,97,2016-06-21
Fremantle,2016,8,Gold Coast,18,L,40,10,6,10.0,20,,,4.0,1.0,5.0,,1.0,3.0,1.0,,,6,15,,,7,,,89,2016-06-28
Fremantle,2016,9,Sydney,19,L,40,4,3,5.0,9,,,3.0,6.0,2.0,,,1.0,1.0,,,2,7,,,7,,,73,2016-07-05
Fremantle,2016,10,West Coast,20,L,40,7,5,3.0,10,,,,1.0,1.0,,1.0,1.0,,1.0,,4,6,1.0,,6,,,89,2016-07-12
Fremantle,2016,11,Adelaide,21,L,40,9,5,6.0,15,,,,,2.0,1.0,,2.0,,,,7,7,,,7,,,88,2016-07-19
Fremantle,2016,12,Greater Western Sydney,22,L,40,7,6,6.0,13,,,,1.0,4.0,,1.0,2.0,,1.0,,7,6,3.0,,10,,,94,2016-07-26
Fremantle,2017,13,Brisbane Lions,12,L,40,4,4,7.0,11,,,1.0,6.0,3.0,,1.0,3.0,,2.0,,7,4,,,6,,,88,2017-05-17
Fremantle,2017,14,Essendon,23,L,40,3,2,7.0,10,,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,9,2,1.0,1.0,5,,,79,2017-08-02
Gold Coast,2019,15,St Kilda,1,L,25,4,3,1.0,5,,,,1.0,1.0,1.0,,3.0,,2.0,,3,1,2.0,,3,,,90,2019-03-01
Gold Coast,2019,16,Fremantle,2,W,25,9,8,9.0,18,,,,3.0,4.0,1.0,,4.0,1.0,2.0,,8,9,2.0,,7,,,96,2019-03-08
Gold Coast,2019,17,Western Bulldogs,3,W,25,5,6,6.0,11,,,,1.0,2.0,1.0,,2.0,1.0,1.0,,11,3,4.0,,5,,,100,2019-03-15
Gold Coast,2019,18,Carlton,4,W,25,8,5,4.0,12,,,,2.0,3.0,,,2.0,2.0,,,6,6,2.0,,11,,,98,2019-03-22
Gold Coast,2019,19,Adelaide,5,L,25,10,5,1.0,11,,,,2.0,2.0,,,3.0,2.0,,,5,6,2.0,,7,,,97,2019-03-29
Gold Coast,2019,20,Brisbane Lions,6,L,25,6,4,7.0,13,,,,1.0,4.0,,,2.0,,1.0,,7,6,,,9,,,98,2019-04-05
Gold Coast,2019,21,West Coast,7,L,25,8,5,5.0,13,,,,1.0,2.0,,,3.0,,1.0,,4,8,,,5,,,96,2019-04-12
Gold Coast,2019,22,Melbourne,8,L,25,11,6,6.0,17,,,,1.0,9.0,1.0,,4.0,,2.0,,9,7,2.0,,6,,,100,2019-04-19
Gold Coast,2019,23,Port Adelaide,9,L,25,4,1,5.0,9,,,,,3.0,,,2.0,2.0,1.0,,6,3,1.0,,3,,,95,2019-04-26
Gold Coast,2020,24,Port Adelaide,1,L,25,11,6,4.0,15,,,,,4.0,,,3.0,2.0,1.0,,9,4,3.0,,4,,,96,2020-03-01
Gold Coast,2020,25,West Coast,2,W,25,5,3,2.0,7,,,,,1.0,1.0,,1.0,,1.0,,2,5,,,9,,,100,2020-03-08
Gold Coast,2020,26,Adelaide,3,W,25,5,6,5.0,10,,,,2.0,2.0,,,,2.0,,,4,6,1.0,,6,,,98,2020-03-15
Gold Coast,2020,27,Fremantle,4,W,25,6,6,1.0,7,,,,1.0,3.0,,,1.0,,,,3,4,2.0,,8,,,100,2020-03-22
Gold Coast,2020,28,Geelong,5,L,25,7,5,1.0,8,,,,2.0,5.0,,,,,,,3,6,2.0,,6,,,100,2020-03-29
Gold Coast,2020,29,Melbourne,6,L,25,8,7,7.0,15,,,,1.0,3.0,1.0,,2.0,1.0,1.0,,8,8,1.0,,6,,,100,2020-04-05
Gold Coast,2020,30,Sydney,7,W,25,6,3,2.0,8,,,,5.0,4.0,2.0,,,2.0,,,4,4,1.0,,4,,1.0,100,2020-04-12
Gold Coast,2020,31,Western Bulldogs,8,L,25,11,4,6.0,17,,,,1.0,1.0,2.0,,1.0,2.0,,,12,4,1.0,,10,,,97,2020-04-19
Gold Coast,2020,32,Greater Western Sydney,9,L,25,6,5,5.0,11,,,,7.0,2.0,,1.0,,1.0,,,4,6,1.0,,6,,,96,2020-04-26
Gold Coast,2020,33,St Kilda,10,L,25,7,3,7.0,14,,,,3.0,3.0,,,1.0,3.0,,,7,6,1.0,,4,,,100,2020-05-03
