team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2012,1,Sydney,1,L,3,6.0,3.0,11.0,17.0,,,,1.0,3.0,1.0,3.0,1.0,,,,7.0,11.0,1.0,,,,,81,2012-03-01
Greater Western Sydney,2012,2,North Melbourne,2,L,3,9.0,3.0,9.0,18.0,,,,2.0,2.0,4.0,4.0,3.0,1.0,1.0,,6.0,12.0,,,,,1.0,80,2012-03-08
Greater Western Sydney,2012,3,West Coast,3,L,3,9.0,5.0,13.0,22.0,,1.0,,2.0,1.0,1.0,2.0,4.0,2.0,2.0,,7.0,15.0,,1.0,,,1.0,81,2012-03-15
Greater Western Sydney,2012,4↓,Western Bulldogs,5,L,3,5.0,1.0,11.0,16.0,,1.0,1.0,1.0,,2.0,3.0,2.0,,,,7.0,9.0,,,1.0,2.0,,49,2012-03-29
Greater Western Sydney,2012,5,Carlton,6,L,3,12.0,6.0,11.0,23.0,,1.0,,5.0,4.0,2.0,3.0,1.0,,,,5.0,18.0,,1.0,,1.0,,83,2012-04-05
Greater Western Sydney,2012,6,Gold Coast,7,W,3,18.0,6.0,13.0,31.0,1.0,,,1.0,2.0,5.0,3.0,3.0,,,,9.0,22.0,,,,2.0,1.0,78,2012-04-12
Greater Western Sydney,2012,7,Brisbane Lions,8,L,3,8.0,4.0,11.0,19.0,,,,4.0,2.0,4.0,3.0,2.0,2.0,,,9.0,11.0,,,,3.0,1.0,77,2012-04-19
Greater Western Sydney,2012,8,Essendon,9,L,3,8.0,4.0,5.0,13.0,,,,4.0,,4.0,1.0,4.0,,3.0,,3.0,10.0,,,,,,78,2012-04-26
Greater Western Sydney,2012,9,Geelong,10,L,3,22.0,9.0,5.0,27.0,1.0,2.0,,1.0,2.0,4.0,2.0,3.0,,,,6.0,19.0,1.0,2.0,2.0,,,80,2012-05-03
Greater Western Sydney,2012,10,Hawthorn,15,L,3,14.0,3.0,11.0,25.0,,,,4.0,2.0,5.0,2.0,6.0,2.0,1.0,,9.0,17.0,1.0,,3.0,,,78,2012-06-07
Greater Western Sydney,2012,11,Adelaide,16,L,3,9.0,6.0,11.0,20.0,,,,3.0,4.0,1.0,1.0,2.0,,,,6.0,15.0,2.0,,2.0,,1.0,69,2012-06-14
Greater Western Sydney,2012,12,Port Adelaide,19,W,3,20.0,8.0,7.0,27.0,,,,3.0,6.0,7.0,6.0,3.0,1.0,2.0,1.0,13.0,16.0,2.0,,1.0,,3.0,84,2012-07-05
Greater Western Sydney,2013,13,Sydney,1,L,3,14.0,2.0,8.0,22.0,,,,5.0,,2.0,4.0,,,,,13.0,9.0,,,1.0,,1.0,87,2013-03-01
Greater Western Sydney,2013,14,Port Adelaide,2,L,3,13.0,2.0,9.0,22.0,1.0,1.0,,5.0,1.0,1.0,3.0,1.0,1.0,,,9.0,14.0,,,2.0,,,86,2013-03-08
Greater Western Sydney,2013,15,St Kilda,3,L,3,8.0,3.0,8.0,16.0,,1.0,,,,2.0,3.0,2.0,,,,8.0,9.0,,,1.0,,1.0,86,2013-03-15
Greater Western Sydney,2013,16,Melbourne,4,L,3,11.0,3.0,12.0,23.0,,,,6.0,1.0,,4.0,3.0,,1.0,,12.0,12.0,,,,1.0,,81,2013-03-22
