team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2015,1↑,North Melbourne,22,W,12,,,1.0,1.0,,,,2.0,,,,,,,,,1.0,,,,,,26,2015-07-26
Western Bulldogs,2015,2,Brisbane Lions,23,L,12,2.0,2.0,5.0,7.0,,,,2.0,,,,1.0,1.0,1.0,,6.0,3.0,,,4.0,,,86,2015-08-02
Western Bulldogs,2016,3,Geelong,19,L,12,7.0,3.0,4.0,11.0,1.0,,,2.0,1.0,,,,1.0,,,3.0,8.0,1.0,,7.0,,,89,2016-07-05
Western Bulldogs,2016,4,North Melbourne,20,W,12,5.0,2.0,2.0,7.0,1.0,1.0,,2.0,1.0,2.0,,3.0,,1.0,,3.0,5.0,,1.0,2.0,,1.0,85,2016-07-12
Western Bulldogs,2016,5,Collingwood,21,W,12,5.0,5.0,3.0,8.0,2.0,,,1.0,,2.0,,1.0,,1.0,,3.0,4.0,2.0,2.0,1.0,,1.0,83,2016-07-19
Western Bulldogs,2016,6,Essendon,22,W,12,5.0,3.0,3.0,8.0,1.0,,5.0,6.0,,1.0,,1.0,,,,4.0,4.0,2.0,2.0,3.0,,,84,2016-07-26
Western Bulldogs,2016,7,Fremantle,23,L,12,3.0,3.0,6.0,9.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,4.0,5.0,,,2.0,,,68,2016-08-02
Western Bulldogs,2016,8,West Coast,EF,W,12,6.0,5.0,2.0,8.0,,,,1.0,1.0,1.0,,,1.0,,,4.0,4.0,1.0,,5.0,,,78,2016-03-01
Western Bulldogs,2016,9,Hawthorn,SF,W,12,8.0,2.0,3.0,11.0,,,,4.0,1.0,2.0,,3.0,,1.0,,4.0,8.0,,,3.0,,,78,2016-03-01
Western Bulldogs,2016,10,Greater Western Sydney,PF,W,12,5.0,1.0,5.0,10.0,2.0,,3.0,1.0,,,1.0,2.0,1.0,,,5.0,5.0,,,2.0,,1.0,77,2016-03-01
Western Bulldogs,2016,11,Sydney,GF,W,12,7.0,1.0,4.0,11.0,1.0,,,4.0,,1.0,,2.0,1.0,,,3.0,7.0,,,1.0,,,68,2016-03-01
Western Bulldogs,2017,12,Collingwood,1,W,12,10.0,2.0,4.0,14.0,,,,2.0,4.0,1.0,1.0,4.0,2.0,3.0,,4.0,11.0,,,7.0,,,89,2017-03-01
Western Bulldogs,2017,13,Sydney,2,W,12,10.0,5.0,5.0,15.0,,,,1.0,1.0,2.0,,2.0,2.0,1.0,,7.0,9.0,,,3.0,,,90,2017-03-08
Western Bulldogs,2017,14,Fremantle,3,L,12,7.0,4.0,3.0,10.0,,,,3.0,2.0,2.0,,1.0,,,,3.0,7.0,,,,,,85,2017-03-15
Western Bulldogs,2017,15,North Melbourne,4,W,12,5.0,1.0,3.0,8.0,,,,3.0,1.0,2.0,1.0,,,,,3.0,5.0,,,2.0,,1.0,88,2017-03-22
Western Bulldogs,2017,16,Brisbane Lions,5,W,12,9.0,7.0,4.0,13.0,,,,4.0,2.0,1.0,,,2.0,,,3.0,10.0,,,6.0,,,85,2017-03-29
Western Bulldogs,2017,17,Greater Western Sydney,6,L,12,7.0,3.0,5.0,12.0,,,,3.0,1.0,2.0,,1.0,,,,4.0,8.0,,,3.0,,,86,2017-04-05
Western Bulldogs,2017,18,Richmond,7,W,12,7.0,4.0,6.0,13.0,,,,2.0,3.0,1.0,,2.0,1.0,1.0,,4.0,7.0,,,6.0,1.0,,95,2017-04-12
Western Bulldogs,2017,19,West Coast,8,L,12,7.0,4.0,7.0,14.0,,,3.0,5.0,4.0,,,,,,,6.0,9.0,,,5.0,,,96,2017-04-19
Western Bulldogs,2017,20,Melbourne,13,L,12,14.0,7.0,8.0,22.0,,,,5.0,3.0,2.0,,2.0,1.0,,,6.0,15.0,1.0,,8.0,,1.0,87,2017-05-24
Western Bulldogs,2017,21,North Melbourne,14,W,12,2.0,2.0,6.0,8.0,,,,5.0,1.0,,,1.0,1.0,1.0,,4.0,4.0,1.0,,7.0,,,93,2017-05-31
Western Bulldogs,2017,22,West Coast,15,L,12,12.0,7.0,5.0,17.0,,,,3.0,4.0,2.0,,3.0,2.0,2.0,,8.0,9.0,,,11.0,,,91,2017-06-07
Western Bulldogs,2017,23,Adelaide,16,L,12,10.0,6.0,6.0,16.0,,,,2.0,,3.0,,1.0,2.0,1.0,,5.0,9.0,1.0,,5.0,,,99,2017-06-14
Western Bulldogs,2017,24,Carlton,17,W,12,8.0,5.0,6.0,14.0,,,,4.0,,,,1.0,1.0,,,7.0,8.0,,,6.0,,,95,2017-06-21
Western Bulldogs,2017,25,Gold Coast,18,W,12,8.0,3.0,1.0,9.0,,,,2.0,1.0,,,,1.0,,,3.0,6.0,,,5.0,,,98,2017-06-28
Western Bulldogs,2017,26,Essendon,19,W,12,5.0,5.0,5.0,10.0,,,,,,,,1.0,,1.0,,3.0,7.0,,,8.0,,,96,2017-07-05
Western Bulldogs,2017,27,Brisbane Lions,20,W,12,7.0,1.0,4.0,11.0,,,,,,1.0,,2.0,,,,1.0,9.0,,,8.0,,,97,2017-07-12
Western Bulldogs,2017,28,Greater Western Sydney,21,L,12,8.0,6.0,3.0,11.0,,,,2.0,,1.0,,,1.0,,,1.0,12.0,,,6.0,1.0,,97,2017-07-19
Western Bulldogs,2017,29,Port Adelaide,22,L,12,6.0,3.0,5.0,11.0,,,,3.0,1.0,,,1.0,2.0,1.0,,5.0,6.0,1.0,,10.0,,,93,2017-07-26
Western Bulldogs,2017,30,Hawthorn,23,L,12,7.0,7.0,6.0,13.0,,,,,3.0,,1.0,,1.0,,,6.0,7.0,3.0,,3.0,1.0,,97,2017-08-02
Western Bulldogs,2018,31,Greater Western Sydney,1,L,12,8.0,3.0,6.0,14.0,,,,3.0,5.0,,1.0,3.0,2.0,1.0,,8.0,6.0,,,5.0,,,96,2018-03-01
