team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2014,1,Melbourne,4,L,16,5.0,3.0,12,17,,1.0,,5.0,1.0,2.0,1.0,3.0,1.0,3.0,,8.0,10,,,5.0,4.0,,81,2014-03-22
Carlton,2014,2↓,Western Bulldogs,5,W,16,4.0,1.0,3,7,,,,1.0,,1.0,,1.0,1.0,,,5.0,2,,,1.0,,,56,2014-03-29
Carlton,2014,3↑,Essendon,23,D,16,1.0,1.0,2,3,,,,3.0,1.0,,,,,,,,3,,,,,,18,2014-08-02
Carlton,2015,4,Richmond,1,L,9,4.0,3.0,10,14,,,1.0,3.0,2.0,1.0,1.0,,,,,5.0,9,1.0,,,,,76,2015-03-01
Carlton,2015,5,Essendon,3,L,9,10.0,2.0,12,22,,2.0,2.0,4.0,,6.0,5.0,2.0,1.0,,,15.0,7,1.0,,1.0,,,75,2015-03-15
Carlton,2015,6,St Kilda,4,W,9,8.0,4.0,25,33,1.0,,1.0,11.0,1.0,2.0,8.0,2.0,3.0,1.0,,23.0,11,1.0,1.0,3.0,,2.0,81,2015-03-22
Carlton,2015,7,Collingwood,5,L,9,6.0,2.0,14,20,,,,6.0,2.0,,5.0,3.0,1.0,2.0,,12.0,8,1.0,1.0,,,,82,2015-03-29
Carlton,2015,8,Brisbane Lions,6,L,9,6.0,1.0,12,18,1.0,,4.0,2.0,1.0,3.0,7.0,,1.0,,,13.0,6,,,1.0,,1.0,76,2015-04-05
Carlton,2015,9,Geelong,8,L,9,4.0,3.0,15,19,,1.0,,4.0,,,4.0,3.0,,3.0,,11.0,7,,,,,,80,2015-04-19
Carlton,2015,10,Sydney,9,L,9,9.0,3.0,16,25,1.0,1.0,3.0,4.0,3.0,4.0,9.0,6.0,1.0,4.0,,17.0,8,1.0,2.0,1.0,,1.0,76,2015-04-26
