team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2025,1,West Coast,24,W,16,7,4.0,3.0,10,2.0,1.0,,1.0,,2.0,,2.0,1.0,1.0,,9,2.0,3.0,4.0,,,1.0,81,2025-08-09
Western Bulldogs,2025,2,Fremantle,25,L,16,5,6.0,8.0,13,2.0,2.0,,1.0,,1.0,1.0,3.0,2.0,1.0,,5,8.0,1.0,3.0,2.0,,,81,2025-08-16
Western Bulldogs,2026,3,Brisbane Lions,1,W,16,4,1.0,,4,,2.0,2.0,,,1.0,1.0,,1.0,,,3,1.0,,,1.0,,,43,2026-03-01
Western Bulldogs,2026,4,Adelaide,3,W,16,1,1.0,1.0,2,1.0,,2.0,1.0,,,,1.0,,1.0,,2,,1.0,1.0,1.0,,,52,2026-03-15
Western Bulldogs,2026,5,Essendon,5,W,16,3,,5.0,8,,,6.0,2.0,,1.0,1.0,2.0,1.0,2.0,,5,3.0,,,2.0,,2.0,66,2026-03-29
Western Bulldogs,2026,6,Hawthorn,6,L,16,5,4.0,5.0,10,1.0,1.0,1.0,2.0,,3.0,2.0,,1.0,,,7,3.0,1.0,2.0,,,1.0,72,2026-04-05
Western Bulldogs,2026,7,Geelong,7,L,16,4,4.0,7.0,11,2.0,,3.0,1.0,,1.0,,4.0,,1.0,,2,10.0,,2.0,2.0,,,76,2026-04-12
Western Bulldogs,2026,8,Melbourne,12,W,16,4,2.0,3.0,7,1.0,,1.0,3.0,,1.0,2.0,2.0,1.0,1.0,,4,2.0,,1.0,2.0,,,80,2026-05-17
Western Bulldogs,2026,9,Collingwood,13,W,16,6,5.0,1.0,7,,1.0,,,,1.0,,2.0,,,,3,4.0,2.0,1.0,1.0,,1.0,72,2026-05-24
Western Bulldogs,2026,10,Hawthorn,14,W,16,8,4.0,2.0,10,3.0,,,2.0,,1.0,,4.0,3.0,1.0,,6,5.0,1.0,,2.0,,,82,2026-05-31
Western Bulldogs,2026,11,Adelaide,15,L,16,6,,4.0,10,,1.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,,7,4.0,,,2.0,,,69,2026-06-07
Western Bulldogs,2026,12,St Kilda,16,W,16,6,2.0,4.0,10,,1.0,,2.0,2.0,3.0,1.0,4.0,,2.0,,1,9.0,,,4.0,1.0,,77,2026-06-14
Western Bulldogs,2026,13,Sydney,18,L,16,5,2.0,5.0,10,2.0,,,1.0,,2.0,,2.0,2.0,1.0,,3,7.0,,,,,,77,2026-06-28
Western Bulldogs,2026,14,West Coast,19,W,16,5,2,2,7,1,1,2,4,,2,,3,,2,,2,5,,1,2,,,85,2026-07-05
