team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2022,1,Hawthorn,18,L,49,5.0,1.0,7,12,,1.0,,11.0,1.0,2.0,7.0,1.0,2.0,1.0,,11,2.0,,,2.0,,1.0,66,2022-06-28
West Coast,2022,2,St Kilda,19,L,49,11.0,4.0,8,19,1.0,,,7.0,1.0,3.0,3.0,5.0,1.0,3.0,,8,9.0,,1.0,,,1.0,74,2022-07-05
West Coast,2022,3↑,Gold Coast,20,L,49,5.0,2.0,5,10,,,,2.0,,,1.0,3.0,,1.0,,3,8.0,,,1.0,,,54,2022-07-12
West Coast,2022,4,Geelong,23,L,49,7.0,1.0,5,12,,,,10.0,,4.0,3.0,2.0,,1.0,,4,6.0,,,,,,73,2022-08-02
West Coast,2023,5,Melbourne,4,L,49,1.0,,11,12,,,,6.0,,,1.0,5.0,,1.0,,5,7.0,,,,,,70,2023-03-22
West Coast,2023,6,Geelong,5,L,49,3.0,5.0,11,14,,1.0,,4.0,,2.0,2.0,5.0,,3.0,,6,9.0,2.0,2.0,,,,82,2023-03-29
West Coast,2023,7,Port Adelaide,6,L,49,7.0,3.0,3,10,4.0,1.0,,2.0,,1.0,,1.0,2.0,,,6,3.0,1.0,1.0,2.0,,,81,2023-04-05
West Coast,2023,8,Carlton,7,L,49,3.0,,2,5,1.0,,,3.0,,2.0,,1.0,1.0,,,2,3.0,,,1.0,,1.0,82,2023-04-12
West Coast,2023,9↓,Richmond,8,L,49,,,1,1,,,,,,,,,,,,1,,,,,,,7,2023-04-19
West Coast,2024,10,North Melbourne,14,L,49,9.0,4.0,5,14,,1.0,,,3.0,4.0,1.0,2.0,,,,6,8.0,,1.0,,,,84,2024-05-31
West Coast,2024,11,St Kilda,20,L,49,4.0,,3,7,,,,2.0,,2.0,,2.0,2.0,1.0,,2,3.0,,,,,1.0,77,2024-07-12
West Coast,2024,12↑,Fremantle,21,L,49,5.0,1.0,2,7,1.0,,,5.0,1.0,1.0,3.0,1.0,1.0,1.0,,6,3.0,,,,,,60,2024-07-19
Melbourne,2025,13,West Coast,22,W,46,9,7,4,13,2,,,2,1,5,2,1,2,,,7,6,2,2,1,,1,76,2025-07-26
