team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2022,1,Sydney,11,L,38,,,,,,,,,,,,,,,,,,,,,,,,2022-05-10
Richmond,2022,2↑,Gold Coast,17,L,38,9.0,2.0,1.0,10.0,2.0,3.0,,1.0,,1.0,,1.0,1.0,,,6.0,3.0,1.0,2.0,1.0,,,71.0,2022-06-21
Richmond,2022,3,North Melbourne,18,L,38,10.0,4.0,4.0,14.0,3.0,4.0,,4.0,,7.0,2.0,1.0,1.0,,,9.0,5.0,1.0,2.0,2.0,,,80.0,2022-06-28
Richmond,2022,4,Fremantle,19,D,38,7.0,4.0,5.0,12.0,1.0,1.0,,6.0,,4.0,,5.0,3.0,2.0,,7.0,5.0,1.0,1.0,,,1.0,81.0,2022-07-05
Richmond,2022,5,Brisbane Lions,20,W,38,6.0,2.0,2.0,8.0,5.0,,,3.0,,1.0,1.0,1.0,,1.0,,4.0,3.0,,1.0,,,1.0,84.0,2022-07-12
Richmond,2022,6,Port Adelaide,21,W,38,7.0,,3.0,10.0,2.0,2.0,,1.0,,1.0,1.0,,,,,5.0,3.0,,,1.0,,2.0,79.0,2022-07-19
Richmond,2022,7,Hawthorn,22,W,38,8.0,2.0,4.0,12.0,2.0,3.0,,1.0,,1.0,,1.0,,,,4.0,7.0,,2.0,1.0,,3.0,83.0,2022-07-26
Richmond,2022,8,Essendon,23,W,38,5.0,2.0,7.0,12.0,3.0,,,1.0,,2.0,1.0,2.0,,,,6.0,6.0,1.0,1.0,2.0,1.0,,76.0,2022-08-02
Richmond,2022,9,Brisbane Lions,EF,L,38,6.0,2.0,1.0,7.0,1.0,,,,,1.0,,5.0,,1.0,,1.0,6.0,,1.0,1.0,,1.0,69.0,2022-03-01
Richmond,2023,10↑,Collingwood,3,L,38,5.0,1.0,2.0,7.0,,,,,,3.0,,1.0,1.0,,,5.0,2.0,1.0,,1.0,,1.0,41.0,2023-03-15
Richmond,2023,11,Western Bulldogs,4,L,38,13.0,7.0,8.0,21.0,1.0,2.0,,6.0,,3.0,1.0,9.0,3.0,3.0,,11.0,10.0,1.0,3.0,,,2.0,77.0,2023-03-22
Richmond,2023,12,Sydney,5,L,38,5.0,,2.0,7.0,2.0,1.0,,8.0,,1.0,1.0,2.0,1.0,,,3.0,5.0,,,1.0,,,72.0,2023-03-29
Richmond,2023,13,Melbourne,6,L,38,7.0,2.0,,7.0,3.0,,,3.0,,2.0,,4.0,1.0,1.0,,4.0,2.0,1.0,1.0,1.0,,,87.0,2023-04-05
Richmond,2023,14,Gold Coast,7,L,38,4.0,2.0,2.0,6.0,,2.0,,2.0,,1.0,,4.0,2.0,2.0,,4.0,2.0,,2.0,,,,74.0,2023-04-12
Richmond,2023,15↓,West Coast,8,W,38,,,2.0,2.0,,,,,,1.0,,4.0,,2.0,,,2.0,,,1.0,,,31.0,2023-04-19
Richmond,2023,16↑,Greater Western Sydney,12,W,38,2.0,,,2.0,,1.0,,,,,,1.0,2.0,,,2.0,,,,,,,23.0,2023-05-17
Richmond,2023,17,Brisbane Lions,16,L,38,5.0,5.0,2.0,7.0,1.0,,,,,2.0,,6.0,,1.0,,2.0,5.0,1.0,2.0,,1.0,,72.0,2023-06-14
Richmond,2023,18,Western Bulldogs,21,L,38,8.0,6.0,5.0,13.0,1.0,2.0,,4.0,,4.0,,7.0,2.0,2.0,,4.0,9.0,1.0,2.0,1.0,,,82.0,2023-07-19
Richmond,2024,19↑,Western Bulldogs,10,L,38,,1.0,3.0,3.0,,,,2.0,,,,,,,,3.0,2.0,,,1.0,,,40.0,2024-05-03
Richmond,2024,20,Brisbane Lions,11,L,38,8.0,5.0,5.0,13.0,2.0,,,1.0,,2.0,2.0,4.0,,1.0,,5.0,9.0,,2.0,,,,77.0,2024-05-10
Richmond,2024,21,Essendon,12,L,38,6.0,2.0,5.0,11.0,,2.0,,3.0,,4.0,1.0,3.0,,1.0,,5.0,7.0,1.0,,1.0,,1.0,83.0,2024-05-17
Richmond,2024,22,Geelong,13,L,38,2.0,1.0,4.0,6.0,1.0,,,2.0,,1.0,1.0,2.0,1.0,2.0,,4.0,4.0,,,1.0,,1.0,85.0,2024-05-24
Richmond,2024,23,Adelaide,14,W,38,4.0,2.0,1.0,5.0,3.0,,,2.0,,,1.0,2.0,1.0,2.0,,4.0,2.0,,1.0,1.0,,,79.0,2024-05-31
Richmond,2024,24↓,Hawthorn,15,L,38,3.0,,1.0,4.0,,,,,,1.0,,2.0,1.0,,,2.0,1.0,,,,,,56.0,2024-06-07
Richmond,2024,25,Fremantle,18,L,38,3.0,1.0,2.0,5.0,,,,3.0,,2.0,,4.0,,3.0,,2.0,3.0,,,3.0,,,76.0,2024-07-06
