team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2012,1↑,Greater Western Sydney,1,W,44,4.0,2.0,,4.0,,,,1.0,1.0,1.0,,3.0,,1.0,,1.0,2.0,,,,,,20.0,2012-03-01
Sydney,2013,2↑,West Coast,17,W,7,2.0,,2.0,4.0,,,,,,2.0,,,,,,1.0,3.0,,,,2.0,2.0,16.0,2013-06-21
Sydney,2013,3↑,Richmond,18,W,7,3.0,1.0,,3.0,,,,,,2.0,,1.0,,,,,3.0,,,,,,31.0,2013-06-28
Sydney,2013,4,Hawthorn,23,L,7,2.0,1.0,4.0,6.0,,,,4.0,,,,,1.0,,,3.0,4.0,,,,,,79.0,2013-08-02
Sydney,2013,5,Carlton,SF,W,7,8.0,6.0,7.0,15.0,2.0,1.0,,3.0,1.0,2.0,,,,,,2.0,12.0,,1.0,,,,85.0,2013-03-01
Sydney,2013,6,Fremantle,PF,L,7,5.0,3.0,8.0,13.0,2.0,,,,,,,,,,,4.0,9.0,,,,,,77.0,2013-03-01
Sydney,2014,7,Greater Western Sydney,1,L,7,9.0,3.0,4.0,13.0,1.0,,,4.0,1.0,5.0,,2.0,3.0,,,6.0,5.0,,,2.0,,,70.0,2014-03-01
Sydney,2014,8,Collingwood,2,L,7,3.0,6.0,13.0,16.0,1.0,,,2.0,,,,,1.0,,,2.0,14.0,,1.0,,,1.0,83.0,2014-03-08
Sydney,2014,9,Adelaide,3,W,7,6.0,3.0,3.0,9.0,3.0,,,1.0,1.0,,,,,,,3.0,6.0,1.0,2.0,1.0,,,83.0,2014-03-15
Sydney,2014,10,North Melbourne,4,L,7,4.0,1.0,7.0,11.0,,,,3.0,,2.0,2.0,,1.0,,,6.0,5.0,1.0,,1.0,,,79.0,2014-03-22
