team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2022,1,Geelong,6,L,25,7,4,4,11,1.0,3.0,,2.0,,2.0,,1.0,2.0,1.0,,5.0,6,,1.0,,,,67,2022-04-05
North Melbourne,2022,2,Carlton,7,L,25,7,5,5,12,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,2.0,,7.0,6,1.0,1.0,,,1.0,87,2022-04-12
North Melbourne,2022,3,Fremantle,8,L,25,4,3,3,7,,1.0,,3.0,,2.0,,5.0,,2.0,,7.0,3,1.0,,,,,81,2022-04-19
North Melbourne,2022,4,Port Adelaide,9,L,25,4,2,3,7,,,,3.0,,3.0,1.0,2.0,2.0,,,5.0,2,1.0,1.0,,,1.0,79,2022-04-26
North Melbourne,2022,5,Melbourne,10,L,25,4,2,2,6,,,,1.0,1.0,1.0,,,,,,3.0,3,,,,,,84,2022-05-03
North Melbourne,2022,6,St Kilda,11,L,25,7,4,3,10,1.0,,,1.0,,3.0,,3.0,1.0,1.0,,4.0,7,1.0,1.0,,,,81,2022-05-10
North Melbourne,2022,7,Gold Coast,12,L,25,7,3,2,9,,,,4.0,1.0,3.0,,2.0,,1.0,,3.0,7,,1.0,,,1.0,86,2022-05-17
North Melbourne,2022,8,Greater Western Sydney,13,L,25,9,4,1,10,1.0,,,1.0,,2.0,,,1.0,,,3.0,8,,2.0,3.0,,1.0,82,2022-05-24
North Melbourne,2022,9,Adelaide,15,L,25,5,3,6,11,1.0,1.0,,4.0,,1.0,,2.0,3.0,1.0,,7.0,5,1.0,1.0,1.0,,1.0,84,2022-06-07
North Melbourne,2022,10,Geelong,16,L,25,6,6,5,11,1.0,,,3.0,1.0,2.0,,3.0,1.0,1.0,,1.0,9,,1.0,,,,75,2022-06-14
North Melbourne,2022,11,Collingwood,17,L,25,9,4,1,10,1.0,,,3.0,1.0,1.0,,5.0,1.0,1.0,,4.0,6,1.0,1.0,2.0,,,72,2022-06-21
North Melbourne,2022,12,Richmond,18,W,25,7,3,7,14,3.0,,,2.0,,1.0,,1.0,1.0,,,8.0,6,2.0,2.0,,1.0,,81,2022-06-28
North Melbourne,2022,13,Hawthorn,19,L,25,4,3,3,7,,1.0,,6.0,,2.0,,1.0,1.0,1.0,,3.0,5,,1.0,2.0,,1.0,81,2022-07-05
North Melbourne,2022,14,Sydney,21,L,25,7,4,4,11,,,,5.0,,3.0,,3.0,,1.0,,4.0,9,,,2.0,,1.0,80,2022-07-19
North Melbourne,2022,15,Adelaide,22,L,25,7,5,1,8,2.0,1.0,,4.0,,,,3.0,,2.0,,4.0,5,2.0,2.0,,,,80,2022-07-26
North Melbourne,2023,16,West Coast,1,W,25,6,3,2,8,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,4.0,4,1.0,2.0,1.0,,,78,2023-03-01
North Melbourne,2023,17↓,Fremantle,2,W,25,4,1,4,8,,,,,,,,3.0,,1.0,,6.0,3,,,1.0,,1.0,36,2023-03-08
North Melbourne,2023,18,Hawthorn,3,L,25,6,4,3,9,1.0,1.0,,3.0,,2.0,,5.0,,2.0,,4.0,7,1.0,1.0,3.0,,1.0,74,2023-03-15
North Melbourne,2023,19,Carlton,4,L,25,5,3,4,9,1.0,1.0,,1.0,1.0,2.0,,2.0,1.0,1.0,,3.0,6,,,1.0,,,70,2023-03-22
North Melbourne,2023,20,Gold Coast,6,L,25,6,1,4,10,,3.0,,1.0,,,,1.0,,1.0,,7.0,2,1.0,1.0,,,1.0,77,2023-04-05
North Melbourne,2023,21,Melbourne,7,L,25,2,2,3,5,,,,1.0,,3.0,,,1.0,,,4.0,1,1.0,,,,1.0,71,2023-04-12
North Melbourne,2023,22,St Kilda,8,L,25,4,5,4,8,,,,,,3.0,,1.0,,1.0,,1.0,7,,,,,,68,2023-04-19
North Melbourne,2023,23,Port Adelaide,9,L,25,9,4,8,17,1.0,,,1.0,1.0,4.0,,3.0,,1.0,,4.0,13,,1.0,1.0,,1.0,73,2023-04-26
North Melbourne,2023,24,Sydney,10,L,25,3,1,2,5,1.0,1.0,,1.0,,1.0,,2.0,,2.0,,4.0,1,1.0,1.0,1.0,,,72,2023-05-03
North Melbourne,2023,25↑,Collingwood,11,L,25,1,1,1,2,,,,2.0,,1.0,,,,,,1.0,1,,,,,1.0,28,2023-05-10
North Melbourne,2023,26,Greater Western Sydney,13,L,25,9,2,2,11,,,,3.0,,5.0,,4.0,1.0,2.0,,8.0,3,1.0,,1.0,,1.0,75,2023-05-24
North Melbourne,2023,27,Western Bulldogs,14,L,25,7,2,4,11,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,5.0,7,,1.0,2.0,,3.0,84,2023-05-31
North Melbourne,2023,28,Adelaide,16,L,25,8,3,5,13,,,,3.0,2.0,3.0,,4.0,,1.0,,7.0,6,,,,,,75,2023-06-14
North Melbourne,2023,29,Geelong,17,L,25,6,1,4,10,,,,6.0,,2.0,1.0,1.0,,1.0,,3.0,7,,,1.0,,,73,2023-06-21
North Melbourne,2023,30,Hawthorn,18,L,25,6,4,3,9,2.0,,,5.0,,4.0,,3.0,1.0,1.0,,5.0,6,2.0,1.0,2.0,,1.0,87,2023-06-28
North Melbourne,2023,31,St Kilda,19,L,25,5,2,2,7,,1.0,,5.0,,2.0,,3.0,1.0,2.0,,4.0,4,1.0,,1.0,,1.0,84,2023-07-05
North Melbourne,2023,32,West Coast,20,L,25,11,2,4,15,4.0,1.0,,1.0,,3.0,2.0,2.0,,,,13.0,1,2.0,2.0,,,,83,2023-07-12
North Melbourne,2023,33,Melbourne,21,L,25,6,2,1,7,1.0,2.0,,,,1.0,,4.0,,3.0,,,4,,,2.0,,,74,2023-07-19
North Melbourne,2023,34,Essendon,22,L,25,5,2,5,10,,1.0,,8.0,,1.0,2.0,2.0,,2.0,,6.0,4,,,1.0,,3.0,82,2023-07-26
North Melbourne,2023,35,Richmond,23,L,25,8,4,8,16,1.0,1.0,,3.0,,1.0,2.0,5.0,,1.0,,7.0,11,1.0,2.0,3.0,1.0,2.0,86,2023-08-02
North Melbourne,2023,36,Gold Coast,24,W,25,7,5,2,9,2.0,,,3.0,,2.0,,4.0,,3.0,,4.0,5,1.0,3.0,2.0,,2.0,91,2023-08-09
North Melbourne,2024,37,Greater Western Sydney,2,L,25,4,3,5,9,2.0,1.0,,1.0,,,,2.0,,1.0,,5.0,4,1.0,2.0,2.0,,3.0,81,2024-03-08
North Melbourne,2024,38,Fremantle,3,L,25,9,3,3,12,2.0,2.0,,,,1.0,,2.0,2.0,1.0,,7.0,4,1.0,2.0,,,,79,2024-03-15
North Melbourne,2024,39,Carlton,4,L,25,7,3,6,13,3.0,1.0,,4.0,,1.0,,6.0,1.0,3.0,,7.0,7,1.0,2.0,1.0,,1.0,76,2024-03-22
North Melbourne,2024,40,Brisbane Lions,5,L,25,2,1,3,5,1.0,,,,,,,3.0,,1.0,,1.0,4,,,,,,78,2024-03-29
North Melbourne,2024,41,Geelong,6,L,25,7,3,3,10,1.0,3.0,,4.0,,2.0,,4.0,2.0,3.0,,6.0,5,,2.0,1.0,,1.0,82,2024-04-05
North Melbourne,2024,42,Hawthorn,7,L,25,13,6,2,15,3.0,2.0,,2.0,,2.0,,5.0,3.0,2.0,,8.0,6,1.0,4.0,,,1.0,86,2024-04-12
North Melbourne,2024,43,Adelaide,8,L,25,6,2,2,8,,,,3.0,,3.0,3.0,1.0,1.0,1.0,,5.0,2,,,,,,84,2024-04-19
North Melbourne,2024,44,St Kilda,9,L,25,5,3,1,6,2.0,1.0,,1.0,,,,3.0,,3.0,,1.0,5,,3.0,,,1.0,79,2024-04-26
North Melbourne,2024,45,Gold Coast,10,L,25,9,4,4,13,1.0,1.0,,1.0,,3.0,,6.0,,2.0,,2.0,10,,1.0,,,,69,2024-05-03
North Melbourne,2024,46,Essendon,11,L,25,7,2,4,11,,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,3.0,,4.0,6,,,,,,78,2024-05-10
North Melbourne,2024,47,Port Adelaide,12,L,25,7,7,5,12,1.0,,,4.0,,3.0,,3.0,1.0,2.0,,6.0,7,2.0,1.0,1.0,,,78,2024-05-17
North Melbourne,2024,48,West Coast,14,W,25,5,2,6,11,1.0,,,5.0,,,1.0,5.0,,2.0,,8.0,3,1.0,,1.0,,,72,2024-05-31
North Melbourne,2024,49,Collingwood,15,L,25,11,5,6,17,2.0,,,1.0,,5.0,,6.0,,3.0,,6.0,10,,,3.0,,1.0,82,2024-06-07
North Melbourne,2024,50,Melbourne,16,L,25,7,4,4,11,,,,6.0,,3.0,,4.0,2.0,2.0,,5.0,7,,,1.0,,,84,2024-06-14
North Melbourne,2024,51,Western Bulldogs,17,L,25,5,3,9,14,2.0,,,5.0,,3.0,,5.0,1.0,2.0,,10.0,5,2.0,,2.0,,,85,2024-06-21
North Melbourne,2024,52,Gold Coast,18,W,25,7,4,3,10,1.0,,,4.0,,3.0,,3.0,1.0,1.0,,5.0,6,,1.0,,,1.0,80,2024-06-28
North Melbourne,2024,53,Sydney,19,L,25,6,2,9,15,,1.0,,4.0,,4.0,,2.0,,1.0,,4.0,10,,,,,1.0,82,2024-07-05
North Melbourne,2024,54,Carlton,20,L,25,8,7,4,12,3.0,,,4.0,,3.0,,5.0,1.0,3.0,,5.0,8,1.0,3.0,1.0,,,66,2024-07-12
North Melbourne,2024,55,Geelong,21,L,25,3,1,10,13,1.0,1.0,,6.0,,2.0,,2.0,,,,6.0,7,,1.0,2.0,,2.0,82,2024-07-19
North Melbourne,2024,56,Richmond,22,W,25,8,5,4,12,,,,3.0,1.0,2.0,,3.0,,1.0,,5.0,7,,,1.0,,1.0,80,2024-07-26
North Melbourne,2024,57,West Coast,23,L,25,13,7,2,15,3.0,4.0,,3.0,,2.0,,3.0,2.0,1.0,,6.0,10,,4.0,3.0,,1.0,91,2024-08-02
North Melbourne,2024,58,Western Bulldogs,24,L,25,4,3,3,7,,1.0,,2.0,,2.0,,2.0,1.0,,,1.0,6,,1.0,1.0,,,81,2024-08-09
North Melbourne,2024,59,Hawthorn,25,L,25,4,2,5,9,1.0,1.0,,3.0,,,1.0,3.0,1.0,2.0,,8.0,2,1.0,1.0,2.0,,,84,2024-08-16
North Melbourne,2025,60,Western Bulldogs,2,L,25,8,4,5,13,3.0,,,4.0,,2.0,,4.0,,3.0,,5.0,7,1.0,2.0,1.0,,,88,2025-03-08
North Melbourne,2025,61,Melbourne,3,W,25,13,6,9,22,3.0,2.0,,4.0,,3.0,,5.0,2.0,1.0,,9.0,14,1.0,2.0,1.0,,1.0,82,2025-03-15
North Melbourne,2025,62,Adelaide,4,L,25,5,3,4,9,2.0,,,4.0,,1.0,,5.0,2.0,3.0,,8.0,4,1.0,1.0,2.0,,2.0,81,2025-03-22
North Melbourne,2025,63,Sydney,5,L,25,9,6,5,14,2.0,,,5.0,,2.0,,,1.0,,,5.0,8,1.0,3.0,1.0,,1.0,79,2025-03-29
North Melbourne,2025,64,Gold Coast,6,L,25,8,3,6,14,2.0,2.0,,4.0,,2.0,3.0,4.0,3.0,4.0,,9.0,4,,2.0,,1.0,,82,2025-04-05
North Melbourne,2025,65,Carlton,7,L,25,11,5,1,12,3.0,1.0,,2.0,,4.0,1.0,2.0,3.0,,,7.0,5,1.0,2.0,,,1.0,69,2025-04-12
North Melbourne,2025,66,Port Adelaide,8,L,25,12,3,4,16,3.0,1.0,,5.0,1.0,4.0,1.0,3.0,4.0,2.0,,9.0,7,,,,,1.0,85,2025-04-19
North Melbourne,2025,67,Collingwood,12,L,25,9,5,3,12,1.0,1.0,,5.0,,1.0,,4.0,1.0,1.0,,9.0,3,2.0,1.0,1.0,,1.0,84,2025-05-17
North Melbourne,2025,68,West Coast,14,W,25,6,2,2,8,3.0,,,3.0,,1.0,1.0,3.0,1.0,2.0,,3.0,4,,1.0,1.0,,,82,2025-05-31
North Melbourne,2025,69,Fremantle,15,L,25,7,3,5,12,,2.0,,9.0,,3.0,2.0,3.0,1.0,1.0,,7.0,7,,2.0,3.0,,,80,2025-06-07
North Melbourne,2025,70,Carlton,16,W,25,8,4,2,10,2.0,3.0,,5.0,1.0,1.0,,3.0,1.0,3.0,,4.0,5,,4.0,2.0,,1.0,74,2025-06-14
North Melbourne,2025,71,Hawthorn,17,L,25,8,3,3,11,1.0,,,3.0,,4.0,,5.0,2.0,3.0,,5.0,5,,1.0,3.0,,1.0,82,2025-06-21
North Melbourne,2025,72,Western Bulldogs,18,L,25,5,1,2,7,1.0,,,4.0,,3.0,1.0,3.0,2.0,1.0,,3.0,4,,1.0,,,3.0,82,2025-06-28
North Melbourne,2025,73,Melbourne,19,L,25,8,7,4,12,2,,,6,,3,,4,2,1,,6,8,2,4,,,,83,2025-07-05
