team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2017,1,Geelong,22,L,26,4,2.0,6,10,,,,10.0,1.0,2.0,2.0,2.0,,,,5,5,,,,,1.0,74,2017-07-26
Collingwood,2017,2,Melbourne,23,W,26,6,2.0,6,12,1.0,1.0,,2.0,,,,3.0,1.0,1.0,,3,9,,2.0,,,,69,2017-08-02
Collingwood,2018,3,Western Bulldogs,10,W,26,11,4.0,5,16,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,1.0,2.0,,4,13,,1.0,2.0,,,67,2018-05-03
Collingwood,2018,4,Fremantle,11,W,26,7,5.0,8,15,1.0,,,5.0,1.0,1.0,2.0,1.0,2.0,,,8,7,,1.0,1.0,,1.0,73,2018-05-10
Collingwood,2018,5,Melbourne,12,W,26,10,3.0,6,16,,,,3.0,1.0,4.0,1.0,3.0,2.0,,,4,11,,1.0,,,1.0,79,2018-05-17
Collingwood,2018,6,Carlton,14,W,26,8,3.0,8,16,,,,,1.0,1.0,,3.0,2.0,1.0,,2,14,,,,,,70,2018-05-31
Collingwood,2018,7,Gold Coast,15,W,26,8,2.0,10,18,,,,5.0,1.0,2.0,3.0,1.0,1.0,,,6,11,,,,,,77,2018-06-07
Collingwood,2018,8,Essendon,16,W,26,9,5.0,4,13,1.0,,,5.0,1.0,3.0,1.0,2.0,1.0,,,7,5,1.0,,,,,76,2018-06-14
Collingwood,2018,9,West Coast,17,L,26,4,3.0,7,11,,1.0,,3.0,,,1.0,3.0,,1.0,,2,8,,1.0,,,1.0,75,2018-06-21
Collingwood,2018,10,North Melbourne,18,W,26,14,5.0,9,23,,,,7.0,1.0,4.0,1.0,2.0,1.0,,,5,20,,,3.0,2.0,,81,2018-06-28
Collingwood,2018,11,Richmond,19,L,26,7,4.0,8,15,1.0,,,4.0,2.0,1.0,2.0,2.0,4.0,,,6,10,,1.0,1.0,1.0,1.0,74,2018-07-05
Collingwood,2018,12,Sydney,20,L,26,9,,3,12,1.0,,,4.0,,2.0,,3.0,2.0,,,4,7,,,1.0,,,65,2018-07-12
Collingwood,2019,13,North Melbourne,15,L,26,10,4.0,12,22,,,,4.0,3.0,3.0,3.0,,1.0,,,6,16,,,1.0,,,78,2019-06-07
Collingwood,2019,14,Hawthorn,16,L,26,11,3.0,4,15,1.0,2.0,,2.0,,2.0,,4.0,2.0,1.0,,7,8,,,,,,59,2019-06-14
Collingwood,2019,15,Richmond,19,L,26,4,2.0,7,11,,,,3.0,1.0,1.0,,4.0,1.0,2.0,,4,9,,,,,,77,2019-07-05
Collingwood,2019,16,Gold Coast,20,W,26,10,6.0,12,22,,,,3.0,2.0,,2.0,3.0,,1.0,,3,19,,,,1.0,,86,2019-07-12
Collingwood,2019,17,Melbourne,21,W,26,5,4.0,10,15,,,,1.0,1.0,1.0,2.0,1.0,,1.0,,4,11,,,,,,58,2019-07-19
Collingwood,2020,18,Western Bulldogs,1,W,26,7,3.0,7,14,2.0,,,5.0,1.0,1.0,1.0,4.0,,2.0,,4,10,,,1.0,,,88,2020-03-01
Collingwood,2020,19,Richmond,2,D,26,14,5.0,10,24,,,,1.0,5.0,2.0,2.0,2.0,2.0,1.0,,10,16,,,2.0,,,65,2020-03-08
Collingwood,2020,20,St Kilda,3,W,26,7,5.0,10,17,,2.0,,3.0,,,3.0,,1.0,,,6,11,1.0,,1.0,,,78,2020-03-15
Collingwood,2020,21,Greater Western Sydney,4,L,26,4,2.0,3,7,1.0,,,7.0,,1.0,1.0,1.0,,1.0,,3,4,,,,,,85,2020-03-22
Collingwood,2020,22,Essendon,5,L,26,14,4.0,7,21,1.0,,,3.0,3.0,3.0,1.0,1.0,3.0,,,5,16,,,,,,90,2020-03-29
Collingwood,2020,23,Geelong,7,W,26,9,1.0,5,14,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,5,9,,,,,,75,2020-04-12
Collingwood,2020,24,West Coast,8,L,26,4,2.0,3,7,1.0,,,4.0,,,1.0,2.0,1.0,,,3,4,1.0,,,,,82,2020-04-19
Collingwood,2020,25,Fremantle,9,L,26,5,3.0,7,12,,,,2.0,1.0,2.0,1.0,,,,,5,8,,,1.0,,1.0,82,2020-04-26
Collingwood,2020,26,Sydney,10,W,26,19,5.0,6,25,1.0,,,2.0,1.0,7.0,4.0,3.0,1.0,,2.0,6,17,,1.0,,,,95,2020-05-03
Collingwood,2020,27,Adelaide,11,W,26,5,5.0,10,15,1.0,,,,,1.0,1.0,1.0,,,,3,12,,1.0,1.0,,,91,2020-05-10
Collingwood,2020,28,Melbourne,12,L,26,10,6.0,11,21,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,5,15,1.0,1.0,1.0,,,92,2020-05-17
Collingwood,2020,29,North Melbourne,13,W,26,11,3.0,11,22,1.0,,,1.0,1.0,3.0,1.0,3.0,,1.0,,6,16,,,,,,87,2020-05-24
Collingwood,2020,30,Carlton,14,W,26,12,5.0,9,21,1.0,,,,3.0,4.0,2.0,1.0,,,,7,13,,,1.0,1.0,,89,2020-05-31
Collingwood,2020,31,Brisbane Lions,15,L,26,14,5.0,11,25,,,,1.0,2.0,4.0,6.0,3.0,1.0,1.0,,12,13,,,1.0,,,91,2020-06-07
Collingwood,2020,32,Gold Coast,17,W,26,10,5.0,11,21,,,,,2.0,2.0,2.0,1.0,1.0,,,6,16,,,,,,85,2020-06-21
Collingwood,2020,33,Port Adelaide,18,L,26,10,4.0,9,19,,,,4.0,2.0,3.0,3.0,4.0,3.0,1.0,,8,14,,,1.0,,,85,2020-06-28
