team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2022,1,St Kilda,1,W,35,15,5.0,12,27,,,,4.0,6.0,2.0,,2.0,2.0,,,5,20,,,2.0,,,84,2022-03-01
Collingwood,2022,2,Adelaide,2,W,35,11,4.0,11,22,,,,1.0,4.0,4.0,1.0,6.0,2.0,,,4,18,,,,,,77,2022-03-08
Collingwood,2022,3,Geelong,3,L,35,13,4.0,13,26,1.0,1.0,,2.0,1.0,2.0,5.0,4.0,,1.0,,9,14,,,1.0,,,70,2022-03-15
Collingwood,2022,4,West Coast,4,L,35,19,7.0,13,32,,1.0,,5.0,1.0,5.0,4.0,5.0,1.0,,3.0,5,26,,,1.0,,1.0,79,2022-03-22
Collingwood,2022,5,Brisbane Lions,5,L,35,13,4.0,14,27,,,,1.0,3.0,,1.0,4.0,,1.0,,5,19,,,1.0,,,81,2022-03-29
Collingwood,2022,6,Essendon,6,W,35,11,6.0,12,23,,,,2.0,3.0,4.0,3.0,5.0,,2.0,,6,16,,,,3.0,,75,2022-04-05
Collingwood,2022,7,Gold Coast,7,W,35,9,6.0,10,19,,,,,3.0,3.0,1.0,2.0,,2.0,,4,16,,,,,,78,2022-04-12
Collingwood,2022,8,Richmond,8,L,35,16,6.0,9,25,,1.0,,1.0,3.0,5.0,1.0,6.0,,2.0,,4,21,,,1.0,1.0,1.0,79,2022-04-19
Collingwood,2022,9,Western Bulldogs,9,L,35,10,4.0,11,21,,,,,5.0,,1.0,3.0,2.0,1.0,,6,13,,,,,,83,2022-04-26
Collingwood,2022,10,Fremantle,10,W,35,13,4.0,10,23,,,,1.0,4.0,2.0,3.0,2.0,,,,6,12,,,,,,81,2022-05-03
Collingwood,2022,11,Carlton,11,W,35,9,3.0,7,16,,,,1.0,3.0,1.0,,2.0,1.0,1.0,,5,11,,,,,,79,2022-05-10
Collingwood,2022,12,Hawthorn,12,W,35,22,3.0,14,36,,,,1.0,6.0,4.0,1.0,3.0,2.0,,1.0,8,25,,,,1.0,,84,2022-05-17
Collingwood,2022,13,Melbourne,13,W,35,16,6.0,17,33,,,,3.0,5.0,1.0,3.0,3.0,2.0,,,10,22,,,1.0,4.0,,87,2022-05-24
Collingwood,2022,14,Greater Western Sydney,15,W,35,9,2.0,16,25,,,,,1.0,1.0,,2.0,1.0,,,6,19,,,1.0,2.0,,82,2022-06-07
Collingwood,2022,15,Gold Coast,16,W,35,22,4.0,15,37,,1.0,,2.0,8.0,4.0,3.0,3.0,,,3.0,7,25,,,,1.0,2.0,85,2022-06-14
Collingwood,2022,16,North Melbourne,17,W,35,15,4.0,6,21,1.0,,,3.0,3.0,3.0,1.0,1.0,1.0,,,5,13,,,,1.0,1.0,84,2022-06-21
Collingwood,2022,17,Adelaide,18,W,35,25,3.0,15,40,3.0,,,5.0,8.0,5.0,2.0,6.0,1.0,2.0,3.0,9,23,,,,1.0,,86,2022-06-28
Collingwood,2022,18,Essendon,19,W,35,12,3.0,9,21,,1.0,,4.0,2.0,2.0,1.0,2.0,2.0,,,3,16,,1.0,,2.0,,85,2022-07-05
Collingwood,2022,19,Port Adelaide,20,W,35,12,1.0,9,21,,,,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,6,11,,,,1.0,,89,2022-07-12
Collingwood,2022,20,Melbourne,21,W,35,18,4.0,13,31,,,,5.0,7.0,2.0,1.0,3.0,2.0,2.0,1.0,10,17,,,1.0,2.0,1.0,82,2022-07-19
Collingwood,2022,21,Sydney,22,L,35,11,2.0,9,20,1.0,1.0,,,2.0,3.0,3.0,6.0,1.0,,,11,6,,1.0,1.0,,,80,2022-07-26
Collingwood,2022,22,Carlton,23,W,35,13,,12,25,,1.0,,1.0,6.0,4.0,1.0,3.0,1.0,,,8,13,,,1.0,,1.0,83,2022-08-02
