team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2013,1,Carlton,11,W,6,10.0,5.0,5.0,15,,2.0,1.0,1.0,,4.0,,2.0,1.0,1.0,,4,11.0,,1.0,4.0,3.0,,79,2013-05-10
Essendon,2013,2,Gold Coast,12,W,6,8.0,8.0,9.0,17,3.0,1.0,,1.0,1.0,2.0,2.0,3.0,1.0,2.0,,9,8.0,5.0,2.0,4.0,,1.0,82,2013-05-17
Essendon,2013,3↓,Hawthorn,18,L,6,2.0,2.0,1.0,3,,,,,,1.0,,,,,,1,2.0,,,1.0,,,46,2013-06-28
Essendon,2013,4,North Melbourne,21,L,6,7.0,6.0,4.0,11,,4.0,1.0,1.0,,1.0,,,1.0,,,3,9.0,1.0,4.0,2.0,,,87,2013-07-19
Essendon,2013,5,Carlton,22,W,6,9.0,6.0,6.0,15,,2.0,1.0,,,2.0,,4.0,2.0,2.0,,5,10.0,,1.0,,,,76,2013-07-26
Essendon,2014,6,North Melbourne,1,W,6,9.0,6.0,2.0,11,2.0,,1.0,3.0,,2.0,,3.0,1.0,1.0,,6,5.0,3.0,3.0,3.0,,,77,2014-03-01
Essendon,2014,7,Hawthorn,2,L,6,10.0,6.0,3.0,13,,1.0,7.0,3.0,,3.0,,5.0,1.0,4.0,,4,9.0,,1.0,1.0,,,89,2014-03-08
Essendon,2014,8,Carlton,3,W,6,8.0,5.0,6.0,14,1.0,,9.0,2.0,,1.0,3.0,1.0,,1.0,,8,6.0,1.0,1.0,2.0,2.0,1.0,80,2014-03-15
Essendon,2014,9,Fremantle,4,L,6,8.0,7.0,7.0,15,1.0,,2.0,3.0,,3.0,1.0,3.0,,1.0,,5,9.0,3.0,1.0,2.0,1.0,,90,2014-03-22
Essendon,2014,10,St Kilda,5,L,6,4.0,6.0,5.0,9,,,,1.0,,1.0,,4.0,1.0,2.0,,6,5.0,3.0,,,,,78,2014-03-29
Essendon,2014,11,Collingwood,6,L,6,7.0,8.0,4.0,11,1.0,,5.0,,,3.0,1.0,2.0,2.0,2.0,,5,7.0,2.0,1.0,,,,77,2014-04-05
Essendon,2014,12,Western Bulldogs,7,W,6,8.0,5.0,4.0,12,1.0,1.0,2.0,,,2.0,1.0,3.0,3.0,2.0,,7,6.0,1.0,1.0,3.0,,,86,2014-04-12
Essendon,2014,13,Brisbane Lions,8,W,6,6.0,3.0,5.0,11,1.0,2.0,3.0,1.0,2.0,,2.0,1.0,2.0,,,5,5.0,,1.0,2.0,,,84,2014-04-19
Essendon,2014,14↓,Sydney,9,L,6,4.0,4.0,3.0,7,1.0,,,1.0,,3.0,,1.0,1.0,1.0,,3,4.0,1.0,,1.0,,,62,2014-04-26
Essendon,2014,15,Richmond,11,W,6,10.0,7.0,2.0,12,3.0,1.0,,1.0,,4.0,,3.0,1.0,1.0,,4,8.0,1.0,4.0,,,,76,2014-05-10
Essendon,2014,16,Greater Western Sydney,12,W,6,9.0,9.0,6.0,15,3.0,4.0,,,,2.0,,1.0,1.0,,1.0,10,5.0,6.0,7.0,1.0,,,89,2014-05-17
Essendon,2014,17,Melbourne,13,L,6,6.0,5.0,5.0,11,1.0,2.0,,,,,,2.0,,1.0,,3,9.0,,3.0,3.0,,2.0,77,2014-05-24
Essendon,2014,18,Adelaide,14,W,6,7.0,6.0,2.0,9,1.0,,2.0,1.0,,4.0,,1.0,,,,3,5.0,2.0,1.0,2.0,,2.0,87,2014-05-31
Essendon,2014,19,Geelong,15,L,6,5.0,3.0,4.0,9,2.0,1.0,4.0,1.0,,2.0,2.0,3.0,,2.0,,4,5.0,,3.0,,,1.0,91,2014-06-07
Essendon,2014,20,Port Adelaide,16,W,6,12.0,5.0,,12,,3.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,,5,6.0,1.0,2.0,4.0,,1.0,83,2014-06-14
Essendon,2014,21,Collingwood,17,W,6,8.0,6.0,2.0,10,1.0,1.0,3.0,,2.0,,,3.0,,1.0,,3,7.0,1.0,3.0,2.0,,,86,2014-06-21
Essendon,2014,22,Richmond,20,L,6,6.0,4.0,2.0,8,,1.0,1.0,2.0,,1.0,,3.0,,2.0,,4,4.0,,2.0,1.0,,,82,2014-07-12
Essendon,2014,23,West Coast,21,W,6,6.0,4.0,4.0,10,2.0,1.0,3.0,1.0,,,1.0,3.0,1.0,2.0,,6,4.0,1.0,2.0,1.0,,,92,2014-07-19
Essendon,2014,24,Gold Coast,22,W,6,10.0,4.0,5.0,15,1.0,1.0,9.0,4.0,1.0,3.0,1.0,1.0,1.0,,,4,11.0,,1.0,,,,87,2014-07-26
Essendon,2014,25,Carlton,23,D,6,8.0,5.0,4.0,12,2.0,,,,,1.0,,2.0,,1.0,,6,7.0,,3.0,,,2.0,85,2014-08-02
