team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2022,1,Fremantle,21,L,10,9,8.0,1,10,,,,,1.0,,,3.0,,1.0,,4,6.0,2.0,,3.0,,,75,2022-07-19
Western Bulldogs,2022,2,Greater Western Sydney,22,W,10,11,7.0,4,15,,,,1.0,1.0,4.0,,,2.0,,,6,9.0,1.0,,1.0,,,70,2022-07-26
Western Bulldogs,2022,3,Hawthorn,23,W,10,9,6.0,4,13,2.0,2.0,1.0,,,1.0,,3.0,1.0,,,8,6.0,3.0,4.0,1.0,,,73,2022-08-02
Western Bulldogs,2022,4,Fremantle,EF,L,10,6,3.0,2,8,1.0,1.0,2.0,2.0,1.0,,,2.0,1.0,,,4,4.0,1.0,2.0,,,,70,2022-03-01
Western Bulldogs,2023,5,Melbourne,1,L,10,5,1.0,1,6,,1.0,1.0,3.0,,,,2.0,,2.0,,4,2.0,1.0,,1.0,,,58,2023-03-01
Western Bulldogs,2023,6↓,St Kilda,2,L,10,1,1.0,1,2,,,3.0,2.0,2.0,,1.0,3.0,,3.0,,2,,1.0,,3.0,,,50,2023-03-08
Western Bulldogs,2023,7,Sydney,18,L,10,1,,1,2,,1.0,7.0,3.0,1.0,,,1.0,,1.0,,2,1.0,,,1.0,,,30,2023-06-28
Western Bulldogs,2024,8,Gold Coast,3,W,10,8,6.0,7,15,2.0,,12.0,4.0,1.0,3.0,3.0,4.0,1.0,3.0,,8,7.0,2.0,2.0,4.0,,,74,2024-03-15
Western Bulldogs,2024,9,West Coast,4,W,10,5,3.0,6,11,1.0,1.0,11.0,1.0,,3.0,1.0,1.0,,,,6,4.0,2.0,1.0,1.0,,,67,2024-03-22
Western Bulldogs,2024,10,Geelong,5,L,10,10,3.0,2,12,3.0,,8.0,4.0,,3.0,1.0,6.0,2.0,2.0,,6,5.0,1.0,2.0,1.0,,,55,2024-03-29
Western Bulldogs,2024,11,Essendon,6,L,10,9,8.0,4,13,1.0,3.0,7.0,5.0,,1.0,,5.0,1.0,,,7,6.0,2.0,4.0,2.0,,1.0,76,2024-04-05
