team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2017,1,Collingwood,3,L,34,6,3.0,4,10,,1.0,,3.0,,2.0,,1.0,,,,2,8,,,1.0,,,59,2017-03-15
Sydney,2018,2,Essendon,19,L,34,7,5.0,5,12,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,,,,4,9,,,3.0,,,69,2018-07-05
Sydney,2018,3,Collingwood,20,W,34,6,4.0,7,13,2.0,,,6.0,,1.0,1.0,6.0,1.0,4.0,,6,7,1.0,2.0,1.0,,1.0,70,2018-07-12
Sydney,2018,4,Melbourne,21,W,34,13,9.0,2,15,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,,,7,8,3.0,2.0,,,,81,2018-07-19
Sydney,2018,5,Hawthorn,23,L,34,7,4.0,2,9,,1.0,1.0,2.0,,2.0,1.0,1.0,,,,4,5,1.0,1.0,,,,58,2018-08-02
Sydney,2019,6,Western Bulldogs,1,L,34,4,2.0,10,14,,,,2.0,1.0,1.0,,6.0,,1.0,,8,7,,,3.0,,,75,2019-03-01
Sydney,2019,7,Carlton,3,W,34,7,8.0,7,14,,,,3.0,1.0,2.0,,1.0,,,,2,13,,,,,,67,2019-03-15
Sydney,2019,8,Melbourne,4,L,34,14,7.0,4,18,2.0,,,2.0,2.0,4.0,1.0,2.0,1.0,,,5,13,,2.0,1.0,,,86,2019-03-22
Sydney,2019,9,Richmond,5,L,34,20,11.0,11,31,,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,,9,22,1.0,,2.0,,,90,2019-03-29
Sydney,2019,10,Greater Western Sydney,6,L,34,13,4.0,5,18,2.0,,,5.0,4.0,3.0,1.0,2.0,3.0,,,8,10,1.0,1.0,2.0,,,86,2019-04-05
Sydney,2019,11,Brisbane Lions,7,L,34,7,4.0,6,13,1.0,,,3.0,,,2.0,1.0,,,,6,7,1.0,1.0,,,,68,2019-04-12
Sydney,2019,12,Essendon,8,W,34,12,5.0,3,15,2.0,,,1.0,1.0,2.0,1.0,6.0,1.0,2.0,,4,11,1.0,1.0,1.0,,,88,2019-04-19
Sydney,2019,13,North Melbourne,9,W,34,15,7.0,9,24,1.0,1.0,,5.0,3.0,2.0,2.0,4.0,3.0,,,11,13,2.0,,1.0,,1.0,77,2019-04-26
Sydney,2019,14,Collingwood,10,L,34,7,1.0,6,13,,,,7.0,,4.0,,1.0,2.0,,,4,8,,,1.0,,1.0,87,2019-05-03
Sydney,2019,15,Geelong,11,L,34,14,7.0,4,18,,,,1.0,5.0,3.0,1.0,2.0,,,,5,14,3.0,,2.0,,1.0,77,2019-05-10
Sydney,2019,16,West Coast,12,W,34,11,3.0,9,20,,,,2.0,2.0,3.0,1.0,6.0,2.0,,,7,13,,,,,1.0,92,2019-05-17
Sydney,2019,17,Hawthorn,14,W,34,17,11.0,5,22,,,,3.0,1.0,4.0,,,1.0,,,5,17,,,,,1.0,87,2019-05-31
