team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2024,1,Essendon,11,L,18,4.0,3.0,1.0,5.0,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,4.0,,,8.0,,,85,2024-05-10
North Melbourne,2024,2,Port Adelaide,12,L,18,6.0,4.0,5.0,11.0,,,,1.0,1.0,,,,,,,6.0,5.0,1.0,,5.0,1.0,,83,2024-05-17
North Melbourne,2024,3↓,West Coast,14,W,18,,,,,,,,,,,,,,,,,,,,,,,10,2024-05-31
North Melbourne,2025,4,Hawthorn,17,L,18,6.0,5.0,3.0,9.0,,,,2.0,1.0,1.0,,3.0,,,,3.0,6.0,1.0,,4.0,,,85,2025-06-21
North Melbourne,2025,5,Western Bulldogs,18,L,18,8.0,3.0,,8.0,,,3.0,4.0,4.0,,,2.0,2.0,,,4.0,4.0,,,8.0,,,85,2025-06-28
North Melbourne,2025,6,Melbourne,19,L,18,4.0,7.0,3.0,7.0,,,,3.0,,,,3.0,,1.0,,3.0,5.0,2.0,,3.0,,,81,2025-07-05
North Melbourne,2025,7,Sydney,20,L,18,3.0,3.0,1.0,4.0,,,,3.0,1.0,1.0,,2.0,,1.0,,,4.0,,,4.0,,,85,2025-07-12
North Melbourne,2025,8,Geelong,21,L,18,6.0,4.0,1.0,7.0,,,,2.0,3.0,,,2.0,1.0,2.0,,3.0,4.0,,,3.0,,,89,2025-07-19
North Melbourne,2026,9,Sydney,10,L,18,5.0,1.0,6.0,11.0,,,13.0,4.0,,4.0,,4.0,3.0,1.0,,6.0,4.0,,,3.0,,,37,2026-05-03
North Melbourne,2026,10,Adelaide,11,L,18,2,2,1,3,,,19,2,,1,,3,,,,,3,,,3,,,40,2026-05-10
