team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2025,1,Sydney,10,W,44,1,,5,6,1.0,,,2.0,,,1.0,2.0,,,,3,3,,,1.0,,1.0,65,2025-05-10
Essendon,2025,2,Western Bulldogs,11,L,44,4,4.0,8,12,,,,2.0,,2.0,,2.0,,,,4,8,,,,1.0,,60,2025-05-17
Essendon,2025,3,Brisbane Lions,13,L,44,4,2.0,5,9,,,,4.0,,,,2.0,,1.0,,4,6,,,,,,66,2025-05-29
Essendon,2025,4↑,Carlton,14,L,44,3,2.0,3,6,,,,1.0,,1.0,,2.0,,,,1,5,,,1.0,,,18,2025-06-08
Essendon,2025,5↓,Geelong,15,L,44,3,,7,10,,1.0,,,1.0,1.0,,2.0,,,,2,8,,,,,,49,2025-06-14
Essendon,2026,6,North Melbourne,4,L,44,9,2.0,6,15,,,,3.0,1.0,5.0,1.0,6.0,1.0,2.0,,3,12,,,2.0,,,79,2026-03-28
Essendon,2026,7,Western Bulldogs,5,L,44,6,3.0,4,10,,1.0,,6.0,,3.0,1.0,6.0,1.0,1.0,,3,7,,1.0,1.0,,,85,2026-04-05
Essendon,2026,8,Melbourne,6,W,44,7,3.0,8,15,1.0,,,3.0,1.0,2.0,,5.0,1.0,1.0,,5,10,,,1.0,,,82,2026-04-11
Essendon,2026,9,Gold Coast,7,L,44,6,4.0,4,10,,,,5.0,3.0,2.0,1.0,2.0,1.0,1.0,,4,9,,,4.0,1.0,1.0,75,2026-04-18
Essendon,2026,10,Collingwood,8,L,44,5,3.0,4,9,2.0,,,6.0,2.0,1.0,,,1.0,,,3,7,1.0,2.0,1.0,,,82,2026-04-25
Essendon,2026,11,Brisbane Lions,9,L,44,7,1.0,7,14,,,,1.0,,5.0,1.0,1.0,,1.0,,3,9,,,,,1.0,76,2026-05-02
Essendon,2026,12,Greater Western Sydney,10,L,44,3,1.0,6,9,,,,4.0,,,1.0,2.0,2.0,,,6,4,,,,,,77,2026-05-09
Essendon,2026,13,Fremantle,11,L,44,4,2.0,9,13,,1.0,,5.0,,2.0,2.0,2.0,1.0,2.0,,6,8,,,1.0,,,82,2026-05-17
Essendon,2026,14,Richmond,12,L,44,3,3.0,5,8,,1.0,,2.0,,1.0,,4.0,,2.0,,2,6,,,4.0,,,80,2026-05-22
Essendon,2026,15,West Coast,13,L,44,8,2.0,2,10,2.0,2.0,,3.0,,1.0,,2.0,,,,4,5,1.0,2.0,,,,75,2026-05-31
Essendon,2026,16,Carlton,14,L,44,4,2.0,8,12,,,,1.0,1.0,1.0,,3.0,1.0,,,5,7,,,1.0,1.0,,81,2026-06-07
Essendon,2026,17,Melbourne,15,L,44,5,3.0,5,10,,1.0,,4.0,,2.0,,2.0,1.0,1.0,,4,6,,1.0,2.0,,1.0,79,2026-06-13
Essendon,2026,18,North Melbourne,17,L,44,7,4.0,7,14,,,,,1.0,1.0,1.0,,,,,5,8,,,2.0,,,67,2026-06-28
Essendon,2026,19,St Kilda,18,L,44,6,2.0,2,8,1.0,,,4.0,2.0,3.0,,5.0,,3.0,,1,7,,1.0,2.0,,,65,2026-07-05
Essendon,2026,20,Brisbane Lions,19,L,44,2,1.0,6,8,,1.0,,1.0,,1.0,,2.0,,,,2,6,,1.0,3.0,,,71,2026-07-12
Essendon,2026,21,Greater Western Sydney,20,W,44,6,4.0,9,15,,2.0,,5.0,,3.0,,2.0,,2.0,,8,7,1.0,2.0,4.0,,,79,2026-07-19
Essendon,2026,22,Hawthorn,21,L,44,3,3.0,6,9,,,,1.0,,2.0,,1.0,,,,2,7,,,1.0,,,69,2026-07-25
Essendon,2026,23,Adelaide,22,L,44,3,4.0,7,10,,,,7.0,,1.0,,2.0,,1.0,,2,9,,,1.0,,,79,2026-08-02
Essendon,2026,24,Geelong,23,L,44,3,1.0,7,10,,,,2.0,1.0,1.0,1.0,5.0,,3.0,,5,6,,,4.0,,,74,2026-08-08
Essendon,2026,25,Sydney,24,L,44,5,2.0,5,10,1.0,,,5.0,1.0,2.0,,3.0,,,,1,9,,1.0,,,,76,2026-08-16
Essendon,2026,26,Port Adelaide,25,L,44,9,6,6,15,,2,,3,,1,1,1,1,,,3,13,,2,1,,1,75,2026-08-23
