team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2024,1,Greater Western Sydney,1,L,43,4,3.0,5,9,,,,1.0,4.0,,,,1.0,,,3,7,,,6,,,96,2024-03-01
Collingwood,2024,2,Sydney,2,L,43,7,6.0,5,12,,,,1.0,2.0,,,2.0,1.0,1.0,,4,8,1.0,,2,,,87,2024-03-08
Collingwood,2024,3,Fremantle,12,D,43,5,4.0,3,8,,,,1.0,2.0,,,1.0,2.0,,,4,6,,,6,,,82,2024-05-17
Collingwood,2024,4,Western Bulldogs,13,L,43,9,7.0,5,14,,,,3.0,5.0,,,1.0,3.0,,,5,10,,,4,,,88,2024-05-24
Collingwood,2024,5,Melbourne,14,W,43,8,6.0,4,12,,,,1.0,4.0,1.0,,,1.0,,,4,8,1.0,,4,,1.0,89,2024-05-31
Collingwood,2024,6,North Melbourne,15,W,43,5,5.0,6,11,,,,1.0,4.0,,,2.0,1.0,1.0,,6,7,2.0,,6,,,93,2024-06-07
Collingwood,2024,7↓,Essendon,18,L,43,7,4.0,2,9,,,,,1.0,,,,2.0,,,4,6,,,2,,,63,2024-06-28
Collingwood,2024,8,Melbourne,25,W,43,7,5.0,2,9,,,,,2.0,,,2.0,,,,2,6,,,2,,,94,2024-08-16
Collingwood,2025,9,West Coast,17,W,43,1,1.0,3,4,,,,2.0,,,,2.0,,2.0,,1,4,,,5,,,92,2025-06-21
Collingwood,2025,10,Fremantle,20,L,43,1,,10,11,,,,1.0,1.0,,,1.0,,,,5,5,,,2,,,90,2025-07-12
Collingwood,2025,11,Richmond,21,W,43,9,6.0,10,19,,,,,1.0,,,1.0,1.0,,,6,11,,,5,,,87,2025-07-19
Collingwood,2025,12,Brisbane Lions,22,L,43,5,4,3,8,,,,,1,,,4,,1,,3,5,,,5,,,90,2025-07-26
