team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2026,1,Sydney,1,L,35,7,1.0,7,14,,,,2.0,4.0,1.0,,2.0,2.0,,,7,8,,,7,,,80,2026-03-01
Carlton,2026,2,Richmond,2,W,35,5,,2,7,,,,,3.0,,,2.0,2.0,1.0,,1,7,,,7,,,76,2026-03-08
Carlton,2026,3,Melbourne,4,L,35,8,6.0,2,10,,,,2.0,4.0,1.0,1.0,2.0,,,,2,8,,,4,,,81,2026-03-22
Carlton,2026,4,Collingwood,7,L,35,7,5.0,6,13,,,,,2.0,,1.0,,,,,5,9,1.0,,5,,,79,2026-04-12
Carlton,2026,5,Fremantle,8,L,35,5,4.0,1,6,,,,,,1.0,,2.0,1.0,1.0,,1,6,,,6,,,72,2026-04-19
Carlton,2026,6,St Kilda,9,L,35,7,5.0,1,8,,,,1.0,,1.0,,4.0,2.0,3.0,,2,7,,,7,,,65,2026-04-26
Carlton,2026,7,Brisbane Lions,10,L,35,3,3.0,5,8,,,,1.0,1.0,,,,,,,2,6,,,4,,,75,2026-05-03
Carlton,2026,8,Western Bulldogs,11,W,35,8,7.0,4,12,,,,1.0,1.0,,,1.0,,,,2,10,,,2,,,71,2026-05-10
Carlton,2026,9,Port Adelaide,12,W,35,8,7.0,4,12,,,,1.0,2.0,3.0,,1.0,2.0,,,3,10,1.0,,6,,,81,2026-05-17
Carlton,2026,10,Geelong,13,W,35,6,3.0,9,15,,,,4.0,,,,1.0,,,,5,9,,,4,,,80,2026-05-24
Carlton,2026,11,Essendon,14,W,35,10,8.0,5,15,,,,,3.0,,,,1.0,,,3,12,,,5,,,90,2026-05-31
Carlton,2026,12,Greater Western Sydney,16,W,35,7,4.0,3,10,,,,,3.0,,,,,,,4,4,2.0,,9,,,87,2026-06-14
Carlton,2026,13,West Coast,17,W,35,11,9.0,2,13,,,,4.0,1.0,1.0,1.0,1.0,2.0,,,3,10,,,6,,1.0,89,2026-06-21
Carlton,2026,14,Hawthorn,19,L,35,6,3.0,4,10,,,,3.0,3.0,,1.0,2.0,2.0,1.0,,5,5,,,3,,,85,2026-07-11
Carlton,2026,15,Collingwood,20,L,35,7,5.0,8,15,,,,1.0,1.0,1.0,,4.0,1.0,2.0,,7,7,,,6,,,80,2026-07-18
